index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,34.0,0,,51.0,0,,63.0,0,,0.0,299760,0.0,0.0,5,0,0,0,0,0.0,269,269,44,0.0,0,0,0,44,200,1.7238983400166037,1.7238983400166037
1,44,0,0,0,10.0,20,10.0,20.0,0,,24.5,15,14.0,34.0,0,,51.0,0,,63.0,0,,0.15,298945,0.0,0.0,8,0,0,41,0,0.0,15,56,40,792.0,0,44,0,40,410,1.7222431711852548,3.4461415112018585
2,40,0,0,0,10.0,20,10.0,20.0,0,,24.625,2,28.0,34.0,0,,51.0,0,,63.0,0,,0.02,298676,0.0,0.0,6,0,0,22,0,0.0,30,52,50,720.0,0,40,0,50,256,1.7245996724814177,5.170741183683276
3,50,0,0,0,10.0,20,10.0,18.254901960784316,6,5.166666666666667,24.219465648854968,2,14.0,34.08510638297872,2,36.0,51.0,0,,63.0,0,,0.04,298260,0.0,0.0,10,0,0,22,0,0.0,40,62,48,883.0,0,50,0,48,331,1.9220254477113483,7.092766631394625
4,48,0,0,0,10.0,20,10.0,14.856562922868743,28,9.285714285714286,23.31744017403916,8,18.0,34.17155756207674,2,36.0,51.0,0,,63.0,0,,0.07999999999999999,296892,0.0,0.0,18,0,0,19,0,0.0,41,60,46,855.0,0,48,0,46,676,1.8188369926065209,8.911603624001144
5,46,0,0,0,10.0,20,10.0,12.456976345560507,21,4.857142857142857,23.409900481794487,1,28.0,34.47712554836013,8,36.0,51.0,0,,63.0,20,63.0,0.06999999999999999,295645,0.0,0.0,21,0,0,36,0,0.0,22,58,42,816.0,0,46,0,42,1878,2.135373478755355,11.0469771027565
6,42,0,0,0,10.0,20,10.0,12.283049587654409,6,10.0,23.50844361050761,1,28.0,34.584872129038814,16,34.875,51.0,0,,63.0,20,63.0,0.09,294687,0.0,0.0,22,0,0,35,0,0.0,19,54,42,755.0,0,42,0,42,2106,1.6798354126513004,12.7268125154078
7,42,0,0,0,10.0,20,10.0,11.533220065845844,6,2.0,24.072315247293144,5,28.8,34.5692454280572,12,34.5,51.0,0,,62.99999999999999,20,63.0,0.11,293438,0.0,0.0,21,0,0,36,0,0.0,18,54,42,753.0,0,42,0,42,2030,1.6474815122783184,14.374294027686119
8,42,0,0,0,10.0,20,10.0,11.193461253224196,6,7.0,24.41215771080771,4,28.0,34.61642049925457,2,36.0,51.0,0,,62.99999999999999,20,63.0,0.04,292518,0.0,0.0,16,0,0,33,0,0.0,19,52,42,750.0,0,42,0,42,1686,1.6829136852174995,16.05720771290362
9,42,0,0,0,10.000000000000002,20,10.0,11.169882596576588,10,11.0,25.050229153833836,9,28.0,34.65440399097516,6,35.0,51.0,0,,62.99999999999999,20,63.0,0.09,291260,0.0,0.0,22,0,0,27,0,0.0,27,54,42,753.0,0,42,0,42,2032,1.767239911481738,17.824447624385353
10,42,0,0,0,10.000000000000002,20,10.0,11.109768682221846,4,10.0,25.63058786467094,12,27.83333333333333,34.72169983576205,6,35.333333333333336,51.0,0,,63.0,20,63.0,0.16,289967,0.0,0.0,22,0,0,30,0,0.0,22,52,42,751.0,0,42,0,42,2046,1.6960762571543455,19.520523881539702
11,42,0,0,0,10.000000000000002,20,10.0,10.428699164978221,11,6.090909090909091,26.01404194240042,10,28.0,34.69097809634594,14,34.57142857142857,51.0,0,,63.0,20,63.0,0.18,288617,0.0,0.0,28,0,0,27,0,0.0,27,54,42,752.0,0,42,0,42,2291,1.955540308728814,21.47606419026852
12,42,0,0,0,10.000000000000002,20,10.0,10.28400457960616,9,9.111111111111109,26.448621688831572,13,28.30769230769231,34.404407330795806,14,33.142857142857146,51.0,0,,63.0,20,63.0,0.21,287194,0.0,0.0,27,0,0,27,0,0.0,26,53,42,753.0,0,42,0,42,2374,1.695588443428278,23.171652633696795
13,42,0,0,0,10.000000000000002,20,10.0,10.108118937601764,9,8.666666666666666,26.759040232830248,9,28.88888888888889,34.27095534636797,4,32.0,51.0,0,,62.99999999999999,20,63.0,0.12999999999999998,285986,0.0,0.0,19,0,0,30,0,0.0,23,53,42,751.0,0,42,0,42,1926,1.7080628965049982,24.879715530201796
14,42,0,0,0,10.000000000000002,20,10.0,10.108118937601764,0,,26.907633937766427,5,28.8,34.248012886086784,6,34.0,51.0,0,,63.0,20,63.0,0.05,285178,0.0,0.0,17,0,0,32,0,0.0,22,54,42,752.0,0,42,0,42,1808,1.7118347436189651,26.59155027382076
15,42,0,0,0,10.000000000000002,20,10.0,9.676187972233787,18,7.888888888888888,27.139429021485352,12,28.33333333333333,34.359693555394045,8,35.25,51.0,0,,62.99999999999999,20,63.0,0.12000000000000002,283594,0.0,0.0,24,0,0,32,0,0.0,22,54,42,755.0,0,42,0,42,2224,1.6946861930191517,28.28623646683991
16,42,0,0,0,10.000000000000002,20,10.0,9.235853648229119,7,4.0,27.24211232941122,9,28.0,34.37515482409704,8,34.5,51.0,0,,62.99999999999999,20,63.0,0.09,282441,0.0,0.0,22,0,0,28,0,0.0,25,53,42,753.0,0,42,0,42,2016,2.035744922235608,30.321981389075518
17,42,0,0,0,10.000000000000002,20,10.0,9.38685432291432,20,10.0,27.355140617498716,15,27.86666666666667,34.29881143849043,10,33.8,51.0,0,,62.99999999999999,20,63.0,0.15,280603,0.0,0.0,29,0,0,28,0,0.0,26,54,42,751.0,0,42,0,42,2416,1.718853252008557,32.040834641084075
18,42,0,0,0,10.000000000000002,20,10.0,9.127183502974658,13,7.3076923076923075,27.444501471678638,12,28.0,34.3287167122315,6,34.666666666666664,51.0,0,,63.0,20,63.0,0.12000000000000002,279173,0.0,0.0,21,0,0,36,0,0.0,17,53,42,753.0,0,42,0,42,2099,1.67043792642653,33.711272567510605
19,42,0,0,0,10.000000000000002,20,10.0,8.702033175276616,14,5.857142857142858,27.51862015292697,12,28.0,34.30148390156117,6,34.0,51.0,0,,63.0,20,63.0,0.12,277691,0.0,0.0,22,0,0,36,0,0.0,16,52,40,750.0,0,42,0,40,2082,1.6498835515230894,35.36115611903369
20,40,0,0,0,10.000000000000002,20,10.0,8.441907226820678,5,3.4,27.656417654774785,15,28.4,34.128371206447234,10,33.0,51.0,0,,63.0,20,63.0,0.15,276302,0.0,0.0,27,0,0,32,0,0.0,20,52,42,720.0,0,40,0,42,2233,1.6524351816624403,37.013591300696135
21,42,0,0,0,10.000000000000002,20,10.0,8.699299438130799,12,10.666666666666666,27.72794659481981,8,28.5,34.09076453087857,6,33.666666666666664,51.0,0,,63.00000000000001,20,63.0,0.08,275051,0.0,0.0,20,0,0,36,0,0.0,17,53,42,751.0,0,42,0,42,2018,1.684798788279295,38.69839008897543
