index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
124,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
173,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
131,OTHER,T19,0,3,10,0,-1,-1,SELLER,00T19@0,0,0,-1,-1,0
31,OTHER,T19,0,4,10,0,-1,-1,SELLER,00T19@0,0,0,-1,-1,0
17,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
147,OTHER,T19,0,2,10,0,-1,-1,SELLER,00T19@0,0,0,-1,-1,0
21,OTHER,T19,0,1,10,0,-1,-1,SELLER,00T19@0,0,0,-1,-1,0
201,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
267,T35,T35,1,10,18,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
209,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
208,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
289,T35,T35,1,6,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
265,T35,T35,1,10,18,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
46,OTHER,T19,1,1,10,0,-1,-1,SELLER,00T19@0,0,1,-1,-1,0
281,T23,T22,1,1,3,1,-1,1,01T23@0,02T22@1,13,1,-1,-1,1
93,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
293,T35,T35,1,13,18,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
282,T35,T35,1,5,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
292,T35,T35,1,11,18,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
184,OTHER,T19,1,4,10,0,-1,-1,SELLER,00T19@0,0,1,-1,-1,0
285,T35,T35,1,7,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
273,T35,T35,1,4,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
259,T35,T35,1,4,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
204,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
288,T35,T41,1,4,17,1,-1,1,03T35@1,04T41@2,17,1,-1,-1,2
11,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
257,T35,T35,1,3,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
250,T35,T41,1,4,16,1,-1,1,03T35@1,04T41@2,17,1,-1,-1,2
253,T35,T35,1,4,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
249,T35,T41,1,5,16,1,-1,1,03T35@1,04T41@2,17,1,-1,-1,2
140,OTHER,T19,1,3,10,0,-1,-1,SELLER,00T19@0,0,1,-1,-1,0
329,T22,T35,2,3,16,-1,-1,2,02T22@1,05T35@2,17,-1,-1,-1,2
62,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
200,OTHER,T19,2,3,10,0,-1,-1,SELLER,00T19@0,0,2,-1,-1,0
56,OTHER,T19,2,3,10,0,-1,-1,SELLER,00T19@0,0,2,-1,-1,0
313,T22,T35,2,3,16,2,-1,2,02T22@1,05T35@2,17,2,-1,-1,2
278,T35,T35,2,11,18,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
3,OTHER,T19,2,1,10,0,-1,-1,SELLER,00T19@0,0,2,-1,-1,0
47,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
291,T22,T35,2,11,18,-1,-1,1,02T22@1,05T35@2,17,-1,-1,-1,2
300,T23,T35,2,3,1,2,-1,2,01T23@0,03T35@1,7,2,-1,-1,1
301,T23,T22,2,2,2,2,-1,2,01T23@0,02T22@1,13,2,-1,-1,1
312,T35,T35,2,6,16,2,-1,2,03T35@1,05T35@2,17,2,-1,-1,2
261,T23,T22,2,1,2,1,-1,1,01T23@0,02T22@1,12,2,-1,-1,1
157,OTHER,T23,2,5,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
210,OTHER,T19,2,3,10,0,-1,-1,SELLER,00T19@0,0,2,-1,-1,0
99,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
284,T23,T22,3,2,5,1,-1,1,01T23@0,02T22@1,15,3,-1,-1,1
69,OTHER,T19,3,2,10,0,-1,-1,SELLER,00T19@0,0,3,-1,-1,0
215,T41,OTHER,3,2,46,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
110,OTHER,T19,3,4,10,0,-1,-1,SELLER,00T19@0,0,3,-1,-1,0
362,T22,T35,3,38,32,-1,-1,3,02T22@1,05T35@2,2,-1,-1,-1,2
86,T35,OTHER,3,2,46,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
92,T35,OTHER,3,1,46,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
