index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,0,,0.125,409130,0.0,0.0,9,0,0,34,0,0.0,379,413,23,0,0.0,0,0,23,200,0.1763001922518015,0.1763001922518015
1,23,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,0,,0.0875,408930,0.0,0.0,10,0,0,2,0,0.0,17,19,15,0,69.0,0,23,15,200,1.2544954866170883,1.4307956788688898
2,15,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,0,,0.125,408730,0.0,0.0,8,0,0,2,0,0.0,15,17,16,0,45.0,0,15,16,200,0.3338791988790035,1.7646748777478931
3,16,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,0,,0.125,408530,0.0,0.0,9,0,0,4,0,0.0,15,19,17,0,48.0,0,16,17,200,1.3114870544523,3.0761619322001934
4,17,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,20,55.0,0.125,407921,0.0,0.0,19,0,0,6,0,0.0,13,19,18,0,51.0,0,17,18,1300,1.6941762566566467,4.77033818885684
5,18,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,20,55.0,0.125,407311,0.0,0.0,17,0,0,0,0,0.0,18,18,18,0,54.0,0,18,18,1300,0.6338143423199654,5.4041525311768055
6,18,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,20,55.0,0.125,406699,0.0,0.0,19,0,0,3,0,0.0,18,21,18,0,54.0,0,18,18,1300,0.2090221792459488,5.613174710422754
7,18,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,17,55.0,0.125,406141,0.0,0.0,18,0,0,2,0,0.0,17,19,17,0,54.0,0,18,17,1135,0.9367568232119085,6.549931533634663
8,17,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,18,55.0,0.125,405565,0.0,0.0,18,0,0,2,0,0.0,16,18,16,0,51.0,0,17,16,1190,0.4062158688902855,6.956147402524947
9,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,13,55.0,0.125,405145,0.0,0.0,16,0,0,1,0,0.0,19,20,16,0,48.0,0,16,16,915,0.19546284526586533,7.151610247790813
10,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,14,55.0,0.125,404690,0.0,0.0,17,0,0,1,0,0.0,17,18,16,0,48.0,0,16,16,970,0.2044540923088789,7.356064340099692
11,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,17,55.0,0.125,404163,0.0,0.0,18,0,0,2,0,0.0,17,19,16,0,48.0,0,16,16,1135,0.4351689238101244,7.791233263909818
12,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,17,55.0,0.125,403566,0.0,0.0,17,0,0,1,0,0.0,17,18,16,0,48.0,0,16,16,1135,0.6344083584845066,8.425641622394322
13,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,18,55.0,0.125,402980,0.0,0.0,20,0,0,2,0,0.0,18,20,16,0,48.0,0,16,16,1190,0.9222576543688774,9.347899276763199
14,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,16,55.0,0.125,402463,0.0,0.0,17,0,0,0,0,0.0,19,19,16,0,48.0,0,16,16,1080,0.9496276043355464,10.297526881098749
15,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.00000000000001,14,55.0,0.125,402056,0.0,0.0,16,0,0,1,0,0.0,18,19,16,0,48.0,0,16,16,970,0.13638286665081978,10.433909747749569
16,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.00000000000002,13,55.0,0.125,401639,0.0,0.0,14,0,0,0,0,0.0,17,17,16,0,48.0,0,16,16,915,0.37429033033549786,10.808200078085065
17,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.00000000000001,16,55.0,0.125,401148,0.0,0.0,18,0,0,4,0,0.0,17,21,16,0,48.0,0,16,16,1080,0.27230935730040073,11.080509435385466
18,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,10,55.0,0.125,400812,0.0,0.0,13,0,0,2,0,0.0,18,20,16,0,48.0,0,16,16,750,0.10101297497749327,11.18152241036296
19,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,12,55.0,0.125,400426,0.0,0.0,17,0,0,2,0,0.0,17,19,16,0,48.0,0,16,16,860,0.4035260695964098,11.585048479959367
20,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,17,55.0,0.125,399878,0.0,0.0,18,0,0,3,0,0.0,16,19,16,0,48.0,0,16,16,1135,0.10073896497488022,11.685787444934249
21,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,17,55.0,0.125,399337,0.0,0.0,18,0,0,2,0,0.0,18,20,16,0,48.0,0,16,16,1135,0.2943627554923296,11.98015020042658
22,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,13,55.0,0.125,398916,0.0,0.0,16,0,0,1,0,0.0,16,17,16,0,48.0,0,16,16,915,0.10341373272240162,12.08356393314898
23,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,15,55.0,0.125,398437,0.0,0.0,17,0,0,1,0,0.0,15,16,16,0,48.0,0,16,16,1025,0.6520935464650393,12.73565747961402
24,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,16,55.0,0.125,397933,0.0,0.0,17,0,0,0,0,0.0,20,20,16,0,48.0,0,16,16,1080,0.549245098605752,13.284902578219773
25,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,15,55.0,0.125,397327,0.0,0.0,15,0,0,2,0,0.0,14,16,16,0,48.0,0,16,16,1025,0.4665651600807905,13.751467738300562
26,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,11,55.0,0.125,396878,0.0,0.0,15,0,0,4,0,0.0,12,16,16,0,48.0,0,16,16,805,0.3304010536521673,14.081868791952731
27,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,6,55.0,0.125,396596,0.0,0.0,13,0,0,5,0,0.0,14,19,16,0,48.0,0,16,16,530,0.7124886699020863,14.794357461854815
28,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.00000000000001,20,55.0,0.125,396015,0.0,0.0,18,0,0,6,0,0.0,12,18,16,0,48.0,0,16,16,1300,0.624879002571106,15.41923646442592
29,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.00000000000001,16,55.0,0.125,395528,0.0,0.0,18,0,0,0,0,0.0,20,20,16,0,48.0,0,16,16,1080,0.18806342035532,15.607299884781241
30,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.00000000000001,17,55.0,0.125,395010,0.0,0.0,17,0,0,1,0,0.0,17,18,16,0,48.0,0,16,16,1135,0.3642881531268358,15.971588037908075
31,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,15,55.0,0.125,394540,0.0,0.0,16,0,0,0,0,0.0,18,18,16,0,48.0,0,16,16,1025,0.8254301510751247,16.797018188983202
32,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,55.0,16,55.0,0.125,394025,0.0,0.0,19,0,0,1,0,0.0,16,17,16,0,48.0,0,16,16,1080,0.3703038487583399,17.167322037741542
33,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,14,55.0,0.125,393603,0.0,0.0,17,0,0,2,0,0.0,17,19,16,0,48.0,0,16,16,970,1.089080048725009,18.25640208646655
34,16,0,0,0,10.000000000000002,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,16,55.0,0.125,393069,0.0,0.0,17,0,0,2,0,0.0,16,18,16,0,48.0,0,16,16,1080,0.5502775702625513,18.806679656729106
35,16,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,16,55.0,0.125,392555,0.0,0.0,17,0,0,3,0,0.0,16,19,16,0,48.0,0,16,16,1080,0.8592937551438808,19.665973411872987
36,16,0,0,0,10.0,20,10.0,16.0,0,,29.0,0,,37.0,0,,54.99999999999999,15,55.0,0.125,392055,0.0,0.0,18,0,0,2,0,0.0,16,18,16,0,48.0,0,16,16,1025,0.5718842707574368,20.237857682630423
