index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
20,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
171,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
163,OTHER,T20,0,3,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
92,OTHER,T20,0,7,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
157,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
42,OTHER,T20,0,2,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
234,T23,T41,1,5,2,1,-1,1,03T23@1,04T41@2,16,1,-1,-1,2
205,T23,T22,1,1,8,1,-1,1,05T23@2,07T22@3,14,1,-1,-1,3
178,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
235,T35,T22,1,1,9,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
275,T41,T35,1,1,64,-1,-1,1,04T41@2,06T35@3,17,-1,-1,-1,3
207,T35,T23,1,9,55,1,-1,1,06T35@3,08T23@4,10,1,-1,-1,4
254,T23,T41,1,2,2,1,-1,1,03T23@1,04T41@2,11,1,-1,-1,2
244,T35,T23,1,9,54,1,-1,1,06T35@3,08T23@4,15,1,-1,-1,4
248,T35,T23,1,8,53,1,-1,1,06T35@3,08T23@4,12,1,-1,-1,4
245,T35,T22,1,1,30,1,-1,1,06T35@3,09T22@4,17,1,-1,-1,4
71,OTHER,T20,1,5,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
195,T35,T22,1,9,28,1,-1,1,06T35@3,09T22@4,17,1,-1,-1,4
274,T22,T23,1,2,55,-1,-1,1,02T22@1,05T23@2,12,-1,-1,-1,2
77,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
247,T35,T22,1,1,9,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
273,T35,T23,1,11,58,-1,-1,1,06T35@3,08T23@4,6,-1,-1,-1,4
203,T35,T23,1,2,58,1,-1,1,06T35@3,08T23@4,8,1,-1,-1,4
263,T41,T22,1,5,21,1,-1,1,04T41@2,07T22@3,17,1,-1,-1,3
265,T35,T23,1,9,41,1,-1,1,06T35@3,08T23@4,15,1,-1,-1,4
268,T22,T23,1,6,55,-1,-1,1,07T22@3,08T23@4,10,-1,-1,-1,4
