index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,36.0,0,,47.0,0,,0.2375,25840,0.0,0.0,12,0,0,10,0,0.0,31,41,50,0.0,0.0,0,0,50,200,0.6504569668322802,0.6504569668322802
1,50,0,0,0,10.0,20,10.0,18.617021276595747,2,10.0,28.3,5,40.0,36.0,0,,47.0,0,,0.275,25480,0.0,0.0,13,0,0,6,0,0.0,44,50,40,489.0,106.0,28,22,40,420,1.375694364309311,2.0261513311415906
2,40,0,0,0,10.0,20,10.0,20.35911602209945,12,26.5,29.47,5,40.0,36.0,0,,47.0,0,,0.2625,25184,0.0,0.0,12,0,0,4,0,0.0,27,31,40,171.0,98.0,12,28,40,718,1.0323450174182651,3.0584963485598564
3,40,0,0,0,10.0,0,,21.382737999030226,13,25.23076923076923,31.384545454545457,10,40.0,36.0,0,,47.0,0,,0.037500000000000006,24866,0.0,0.0,5,0,0,3,0,0.0,21,24,35,171.0,99.0,12,28,35,728,0.9983343277126552,4.056830676272512
4,35,0,0,0,10.0,20,10.0,21.382737999030226,0,,32.83252100840336,10,40.0,36.0,0,,47.0,20,47.0,0.25,24036,0.0,0.0,24,0,0,0,0,0.0,19,19,28,144.0,96.0,8,27,28,1540,0.8440730553120375,4.900903731584549
5,28,0,0,0,10.0,20,10.0,22.290013740525684,12,26.5,33.33069504778454,4,40.0,36.0,0,,47.0,20,47.0,0.2375,23315,0.0,0.0,22,0,0,1,0,0.0,12,13,28,39.0,75.0,3,25,28,1618,0.24555007740855214,5.146453808993102
6,28,0,0,0,10.0,0,,24.71601675688077,45,28.0,33.80882426740748,4,40.0,36.0,0,,47.0,20,47.0,0.037500000000000006,22197,0.0,0.0,20,0,0,0,0,0.0,10,10,28,36.0,78.0,2,26,28,2360,0.6605031080543995,5.806956917047501
7,28,0,0,1,10.0,0,,25.4938669528138,24,28.58333333333333,34.745506179625714,8,40.625,36.0,0,,47.00000000000001,20,47.0,0.0,21415,0.0,0.1,14,0,0,2,4,23.222660098522173,2,4,14,42.0,72.0,4,24,14,1526,0.5149066932499409,6.3218636102974415
8,14,0,0,0,10.0,0,,25.4938669528138,0,,34.745506179625714,0,,36.0,0,,47.00000000000001,20,47.0,0.0,21058,0.0,0.1,10,0,0,1,8,171.98115122805189,0,1,2,21.0,36.0,2,12,2,940,0.07768644765019417,6.3995500579476365
9,2,0,0,0,10.0,0,,25.4938669528138,0,,35.7479260970014,10,41.0,36.0,0,,47.00000000000001,20,47.0,0.0,20340,0.0,0.1,11,0,0,0,11,216.58569756127233,0,0,0,0.0,6.0,0,2,0,1350,0.014544222503900528,6.414094280451536
