index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
4,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
5,OTHER,T22,0,8,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
9,OTHER,T16,0,4,10,0,-1,-1,SELLER,00T16@0,0,0,-1,-1,0
10,OTHER,T16,0,4,10,0,-1,-1,SELLER,00T16@0,0,0,-1,-1,0
11,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
12,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
1,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
3,OTHER,T16,1,5,10,0,-1,-1,SELLER,00T16@0,0,1,-1,-1,0
7,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
8,OTHER,T16,1,4,10,0,-1,-1,SELLER,00T16@0,0,1,-1,-1,0
33,T22,T22,1,10,25,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
34,T35,T09,1,36,13,-1,-1,1,02T35@1,04T09@2,17,-1,-1,-1,2
38,T35,T09,1,16,13,-1,-1,1,02T35@1,04T09@2,17,-1,-1,-1,2
37,T35,T09,1,29,13,-1,-1,1,02T35@1,04T09@2,17,-1,-1,-1,2
52,T22,T22,2,28,16,-1,-1,2,01T22@0,03T22@1,2,-1,-1,-1,1
54,T22,T35,2,10,25,-1,-1,2,01T22@0,02T35@1,17,-1,-1,-1,1
0,OTHER,T16,2,4,10,0,-1,-1,SELLER,00T16@0,0,2,-1,-1,0
13,OTHER,T22,2,5,10,-1,-1,-1,SELLER,01T22@0,0,-1,-1,-1,0
6,OTHER,T16,2,6,10,0,-1,-1,SELLER,00T16@0,0,2,-1,-1,0
2,OTHER,T22,2,5,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
35,T35,T09,2,50,12,-1,-1,1,02T35@1,04T09@2,17,-1,-1,-1,2
47,T22,T35,3,10,25,2,-1,2,01T22@0,02T35@1,17,3,-1,-1,1
32,T22,T09,3,50,12,-1,-1,1,03T22@1,04T09@2,17,-1,-1,-1,2
30,OTHER,T16,3,2,10,1,-1,-1,SELLER,00T16@0,0,3,-1,-1,0
26,OTHER,T22,3,2,10,1,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
20,T22,T22,3,5,9,1,-1,1,01T22@0,03T22@1,17,3,-1,-1,1
23,OTHER,T22,3,7,10,1,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
22,OTHER,T16,3,7,10,1,-1,-1,SELLER,00T16@0,0,3,-1,-1,0
63,T22,T35,3,2,24,3,-1,3,01T22@0,02T35@1,17,3,-1,-1,1
70,T35,T09,3,18,11,-1,-1,3,02T35@1,04T09@2,17,-1,-1,-1,2
14,OTHER,T16,3,2,10,1,-1,-1,SELLER,00T16@0,0,3,-1,-1,0
51,T35,OTHER,4,5,36,2,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
48,OTHER,T22,4,7,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
46,OTHER,T16,4,6,10,2,-1,-1,SELLER,00T16@0,0,4,-1,-1,0
45,T35,OTHER,4,2,36,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
42,T35,OTHER,4,4,36,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
83,T22,T35,4,50,16,-1,-1,4,01T22@0,02T35@1,2,-1,-1,-1,1
44,OTHER,T22,4,2,10,2,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
84,T22,T35,4,48,16,-1,-1,4,01T22@0,02T35@1,2,-1,-1,-1,1
50,OTHER,T16,4,1,10,2,-1,-1,SELLER,00T16@0,0,4,-1,-1,0
41,T35,OTHER,4,4,36,2,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
49,T35,OTHER,4,5,36,2,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
29,T22,T35,4,16,25,1,-1,1,01T22@0,02T35@1,17,4,-1,-1,1
27,T22,T35,4,2,24,1,-1,1,01T22@0,02T35@1,17,4,-1,-1,1
40,OTHER,T16,4,4,10,2,-1,-1,SELLER,00T16@0,0,4,-1,-1,0
64,OTHER,T22,5,4,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
69,T35,OTHER,5,3,36,3,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
68,T35,OTHER,5,5,36,3,-1,-1,06T35@3,BUYER,0,5,-1,-1,4
67,OTHER,T16,5,4,10,3,-1,-1,SELLER,00T16@0,0,5,-1,-1,0
66,T35,OTHER,5,5,36,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
65,T35,OTHER,5,5,36,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
77,T35,T09,5,10,13,4,-1,4,02T35@1,04T09@2,17,5,-1,-1,2
60,T35,OTHER,5,2,36,3,-1,-1,07T35@3,BUYER,0,5,-1,-1,4
59,OTHER,T22,5,5,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
58,OTHER,T22,5,3,10,3,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
57,OTHER,T16,5,4,10,3,-1,-1,SELLER,00T16@0,0,5,-1,-1,0
56,T35,T09,5,30,11,-1,-1,2,02T35@1,04T09@2,17,-1,-1,-1,2
19,T22,T35,5,5,34,1,-1,1,03T22@1,05T35@2,17,5,-1,-1,2
24,T22,T35,5,5,35,1,-1,1,03T22@1,05T35@2,17,5,-1,-1,2
16,T35,T09,5,37,11,1,-1,1,02T35@1,04T09@2,17,5,-1,-1,2
31,T22,T35,5,5,34,1,-1,1,03T22@1,05T35@2,17,5,-1,-1,2
21,T22,T35,6,5,34,1,-1,1,03T22@1,05T35@2,17,6,-1,-1,2
79,T35,OTHER,6,2,36,4,-1,-1,07T35@3,BUYER,0,6,-1,-1,4
78,T35,OTHER,6,7,36,4,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
25,T22,T35,6,1,24,1,-1,1,01T22@0,02T35@1,17,6,-1,-1,1
76,T35,OTHER,6,3,36,4,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
15,T22,T35,6,5,35,1,-1,1,03T22@1,05T35@2,17,6,-1,-1,2
80,T35,OTHER,6,6,36,4,-1,-1,07T35@3,BUYER,0,6,-1,-1,4
74,T35,OTHER,6,2,36,4,-1,-1,06T35@3,BUYER,0,6,-1,-1,4
89,T35,OTHER,7,2,36,5,-1,-1,07T35@3,BUYER,0,7,-1,-1,4
88,T35,OTHER,7,3,36,5,-1,-1,06T35@3,BUYER,0,7,-1,-1,4
85,T35,OTHER,7,5,36,5,-1,-1,07T35@3,BUYER,0,7,-1,-1,4
39,T22,T35,7,4,34,2,-1,2,03T22@1,05T35@2,17,7,-1,-1,2
86,T35,OTHER,7,4,36,5,-1,-1,07T35@3,BUYER,0,7,-1,-1,4
18,T22,T35,7,5,35,1,-1,1,03T22@1,05T35@2,17,7,-1,-1,2
87,T35,OTHER,7,6,36,5,-1,-1,06T35@3,BUYER,0,7,-1,-1,4
91,T35,OTHER,8,1,36,6,-1,-1,06T35@3,BUYER,0,8,-1,-1,4
93,T35,OTHER,8,2,36,6,-1,-1,07T35@3,BUYER,0,8,-1,-1,4
90,T35,OTHER,8,4,36,6,-1,-1,07T35@3,BUYER,0,8,-1,-1,4
94,T35,OTHER,8,9,36,6,-1,-1,06T35@3,BUYER,0,8,-1,-1,4
61,T22,T35,8,1,24,3,-1,3,01T22@0,02T35@1,17,-1,-1,-1,1
55,T09,T35,8,10,41,-1,-1,2,04T09@2,06T35@3,17,-1,-1,-1,3
53,T09,T35,8,10,43,-1,-1,2,04T09@2,07T35@3,17,-1,-1,-1,3
28,T22,T35,8,10,23,1,-1,1,01T22@0,02T35@1,17,-1,-1,-1,1
92,T35,OTHER,8,4,36,6,-1,-1,06T35@3,BUYER,0,8,-1,-1,4
95,T35,OTHER,9,6,36,7,-1,-1,06T35@3,BUYER,0,9,-1,-1,4
96,T35,OTHER,9,3,36,7,-1,-1,07T35@3,BUYER,0,9,-1,-1,4
97,T35,OTHER,9,6,36,7,-1,-1,07T35@3,BUYER,0,9,-1,-1,4
17,T22,T35,9,2,24,1,-1,1,01T22@0,02T35@1,17,-1,-1,-1,1
81,T09,T35,9,1,42,4,-1,4,04T09@2,07T35@3,17,9,-1,-1,3
75,T22,T35,9,1,24,4,-1,4,01T22@0,02T35@1,17,-1,-1,-1,1
73,T09,T35,9,1,42,4,-1,4,04T09@2,06T35@3,17,9,-1,-1,3
72,T09,T35,9,10,43,-1,-1,3,04T09@2,06T35@3,17,-1,-1,-1,3
71,T09,T35,9,10,43,-1,-1,3,04T09@2,07T35@3,17,-1,-1,-1,3
62,T22,T35,9,4,35,3,-1,3,03T22@1,05T35@2,17,9,-1,-1,2
98,T35,OTHER,9,3,36,7,-1,-1,06T35@3,BUYER,0,9,-1,-1,4
36,T22,T22,9,2,24,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
43,T22,T35,9,1,24,2,-1,2,01T22@0,02T35@1,17,-1,-1,-1,1
82,T22,T35,9,3,35,4,-1,4,03T22@1,05T35@2,17,9,-1,-1,2
99,T35,OTHER,9,2,36,7,-1,-1,06T35@3,BUYER,0,9,-1,-1,4
