index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,35.0,0,,43.0,0,,55.0,0,,0.0,290508,0.0,0.0,7,0,0,13,0,0.0,188,201,103,0.0,0.0,0,0,103,200,1.4756556581705809,1.4756556581705809
1,103,0,0,0,10.0,20,10.0,17.3,5,2.0,22.22641509433962,8,1.0,33.098039215686285,6,18.83333333333333,43.0,0,,55.0,0,,0.19,289659,0.0,0.0,12,0,0,5,0,0.0,51,56,67,622.0,399.0,41,62,67,331,3.1010604836046696,4.5767161417752495
2,67,0,0,0,10.0,20,10.0,16.967391304347824,1,2.0,22.437389770723104,9,23.555555555555557,32.57194899817851,9,29.88888888888889,43.264150943396224,8,44.75,55.0,0,,0.15000000000000002,288949,0.0,0.0,16,0,0,3,0,0.0,32,35,78,284.0,245.0,19,48,78,1041,2.964426903054118,7.541143044829369
3,78,0,0,0,10.0,20,10.0,15.95608108108108,3,2.0,23.61879712432053,6,33.666666666666664,28.083794915494966,21,17.523809523809526,43.689938398357285,1,64.0,55.0,0,,0.2,287348,0.0,0.0,15,0,0,4,0,0.0,32,36,74,330.0,249.0,23,55,74,840,3.5345984678715467,11.075741512700915
4,74,0,0,0,10.0,20,10.0,14.329960835509135,6,3.5,21.57685834296837,17,15.411764705882351,26.345606283750616,12,17.166666666666668,45.88789237668161,3,78.0,55.0,0,,0.27,285925,0.0,0.0,20,0,0,1,0,0.0,34,35,72,269.0,251.0,19,55,72,923,4.392401536926627,15.468143049627542
5,72,0,0,0,10.0,20,10.0,14.329960835509135,0,,19.569046349896592,43,16.697674418604652,25.054232983771843,11,17.09090909090909,46.30766913110993,1,64.0,55.0,20,55.0,0.21,283484,0.0,0.0,25,0,0,3,0,0.0,33,36,68,272.0,244.0,20,52,68,2270,5.209442622959613,20.67758567258716
6,68,0,0,0,10.0,20,10.0,12.106752839329676,9,1.8888888888888888,21.24261295536895,19,29.52631578947368,26.078705368418397,4,44.25,53.805128400655796,11,80.27272727272727,55.0,20,55.0,0.31,282058,0.0,0.0,27,0,0,6,0,0.0,32,38,58,265.0,201.0,21,47,58,2938,5.323928289115429,26.001513961702585
7,58,0,0,0,10.0,20,10.0,11.63739657197914,2,1.0,23.92668995462465,42,30.42857142857143,29.027172708916478,41,33.8780487804878,57.01402149537839,6,81.0,55.0,20,55.0,0.22000000000000006,278603,0.0,0.0,26,0,0,1,0,0.0,29,30,57,189.0,138.0,15,43,57,4455,5.807238545268774,31.80875250697136
8,57,0,0,0,10.0,20,10.0,11.508083181404036,1,6.0,23.88473982720889,31,23.70967741935484,32.55759335065352,33,43.0,60.9261267994333,14,73.71428571428571,55.0,17,55.0,0.29000000000000004,276506,0.0,0.0,31,0,0,0,0,0.0,28,28,49,183.0,144.0,14,43,49,4327,6.073811586946249,37.88256409391761
9,49,0,0,0,10.000000000000002,20,10.0,10.813458792845374,4,4.0,24.6487461284577,15,32.0,33.86854013434676,54,36.72222222222223,60.9261267994333,0,,54.99999999999999,13,55.0,0.24,273425,0.0,0.0,22,0,0,2,0,0.0,28,30,44,171.0,164.0,14,35,44,3394,6.098346209153532,43.980910303071134
10,44,0,0,0,10.000000000000002,20,10.0,9.809918207125842,5,2.0,24.85126898408207,7,29.0,34.18132077645851,37,35.486486486486484,64.35969140283687,12,79.75,55.0,15,55.0,0.25,271432,0.0,0.0,23,0,0,4,0,0.0,25,29,43,186.0,147.0,15,29,43,3508,5.085221968591212,49.06613227166235
11,43,0,0,0,10.000000000000002,20,10.0,9.809918207125842,0,,26.46836750371284,28,34.285714285714285,34.58808767092073,56,35.839285714285715,64.17222037621265,18,63.555555555555564,55.0,13,55.0,0.21,267584,0.0,0.0,29,0,0,2,0,0.0,29,31,47,207.0,183.0,16,27,47,5026,6.306627770885825,55.37276004254818
12,47,0,0,0,10.000000000000002,20,10.0,9.856967583990347,13,10.0,25.36775542501297,43,21.6046511627907,34.73967433523598,62,35.24193548387097,64.45165396184629,50,64.84,55.0,18,55.0,0.35,261368,0.0,0.0,30,0,0,4,0,0.0,28,32,49,268.0,167.0,19,28,49,7676,6.141945211216807,61.514705253764994
13,49,0,0,0,10.000000000000002,20,10.0,9.462865303158383,10,7.6,25.882320671543898,17,31.058823529411764,35.25468256222229,63,37.22222222222222,66.97610723390329,20,80.55,55.0,15,55.0,0.37,257829,0.0,0.0,29,0,0,3,0,0.0,37,40,50,321.0,161.0,24,25,50,5585,5.715372681617737,67.23007793538272
14,50,0,0,0,10.000000000000002,20,10.0,8.684696105266125,6,2.0,26.185430304696695,20,28.75,35.431176646103246,18,38.111111111111114,69.02933172384806,45,74.26666666666667,55.0,18,55.0,0.35,254215,0.0,0.0,28,0,0,1,0,0.0,35,36,52,318.0,188.0,20,30,52,5805,6.6112039256840935,73.8412818610668
15,52,0,0,0,10.000000000000002,20,10.0,8.272220440470122,5,4.0,26.033340634636986,27,25.074074074074073,35.95212589976468,54,38.481481481481474,67.16493473683397,31,58.516129032258064,55.0,13,55.0,0.35,250094,0.0,0.0,31,0,0,3,0,0.0,34,37,49,301.0,125.0,22,30,49,5504,6.073457969352603,79.91473983041942
16,49,0,0,0,10.000000000000002,20,10.0,7.671527454332923,7,3.2857142857142856,26.21399519706512,23,27.608695652173914,34.654292468713244,28,21.464285714285715,66.96901870243487,38,66.15789473684211,55.00000000000001,15,55.0,0.35,246087,0.0,0.0,31,0,0,0,0,0.0,32,32,49,209.0,177.0,16,33,49,4798,5.710580844432116,85.62532067485155
17,49,0,0,0,10.000000000000002,20,10.0,7.671527454332923,0,,23.432036240686024,49,13.183673469387756,33.537937634696824,67,28.85074626865672,66.21064544192562,11,54.09090909090909,55.00000000000001,14,55.0,0.3,240095,0.0,0.0,33,0,0,3,0,0.0,28,31,52,221.0,164.0,17,32,52,4144,6.045864280313253,91.67118495516479
18,52,0,0,0,10.000000000000002,20,10.0,7.499476493345758,4,5.25,25.156269633356967,63,30.809523809523807,33.08851321856365,10,19.0,66.18925602193539,19,66.0,55.00000000000002,12,55.0,0.33,235434,0.0,0.0,29,0,0,4,0,0.0,34,38,46,243.0,148.0,21,31,46,4266,5.92704439163208,97.59822934679687
19,46,0,0,0,10.000000000000002,20,10.0,7.499476493345758,0,,25.64767939498495,29,29.75862068965517,33.94840563966139,26,43.57692307692307,64.72322123745717,51,59.88235294117647,55.00000000000002,20,55.0,0.3,231516,0.0,0.0,30,0,0,4,0,0.0,28,32,44,228.0,122.0,15,31,44,6350,0.8149139471352099,98.41314329393208
20,44,0,0,0,10.000000000000002,20,10.0,7.499476493345758,0,,25.62036882759017,43,25.465116279069772,35.101589954440996,38,43.76315789473684,64.1274323695377,60,62.16666666666666,55.00000000000002,20,55.0,0.3,224257,0.0,0.0,32,0,0,0,0,0.0,26,26,47,171.0,129.0,11,33,47,7788,7.202306643128395,105.61544993706049
