index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
248,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
152,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
182,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
209,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
314,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
165,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
210,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
83,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
73,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
214,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
116,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
30,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
188,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
327,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
427,T35,T35,1,9,21,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
426,T35,T35,1,8,21,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
81,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
258,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
414,T35,T35,1,7,21,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
105,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
289,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
174,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
12,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
393,T35,T35,1,7,21,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
399,T35,T35,1,7,21,1,-1,1,07T35@3,09T35@4,17,1,-1,-1,4
488,T22,T23,2,9,25,-1,-1,2,01T22@0,03T23@1,15,-1,-1,-1,1
492,T22,T35,2,10,22,-1,-1,2,00T22@0,02T35@1,17,-1,-1,-1,1
484,T22,T23,2,9,25,-1,-1,2,00T22@0,03T23@1,14,-1,-1,-1,1
99,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
58,OTHER,T22,2,5,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
478,T35,T35,2,8,21,2,-1,2,07T35@3,09T35@4,17,2,-1,-1,4
339,OTHER,T22,2,4,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
181,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
242,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
455,T23,T35,2,7,3,2,-1,2,05T23@2,07T35@3,13,2,-1,-1,3
202,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
467,T23,T35,2,3,1,2,-1,2,05T23@2,07T35@3,11,2,-1,-1,3
162,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
19,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
3,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
451,T23,T35,3,9,7,2,-1,2,04T23@2,07T35@3,14,3,-1,-1,3
401,T35,T35,3,6,21,1,-1,1,07T35@3,09T35@4,17,3,-1,-1,4
415,T35,T35,3,7,21,1,-1,1,07T35@3,09T35@4,17,3,-1,-1,4
287,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
403,T35,T35,3,7,21,1,-1,1,07T35@3,09T35@4,17,3,-1,-1,4
485,T22,T23,3,15,27,-1,-1,2,00T22@0,03T23@1,12,-1,-1,-1,1
430,T35,T35,3,8,23,1,-1,1,07T35@3,09T35@4,17,3,-1,-1,4
313,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
317,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
434,T22,T23,3,16,27,-1,-1,1,01T22@0,03T23@1,11,-1,-1,-1,1
469,T23,T35,3,4,12,2,-1,2,04T23@2,07T35@3,17,3,-1,-1,3
27,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
155,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
288,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
334,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
437,T22,T23,3,7,28,-1,-1,1,01T22@0,03T23@1,12,-1,-1,-1,1
445,T23,T35,3,2,1,2,-1,2,04T23@2,07T35@3,11,3,-1,-1,3
238,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
461,T23,T35,3,10,15,2,-1,2,05T23@2,07T35@3,16,3,-1,-1,3
107,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
346,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
121,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
491,T22,T23,4,12,28,-1,-1,2,00T22@0,03T23@1,10,-1,-1,-1,1
456,T23,T35,4,14,5,2,-1,2,04T23@2,07T35@3,13,4,-1,-1,3
278,OTHER,T22,4,2,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
18,OTHER,T22,4,1,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
72,OTHER,T22,4,4,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
68,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
433,T22,T35,4,14,22,-1,-1,1,01T22@0,02T35@1,17,-1,-1,-1,1
543,T23,T23,4,1,6,4,-1,4,03T23@1,05T23@2,11,4,-1,-1,2
532,T35,T23,4,1,15,4,-1,4,02T35@1,05T23@2,14,4,-1,-1,2
326,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
271,OTHER,T22,4,2,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
296,OTHER,T22,4,1,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
1,OTHER,T22,4,1,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
432,T22,T23,4,16,28,-1,-1,1,00T22@0,03T23@1,8,-1,-1,-1,1
257,OTHER,T22,4,3,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
490,T22,T35,5,13,22,-1,-1,2,00T22@0,02T35@1,17,-1,-1,-1,1
253,OTHER,T22,5,3,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
261,OTHER,T22,5,1,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
241,T24,OTHER,5,1,55,0,-1,-1,08T24@4,BUYER,0,5,-1,-1,5
5,OTHER,T22,5,3,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
232,T35,OTHER,5,5,55,0,-1,-1,09T35@4,BUYER,0,5,-1,-1,5
104,T35,OTHER,5,1,55,0,-1,-1,09T35@4,BUYER,0,5,-1,-1,5
237,T24,OTHER,5,4,55,0,-1,-1,08T24@4,BUYER,0,5,-1,-1,5
282,OTHER,T22,5,4,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
128,OTHER,T22,5,3,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
389,T35,T35,5,8,23,1,-1,1,07T35@3,09T35@4,17,5,-1,-1,4
391,T35,T35,5,8,23,1,-1,1,07T35@3,09T35@4,17,5,-1,-1,4
454,T23,T35,5,7,3,2,-1,2,04T23@2,07T35@3,12,5,-1,-1,3
39,OTHER,T22,5,3,10,0,-1,-1,SELLER,00T22@0,0,5,-1,-1,0
436,T22,T23,5,13,27,-1,-1,1,00T22@0,03T23@1,12,-1,-1,-1,1
47,T24,OTHER,5,1,55,0,-1,-1,08T24@4,BUYER,0,5,-1,-1,5
435,T22,T23,5,7,27,-1,-1,1,00T22@0,03T23@1,13,-1,-1,-1,1
335,T35,OTHER,5,2,55,0,-1,-1,09T35@4,BUYER,0,5,-1,-1,5
333,T24,OTHER,5,1,55,0,-1,-1,08T24@4,BUYER,0,5,-1,-1,5
331,T35,OTHER,5,2,55,0,-1,-1,09T35@4,BUYER,0,5,-1,-1,5
402,T22,T35,5,15,22,1,-1,1,01T22@0,02T35@1,17,5,-1,-1,1
565,T23,T35,5,6,2,5,-1,5,04T23@2,07T35@3,18,5,-1,-1,3
168,OTHER,T22,5,1,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
487,T22,T35,5,15,22,-1,-1,2,00T22@0,02T35@1,17,-1,-1,-1,1
224,T35,OTHER,5,1,55,0,-1,-1,09T35@4,BUYER,0,5,-1,-1,5
211,OTHER,T22,5,1,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
322,OTHER,T22,5,1,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
586,T23,T35,5,20,2,-1,-1,5,05T23@2,07T35@3,12,-1,-1,-1,3
26,T24,OTHER,5,2,55,0,-1,-1,08T24@4,BUYER,0,5,-1,-1,5
566,T35,T35,6,6,21,5,-1,5,07T35@3,09T35@4,17,6,-1,-1,4
528,T23,T35,6,3,7,4,-1,4,05T23@2,07T35@3,14,6,-1,-1,3
117,T35,OTHER,6,1,55,0,-1,-1,09T35@4,BUYER,0,6,-1,-1,5
222,OTHER,T22,6,3,10,0,-1,-1,SELLER,01T22@0,0,6,-1,-1,0
187,OTHER,T22,6,2,10,0,-1,-1,SELLER,00T22@0,0,6,-1,-1,0
167,T35,OTHER,6,3,55,0,-1,-1,09T35@4,BUYER,0,6,-1,-1,5
161,T24,OTHER,6,1,55,0,-1,-1,08T24@4,BUYER,0,6,-1,-1,5
233,T24,OTHER,6,2,55,0,-1,-1,08T24@4,BUYER,0,6,-1,-1,5
228,OTHER,T22,6,1,10,0,-1,-1,SELLER,01T22@0,0,6,-1,-1,0
548,T23,T35,6,17,7,4,-1,4,04T23@2,07T35@3,13,6,-1,-1,3
450,T23,T35,6,21,2,2,-1,2,05T23@2,07T35@3,9,6,-1,-1,3
510,T23,T35,6,7,9,3,-1,3,04T23@2,07T35@3,14,6,-1,-1,3
45,OTHER,T22,6,2,10,0,-1,-1,SELLER,00T22@0,0,6,-1,-1,0
330,OTHER,T22,6,1,10,0,-1,-1,SELLER,00T22@0,0,6,-1,-1,0
463,T23,T35,6,13,1,2,-1,2,05T23@2,07T35@3,9,6,-1,-1,3
318,T24,OTHER,6,2,55,0,-1,-1,08T24@4,BUYER,0,6,-1,-1,5
513,T23,T35,6,1,9,3,-1,3,05T23@2,07T35@3,15,6,-1,-1,3
66,T35,OTHER,6,3,55,0,-1,-1,09T35@4,BUYER,0,6,-1,-1,5
70,T35,OTHER,6,4,55,0,-1,-1,09T35@4,BUYER,0,6,-1,-1,5
74,OTHER,T22,6,3,10,0,-1,-1,SELLER,00T22@0,0,6,-1,-1,0
444,T22,T35,6,15,22,2,-1,2,01T22@0,02T35@1,17,6,-1,-1,1
157,OTHER,T22,6,1,10,0,-1,-1,SELLER,01T22@0,0,6,-1,-1,0
489,T22,T23,6,12,26,-1,-1,2,00T22@0,03T23@1,14,-1,-1,-1,1
440,T22,T23,6,4,28,2,-1,2,01T22@0,03T23@1,13,6,-1,-1,1
95,T24,OTHER,6,2,55,0,-1,-1,08T24@4,BUYER,0,6,-1,-1,5
275,OTHER,T22,6,2,10,0,-1,-1,SELLER,01T22@0,0,6,-1,-1,0
431,T22,T35,6,10,20,1,-1,1,00T22@0,02T35@1,17,6,-1,-1,1
267,T24,OTHER,6,1,55,0,-1,-1,08T24@4,BUYER,0,6,-1,-1,5
101,OTHER,T22,6,2,10,0,-1,-1,SELLER,01T22@0,0,6,-1,-1,0
102,OTHER,T22,6,2,10,0,-1,-1,SELLER,00T22@0,0,6,-1,-1,0
404,T22,T35,6,10,20,1,-1,1,01T22@0,02T35@1,17,6,-1,-1,1
263,T35,OTHER,6,1,55,0,-1,-1,09T35@4,BUYER,0,6,-1,-1,5
277,OTHER,T22,6,1,10,0,-1,-1,SELLER,01T22@0,0,6,-1,-1,0
458,T23,T35,6,6,4,2,-1,2,05T23@2,07T35@3,12,6,-1,-1,3
179,OTHER,T22,7,4,10,0,-1,-1,SELLER,00T22@0,0,7,-1,-1,0
447,T22,T35,7,10,20,2,-1,2,01T22@0,02T35@1,17,7,-1,-1,1
384,T22,T23,7,14,26,1,-1,1,00T22@0,03T23@1,13,7,-1,-1,1
449,T23,T35,7,1,3,2,-1,2,04T23@2,07T35@3,12,7,-1,-1,3
175,T24,OTHER,7,2,55,0,-1,-1,08T24@4,BUYER,0,7,-1,-1,5
412,T22,T23,7,9,27,1,-1,1,01T22@0,03T23@1,13,7,-1,-1,1
476,T22,T23,7,15,22,2,-1,2,01T22@0,03T23@1,16,7,-1,-1,1
183,T24,OTHER,7,3,55,0,-1,-1,08T24@4,BUYER,0,7,-1,-1,5
336,OTHER,T22,7,2,10,0,-1,-1,SELLER,01T22@0,0,7,-1,-1,0
