index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,32.0,0,,41.0,0,,0.18333333333333332,183860,0.0,0.0,10,0,0,93,0,0.0,277,370,62,0.0,0.0,0,0,62,200,1.5693502742797136,1.5693502742797136
1,62,0,0,0,10.0,20,10.0,18.1,5,10.0,32.0,0,,41.0,0,,0.31666666666666665,183660,0.0,0.0,10,0,0,17,0,0.0,25,42,14,396.0,120.0,22,40,14,250,3.0532812662422657,4.622631540521978
2,14,0,0,0,10.0,20,10.0,17.290000000000006,5,10.0,32.0,0,,41.0,0,,0.3333333333333333,183460,0.0,0.0,12,0,0,10,0,0.0,14,24,14,54.0,33.0,3,11,14,250,1.4985378738492727,6.121169414371253
3,14,0,0,0,10.0,20,10.0,16.561,5,10.0,32.0,0,,41.0,20,41.0,0.3,182942,0.0,0.0,23,0,0,10,0,0.0,13,23,14,54.0,33.0,3,11,14,1070,2.1559493709355597,8.277118785306811
4,14,0,0,0,10.0,20,10.0,18.550703125,19,23.26315789473684,32.0,0,,41.0,16,41.0,0.4833333333333333,182524,0.0,0.0,23,0,0,1,0,0.0,24,25,12,54.0,33.0,3,11,12,1298,2.1686923783272505,10.445811163634064
5,12,0,0,0,10.0,20,10.0,18.958627873563216,12,20.916666666666668,32.0,0,,41.00000000000001,12,41.0,0.5,182180,0.0,0.0,19,0,0,1,0,0.0,22,23,12,36.0,30.0,2,10,12,943,1.519824942573905,11.965636106207967
6,12,0,0,0,10.0,20,10.0,19.867438971855254,7,28.0,32.0,0,,41.00000000000001,11,41.0,0.36666666666666653,181854,0.0,0.0,18,0,0,2,0,0.0,20,22,14,36.0,30.0,2,10,14,847,2.5021686479449268,14.467804754152894
7,14,0,0,0,10.0,20,10.0,20.684476792582807,7,28.0,32.0,0,,41.00000000000001,11,41.0,0.36666666666666653,181532,0.0,0.0,19,0,0,4,0,0.0,21,25,12,54.0,33.0,3,11,12,847,2.2202054299414162,16.68801018409431
8,12,0,0,0,10.0,20,10.0,20.721772176890422,12,20.916666666666668,32.0,0,,41.00000000000001,10,41.0,0.3666666666666667,181226,0.0,0.0,16,0,0,4,0,0.0,21,25,12,36.0,30.0,2,10,12,861,1.7487211097031832,18.436731293797493
9,12,0,0,0,10.000000000000002,20,10.0,21.408050049732246,7,28.0,32.0,0,,41.00000000000001,9,41.0,0.3833333333333333,180932,0.0,0.0,16,0,0,5,0,0.0,19,24,14,36.0,30.0,2,10,14,765,2.1358801182359457,20.572611412033442
