index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
507,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
586,OTHER,T00,0,3,10,0,-1,-1,SELLER,00T00@0,0,0,-1,-1,0
292,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
558,OTHER,T00,0,1,10,0,-1,-1,SELLER,00T00@0,0,0,-1,-1,0
225,OTHER,T00,0,2,10,0,-1,-1,SELLER,00T00@0,0,0,-1,-1,0
377,OTHER,T00,0,2,10,0,-1,-1,SELLER,00T00@0,0,0,-1,-1,0
470,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
481,OTHER,T00,0,4,10,0,-1,-1,SELLER,00T00@0,0,0,-1,-1,0
773,T35,T35,1,13,14,-1,-1,1,02T35@1,05T35@2,17,-1,-1,-1,2
583,OTHER,T00,1,2,10,0,-1,-1,SELLER,00T00@0,0,1,-1,-1,0
341,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
764,T35,T35,1,9,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
677,T35,T35,1,5,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
678,T35,T35,1,10,14,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
682,T00,T35,1,9,28,1,-1,1,00T00@0,02T35@1,17,1,-1,-1,1
687,T35,T08,1,10,14,1,-1,1,03T35@1,04T08@2,17,1,-1,-1,2
691,T35,T08,1,10,14,1,-1,1,02T35@1,04T08@2,17,1,-1,-1,2
692,T35,T08,1,7,16,1,-1,1,02T35@1,04T08@2,17,1,-1,-1,2
264,OTHER,T00,1,1,10,0,-1,-1,SELLER,00T00@0,0,1,-1,-1,0
754,T35,T35,1,10,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
779,T35,T35,1,11,14,-1,-1,1,02T35@1,05T35@2,17,-1,-1,-1,2
711,T35,T35,1,9,14,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
776,T35,T35,1,13,14,-1,-1,1,02T35@1,05T35@2,17,-1,-1,-1,2
775,T35,T35,1,11,14,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
726,T35,T35,1,9,16,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
774,T35,T35,1,13,14,-1,-1,1,03T35@1,05T35@2,17,-1,-1,-1,2
107,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
256,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
770,T35,T35,1,8,16,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
494,OTHER,T00,1,3,10,0,-1,-1,SELLER,00T00@0,0,1,-1,-1,0
387,OTHER,T00,1,4,10,0,-1,-1,SELLER,00T00@0,0,1,-1,-1,0
133,OTHER,T00,1,2,10,0,-1,-1,SELLER,00T00@0,0,1,-1,-1,0
7,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
850,T35,T08,2,13,14,-1,-1,2,03T35@1,04T08@2,17,-1,-1,-1,2
851,T35,T08,2,15,14,-1,-1,2,02T35@1,04T08@2,17,-1,-1,-1,2
294,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
846,T35,T35,2,19,9,-1,-1,2,01T35@0,03T35@1,17,-1,-1,-1,1
739,T35,T35,2,9,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
818,T35,T35,2,1,10,2,-1,2,01T35@0,02T35@1,17,2,-1,-1,1
712,T35,T35,2,8,14,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
852,T35,T35,2,21,11,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
853,T35,T08,2,13,14,-1,-1,2,02T35@1,04T08@2,17,-1,-1,-1,2
126,OTHER,T00,2,2,10,0,-1,-1,SELLER,00T00@0,0,2,-1,-1,0
844,T35,T08,2,14,16,-1,-1,2,02T35@1,04T08@2,17,-1,-1,-1,2
676,T35,T35,2,8,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
713,T35,T35,2,8,16,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
480,OTHER,T00,2,2,10,0,-1,-1,SELLER,00T00@0,0,2,-1,-1,0
568,OTHER,T00,2,3,10,0,-1,-1,SELLER,00T00@0,0,2,-1,-1,0
728,T35,T35,2,11,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
848,T35,T08,2,13,14,-1,-1,2,02T35@1,04T08@2,17,-1,-1,-1,2
857,T35,T08,2,14,16,-1,-1,2,03T35@1,04T08@2,17,-1,-1,-1,2
40,OTHER,T00,2,1,10,0,-1,-1,SELLER,00T00@0,0,2,-1,-1,0
25,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
580,OTHER,T35,2,1,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
571,OTHER,T00,2,2,10,0,-1,-1,SELLER,00T00@0,0,2,-1,-1,0
325,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
70,T35,OTHER,3,2,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
887,T35,T08,3,12,14,-1,-1,3,02T35@1,04T08@2,17,-1,-1,-1,2
772,T35,T35,3,6,16,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
888,T35,T35,3,24,11,-1,-1,3,01T35@0,02T35@1,17,-1,-1,-1,1
839,T35,T35,3,14,9,2,-1,2,01T35@0,02T35@1,17,3,-1,-1,1
455,T35,OTHER,3,4,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
889,T35,T08,3,14,14,-1,-1,3,03T35@1,04T08@2,17,-1,-1,-1,2
825,T35,T35,3,1,10,2,-1,2,01T35@0,03T35@1,17,3,-1,-1,1
891,T35,T08,3,14,14,-1,-1,3,02T35@1,04T08@2,17,-1,-1,-1,2
747,T35,T35,3,11,16,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
707,T35,T35,3,8,14,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
831,T35,T35,3,8,16,2,-1,2,03T35@1,05T35@2,17,3,-1,-1,2
547,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
699,T35,T35,3,11,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
552,T08,OTHER,3,2,34,0,-1,-1,04T08@2,BUYER,0,3,-1,-1,3
32,T08,OTHER,3,3,34,0,-1,-1,04T08@2,BUYER,0,3,-1,-1,3
543,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
120,T35,OTHER,3,2,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
203,T35,OTHER,3,2,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
118,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
332,OTHER,T00,3,4,10,0,-1,-1,SELLER,00T00@0,0,3,-1,-1,0
496,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
801,T35,T35,3,20,11,2,-1,2,01T35@0,03T35@1,17,3,-1,-1,1
201,T08,OTHER,3,2,34,0,-1,-1,04T08@2,BUYER,0,3,-1,-1,3
300,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
783,T00,T35,3,20,30,-1,-1,1,00T00@0,03T35@1,17,-1,-1,-1,1
526,T08,OTHER,3,1,34,0,-1,-1,04T08@2,BUYER,0,3,-1,-1,3
402,OTHER,T00,3,1,10,0,-1,-1,SELLER,00T00@0,0,3,-1,-1,0
735,T35,T08,3,8,14,1,-1,1,02T35@1,04T08@2,17,3,-1,-1,2
412,OTHER,T00,3,2,10,0,-1,-1,SELLER,00T00@0,0,3,-1,-1,0
382,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
788,T35,T35,3,14,11,2,-1,2,01T35@0,03T35@1,17,3,-1,-1,1
520,T08,OTHER,3,2,34,0,-1,-1,04T08@2,BUYER,0,3,-1,-1,3
134,T08,OTHER,4,3,34,0,-1,-1,04T08@2,BUYER,0,4,-1,-1,3
823,T35,T35,4,14,9,2,-1,2,01T35@0,02T35@1,17,4,-1,-1,1
826,T35,T08,4,13,16,2,-1,2,02T35@1,04T08@2,17,4,-1,-1,2
147,T08,OTHER,4,1,34,0,-1,-1,04T08@2,BUYER,0,4,-1,-1,3
778,T00,T35,4,40,29,-1,-1,1,00T00@0,03T35@1,17,-1,-1,-1,1
159,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
817,T35,T35,4,14,11,2,-1,2,01T35@0,03T35@1,17,4,-1,-1,1
190,OTHER,T00,4,3,10,0,-1,-1,SELLER,00T00@0,0,4,-1,-1,0
114,T08,OTHER,4,2,34,0,-1,-1,04T08@2,BUYER,0,4,-1,-1,3
838,T35,T08,4,13,16,2,-1,2,03T35@1,04T08@2,17,4,-1,-1,2
926,T00,T35,4,2194,19,-1,-1,4,00T00@0,02T35@1,2,-1,-1,-1,1
504,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
351,OTHER,T35,4,3,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
346,OTHER,T35,4,3,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
499,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
433,T35,OTHER,4,3,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
489,T35,OTHER,4,1,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
302,T08,OTHER,4,2,34,0,-1,-1,04T08@2,BUYER,0,4,-1,-1,3
535,OTHER,T00,4,1,10,0,-1,-1,SELLER,00T00@0,0,4,-1,-1,0
440,T08,OTHER,4,2,34,0,-1,-1,04T08@2,BUYER,0,4,-1,-1,3
390,T35,OTHER,4,3,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
916,T35,T35,4,9,11,4,-1,4,01T35@0,02T35@1,17,4,-1,-1,1
696,T35,T35,4,8,14,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
706,T35,T35,4,13,14,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
905,T35,T35,4,9,11,4,-1,4,01T35@0,03T35@1,17,4,-1,-1,1
717,T35,T08,4,7,14,1,-1,1,02T35@1,04T08@2,17,4,-1,-1,2
231,OTHER,T00,4,3,10,0,-1,-1,SELLER,00T00@0,0,4,-1,-1,0
731,T35,T35,4,13,14,1,-1,1,03T35@1,05T35@2,17,4,-1,-1,2
224,T35,OTHER,4,3,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
482,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
472,T35,OTHER,5,3,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
490,OTHER,T00,5,2,10,0,-1,-1,SELLER,00T00@0,0,5,-1,-1,0
824,T35,T35,5,8,14,2,-1,2,02T35@1,05T35@2,17,5,-1,-1,2
415,T08,OTHER,5,1,34,0,-1,-1,04T08@2,BUYER,0,5,-1,-1,3
750,T35,T35,5,11,16,1,-1,1,03T35@1,05T35@2,17,5,-1,-1,2
802,T35,T35,5,24,9,2,-1,2,01T35@0,02T35@1,17,5,-1,-1,1
544,T35,OTHER,5,3,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
359,OTHER,T00,5,2,10,0,-1,-1,SELLER,00T00@0,0,5,-1,-1,0
758,T35,T35,5,9,14,1,-1,1,03T35@1,05T35@2,17,5,-1,-1,2
330,T35,OTHER,5,1,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
324,OTHER,T00,5,1,10,0,-1,-1,SELLER,00T00@0,0,5,-1,-1,0
634,T08,OTHER,5,3,34,-1,-1,-1,04T08@2,BUYER,0,-1,-1,-1,3
638,T08,OTHER,5,2,34,-1,-1,-1,04T08@2,BUYER,0,-1,-1,-1,3
274,OTHER,T00,5,2,10,0,-1,-1,SELLER,00T00@0,0,5,-1,-1,0
782,T00,T35,5,44,29,-1,-1,1,00T00@0,02T35@1,17,-1,-1,-1,1
714,T35,T35,5,13,16,1,-1,1,03T35@1,05T35@2,17,5,-1,-1,2
386,OTHER,T00,5,2,10,0,-1,-1,SELLER,00T00@0,0,5,-1,-1,0
252,T35,OTHER,5,1,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
233,T08,OTHER,5,4,34,0,-1,-1,04T08@2,BUYER,0,5,-1,-1,3
