index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,46.0,0,,0.20000000000000004,248200,0.0,0.0,8,0,0,98,0,0.0,351,449,62,0.0,0.0,0,0,62,200,0.2272688113152981,0.2272688113152981
1,62,0,0,0,10.0,20,10.0,18.49056603773585,8,10.0,30.0,0,,46.0,0,,0.3833333333333333,248000,0.0,0.0,11,0,0,8,0,0.0,19,27,56,234.0,267.0,13,49,56,280,1.0533604137599468,1.2806292250752451
2,56,0,0,0,10.0,20,10.0,17.779886148007584,5,11.0,30.0,0,,46.0,0,,0.3333333333333333,247800,0.0,0.0,8,0,0,8,0,0.0,13,21,52,90.0,193.0,5,51,52,255,0.7407482080161572,2.0213774330914016
3,52,0,0,0,10.0,20,10.0,17.779886148007584,0,,30.0,0,,46.0,20,46.0,0.21666666666666667,247246,0.0,0.0,17,0,0,8,0,0.0,11,19,43,54.0,147.0,3,49,43,1120,1.0325114279985428,3.053888861089945
4,43,0,0,0,10.0,20,10.0,19.63420141502333,19,24.26315789473684,30.0,0,,46.0,17,46.0,0.43333333333333335,246800,0.0,0.0,16,0,0,0,0,0.0,16,16,44,0.0,129.0,0,43,44,1443,1.2165605165064337,4.270449377596377
5,44,0,0,0,10.0,20,10.0,22.47275228181426,26,29.0,30.0,0,,46.0,7,46.0,0.5666666666666668,246246,0.0,0.0,12,0,0,1,0,0.0,17,18,47,18.0,144.0,1,43,47,1276,1.0630161557346582,5.3334655333310375
6,47,0,0,0,10.0,20,10.0,23.534573351856604,15,29.0,30.0,0,,46.00000000000001,15,46.0,0.4166666666666667,245691,0.0,0.0,15,0,0,5,0,0.0,11,16,41,18.0,153.0,1,46,41,1325,1.637402318418026,6.970867851749063
7,41,0,0,0,10.0,20,10.0,24.4179864380815,16,29.0,30.0,0,,46.0,11,46.0,0.43333333333333335,245209,0.0,0.0,14,0,0,3,0,0.0,14,17,29,0.0,123.0,0,41,29,1170,1.356466893106699,8.327334744855763
8,29,0,0,0,10.0,20,10.0,25.078290469564124,15,29.0,30.0,0,,46.0,8,46.0,0.4166666666666667,244793,0.0,0.0,14,0,0,3,0,0.0,15,18,21,0.0,87.0,0,29,21,1003,1.3986938819289207,9.72602862678468
9,21,0,0,0,10.000000000000002,20,10.0,27.05668571625801,47,31.0,30.0,0,,46.00000000000001,11,46.0,0.65,243128,0.0,0.0,15,0,0,4,0,0.0,13,17,24,0.0,63.0,0,21,24,2163,1.0395857635885477,10.76561439037323
10,24,0,0,0,10.000000000000002,20,10.0,27.85225076795536,32,31.0,30.0,0,,46.00000000000001,9,46.0,0.5833333333333334,242203,0.0,0.0,15,0,0,3,0,0.0,14,17,28,18.0,69.0,1,23,28,1606,1.9869026392698288,12.75251702964306
11,28,0,0,0,10.000000000000002,20,10.0,27.85225076795536,0,,30.0,0,,46.00000000000002,11,46.0,0.5666666666666667,241886,0.0,0.0,11,0,0,5,0,0.0,13,18,34,54.0,75.0,3,25,34,706,2.5137339998036623,15.266251029446721
