index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
224,OTHER,T41,0,4,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
210,OTHER,T41,0,4,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
64,OTHER,T41,0,5,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
23,OTHER,T41,0,3,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
19,OTHER,T41,0,4,10,0,-1,-1,SELLER,01T41@0,0,0,-1,-1,0
24,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
227,OTHER,T41,1,5,10,0,-1,-1,SELLER,01T41@0,0,1,-1,-1,0
256,T23,T41,1,1,3,1,-1,1,04T23@2,06T41@3,12,1,-1,-1,3
257,T23,T41,1,1,5,1,-1,1,05T23@2,06T41@3,13,1,-1,-1,3
161,OTHER,T41,1,5,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
268,T23,T41,1,2,12,1,-1,1,04T23@2,06T41@3,15,1,-1,-1,3
217,OTHER,T41,1,4,10,0,-1,-1,SELLER,01T41@0,0,1,-1,-1,0
265,T23,T41,1,1,5,1,-1,1,04T23@2,06T41@3,12,1,-1,-1,3
26,OTHER,T41,1,4,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
13,OTHER,T41,2,2,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
114,OTHER,T41,2,4,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
284,T23,T41,2,2,1,2,-1,2,05T23@2,06T41@3,11,2,-1,-1,3
106,OTHER,T41,2,8,10,0,-1,-1,SELLER,01T41@0,0,2,-1,-1,0
59,OTHER,T41,2,6,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
261,T23,T41,2,3,2,1,-1,1,04T23@2,06T41@3,11,2,-1,-1,3
260,T23,T41,2,3,4,1,-1,1,05T23@2,06T41@3,11,2,-1,-1,3
294,T23,T41,3,3,1,3,-1,3,05T23@2,06T41@3,6,3,-1,-1,3
267,T23,T41,3,2,2,1,-1,1,05T23@2,06T41@3,11,3,-1,-1,3
37,OTHER,T41,3,2,10,0,-1,-1,SELLER,01T41@0,0,3,-1,-1,0
211,OTHER,T41,3,6,10,0,-1,-1,SELLER,01T41@0,0,3,-1,-1,0
263,T23,T41,3,1,1,1,-1,1,05T23@2,06T41@3,8,3,-1,-1,3
278,T23,T41,3,4,1,2,-1,2,05T23@2,06T41@3,7,3,-1,-1,3
146,OTHER,T41,3,2,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
81,OTHER,T41,3,6,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
198,OTHER,T41,3,4,10,0,-1,-1,SELLER,01T41@0,0,3,-1,-1,0
277,T23,T41,4,1,2,2,-1,2,04T23@2,06T41@3,12,4,-1,-1,3
171,OTHER,T41,4,5,10,0,-1,-1,SELLER,01T41@0,0,4,-1,-1,0
60,T41,OTHER,4,2,53,0,-1,-1,06T41@3,BUYER,0,4,-1,-1,4
181,T20,OTHER,4,5,53,0,-1,-1,07T20@3,BUYER,0,4,-1,-1,4
270,T23,T41,4,5,4,1,-1,1,04T23@2,06T41@3,12,4,-1,-1,3
67,OTHER,T41,4,5,10,0,-1,-1,SELLER,01T41@0,0,4,-1,-1,0
74,OTHER,T41,4,4,10,0,-1,-1,SELLER,00T41@0,0,4,-1,-1,0
82,OTHER,T41,4,4,10,0,-1,-1,SELLER,00T41@0,0,4,-1,-1,0
157,T20,OTHER,4,5,53,0,-1,-1,07T20@3,BUYER,0,4,-1,-1,4
189,T41,OTHER,4,8,53,0,-1,-1,06T41@3,BUYER,0,4,-1,-1,4
300,T23,T41,4,2,2,4,-1,4,04T23@2,06T41@3,11,4,-1,-1,3
83,OTHER,T41,4,2,10,0,-1,-1,SELLER,01T41@0,0,4,-1,-1,0
202,OTHER,T41,5,5,10,0,-1,-1,SELLER,00T41@0,0,5,-1,-1,0
90,OTHER,T41,5,5,10,0,-1,-1,SELLER,00T41@0,0,5,-1,-1,0
150,OTHER,T41,5,4,10,0,-1,-1,SELLER,01T41@0,0,5,-1,-1,0
32,T41,OTHER,5,7,53,0,-1,-1,06T41@3,BUYER,0,5,-1,-1,4
274,T23,T41,5,1,5,2,-1,2,04T23@2,06T41@3,13,5,-1,-1,3
102,T41,OTHER,5,3,53,0,-1,-1,06T41@3,BUYER,0,5,-1,-1,4
183,OTHER,T41,5,2,10,0,-1,-1,SELLER,01T41@0,0,5,-1,-1,0
174,T20,OTHER,5,7,53,0,-1,-1,07T20@3,BUYER,0,5,-1,-1,4
291,T23,T41,5,4,6,3,-1,3,04T23@2,06T41@3,15,5,-1,-1,3
317,T23,T41,5,5,16,5,-1,5,05T23@2,06T41@3,17,5,-1,-1,3
16,T20,OTHER,5,3,53,0,-1,-1,07T20@3,BUYER,0,5,-1,-1,4
57,OTHER,T41,5,4,10,0,-1,-1,SELLER,00T41@0,0,5,-1,-1,0
92,OTHER,T41,6,5,10,0,-1,-1,SELLER,01T41@0,0,6,-1,-1,0
129,T41,OTHER,6,5,53,0,-1,-1,06T41@3,BUYER,0,6,-1,-1,4
63,OTHER,T41,6,4,10,0,-1,-1,SELLER,00T41@0,0,6,-1,-1,0
6,OTHER,T41,6,5,10,0,-1,-1,SELLER,00T41@0,0,6,-1,-1,0
297,T23,T41,6,1,8,3,-1,3,04T23@2,06T41@3,14,6,-1,-1,3
121,OTHER,T41,6,5,10,0,-1,-1,SELLER,01T41@0,0,6,-1,-1,0
234,T41,OTHER,6,3,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
44,T41,OTHER,6,4,53,0,-1,-1,06T41@3,BUYER,0,6,-1,-1,4
42,T20,OTHER,6,4,53,0,-1,-1,07T20@3,BUYER,0,6,-1,-1,4
176,T20,OTHER,6,4,53,0,-1,-1,07T20@3,BUYER,0,6,-1,-1,4
96,OTHER,T41,6,1,10,0,-1,-1,SELLER,01T41@0,0,6,-1,-1,0
137,OTHER,T41,7,4,10,0,-1,-1,SELLER,00T41@0,0,7,-1,-1,0
229,T41,OTHER,7,4,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
220,T20,OTHER,7,7,53,0,-1,-1,07T20@3,BUYER,0,7,-1,-1,4
147,OTHER,T41,7,5,10,0,-1,-1,SELLER,00T41@0,0,7,-1,-1,0
216,OTHER,T41,7,3,10,0,-1,-1,SELLER,01T41@0,0,7,-1,-1,0
287,T23,T41,7,2,5,3,-1,3,05T23@2,06T41@3,13,7,-1,-1,3
188,T20,OTHER,7,3,53,0,-1,-1,07T20@3,BUYER,0,7,-1,-1,4
33,T41,OTHER,7,6,53,0,-1,-1,06T41@3,BUYER,0,7,-1,-1,4
65,OTHER,T41,7,6,10,0,-1,-1,SELLER,01T41@0,0,7,-1,-1,0
97,OTHER,T41,7,2,10,0,-1,-1,SELLER,01T41@0,0,7,-1,-1,0
128,OTHER,T41,8,4,10,0,-1,-1,SELLER,01T41@0,0,8,-1,-1,0
126,T20,OTHER,8,5,53,0,-1,-1,07T20@3,BUYER,0,8,-1,-1,4
221,T20,OTHER,8,5,53,0,-1,-1,07T20@3,BUYER,0,8,-1,-1,4
105,OTHER,T41,8,2,10,0,-1,-1,SELLER,00T41@0,0,8,-1,-1,0
112,T41,OTHER,8,4,53,0,-1,-1,06T41@3,BUYER,0,8,-1,-1,4
204,OTHER,T41,8,6,10,0,-1,-1,SELLER,01T41@0,0,8,-1,-1,0
244,T41,OTHER,8,6,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
79,OTHER,T41,8,5,10,0,-1,-1,SELLER,00T41@0,0,8,-1,-1,0
352,T23,T41,8,5,1,8,-1,8,04T23@2,06T41@3,11,8,-1,-1,3
342,T23,T41,8,4,4,7,-1,7,05T23@2,06T41@3,11,8,-1,-1,3
308,T23,T41,8,5,6,4,-1,4,05T23@2,06T41@3,14,8,-1,-1,3
56,OTHER,T41,8,3,10,0,-1,-1,SELLER,01T41@0,0,8,-1,-1,0
353,T23,T41,9,5,1,8,-1,8,05T23@2,06T41@3,9,9,-1,-1,3
120,OTHER,T41,9,6,10,0,-1,-1,SELLER,01T41@0,0,9,-1,-1,0
115,T20,OTHER,9,2,53,0,-1,-1,07T20@3,BUYER,0,9,-1,-1,4
318,T23,T41,9,4,7,5,-1,5,04T23@2,06T41@3,13,9,-1,-1,3
98,T41,OTHER,9,2,53,0,-1,-1,06T41@3,BUYER,0,9,-1,-1,4
54,T20,OTHER,9,5,53,0,-1,-1,07T20@3,BUYER,0,9,-1,-1,4
194,OTHER,T41,9,4,10,0,-1,-1,SELLER,01T41@0,0,9,-1,-1,0
245,T41,OTHER,9,6,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
225,OTHER,T41,9,3,10,0,-1,-1,SELLER,00T41@0,0,9,-1,-1,0
219,OTHER,T41,9,7,10,0,-1,-1,SELLER,00T41@0,0,9,-1,-1,0
241,T41,OTHER,9,5,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
325,T23,T41,10,4,2,6,-1,6,04T23@2,06T41@3,10,10,-1,-1,3
131,T20,OTHER,10,5,53,0,-1,-1,07T20@3,BUYER,0,10,-1,-1,4
85,OTHER,T41,10,7,10,0,-1,-1,SELLER,01T41@0,0,10,-1,-1,0
330,T23,T41,10,1,9,6,-1,6,05T23@2,06T41@3,15,10,-1,-1,3
31,T20,OTHER,10,3,53,0,-1,-1,07T20@3,BUYER,0,10,-1,-1,4
34,T41,OTHER,10,5,53,0,-1,-1,06T41@3,BUYER,0,10,-1,-1,4
206,OTHER,T41,10,2,10,0,-1,-1,SELLER,01T41@0,0,10,-1,-1,0
3,T20,OTHER,10,3,53,0,-1,-1,07T20@3,BUYER,0,10,-1,-1,4
344,T23,T41,10,3,7,7,-1,7,04T23@2,06T41@3,14,10,-1,-1,3
53,T41,OTHER,10,4,53,0,-1,-1,06T41@3,BUYER,0,10,-1,-1,4
371,T23,T41,10,3,1,9,-1,9,04T23@2,06T41@3,7,10,-1,-1,3
124,OTHER,T41,10,5,10,0,-1,-1,SELLER,00T41@0,0,10,-1,-1,0
199,OTHER,T41,10,6,10,0,-1,-1,SELLER,01T41@0,0,10,-1,-1,0
58,OTHER,T41,11,5,10,0,-1,-1,SELLER,01T41@0,0,11,-1,-1,0
374,T23,T41,11,4,3,9,-1,9,05T23@2,06T41@3,14,11,-1,-1,3
233,T41,OTHER,11,5,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
139,T20,OTHER,11,5,53,0,-1,-1,07T20@3,BUYER,0,11,-1,-1,4
346,T23,T41,11,2,5,7,-1,7,04T23@2,06T41@3,13,11,-1,-1,3
75,OTHER,T41,11,7,10,0,-1,-1,SELLER,00T41@0,0,11,-1,-1,0
362,T23,T41,11,1,9,9,-1,9,05T23@2,06T41@3,14,11,-1,-1,3
201,T20,OTHER,11,5,53,0,-1,-1,07T20@3,BUYER,0,11,-1,-1,4
80,T41,OTHER,11,5,53,0,-1,-1,06T41@3,BUYER,0,11,-1,-1,4
338,T23,T41,11,3,12,7,-1,7,05T23@2,06T41@3,16,11,-1,-1,3
40,OTHER,T41,11,5,10,0,-1,-1,SELLER,01T41@0,0,11,-1,-1,0
35,OTHER,T41,11,3,10,0,-1,-1,SELLER,00T41@0,0,11,-1,-1,0
69,OTHER,T41,12,6,10,0,-1,-1,SELLER,00T41@0,0,12,-1,-1,0
141,T20,OTHER,12,4,53,0,-1,-1,07T20@3,BUYER,0,12,-1,-1,4
148,OTHER,T41,12,3,10,0,-1,-1,SELLER,00T41@0,0,12,-1,-1,0
143,T41,OTHER,12,2,53,0,-1,-1,06T41@3,BUYER,0,12,-1,-1,4
235,T41,OTHER,12,7,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
162,OTHER,T41,12,5,10,0,-1,-1,SELLER,01T41@0,0,12,-1,-1,0
107,OTHER,T41,12,2,10,0,-1,-1,SELLER,00T41@0,0,12,-1,-1,0
15,T20,OTHER,12,4,53,0,-1,-1,07T20@3,BUYER,0,12,-1,-1,4
384,T23,T41,12,4,4,10,-1,10,04T23@2,06T41@3,11,12,-1,-1,3
386,T23,T41,12,1,9,10,-1,10,05T23@2,06T41@3,14,12,-1,-1,3
393,T23,T41,12,1,12,11,-1,11,05T23@2,06T41@3,15,12,-1,-1,3
200,T20,OTHER,12,3,53,0,-1,-1,07T20@3,BUYER,0,12,-1,-1,4
364,T23,T41,12,5,4,9,-1,9,05T23@2,06T41@3,11,12,-1,-1,3
179,OTHER,T41,12,4,10,0,-1,-1,SELLER,01T41@0,0,12,-1,-1,0
394,T23,T41,12,1,1,11,-1,11,04T23@2,06T41@3,17,12,-1,-1,3
400,T23,T41,13,1,1,11,-1,11,04T23@2,06T41@3,11,13,-1,-1,3
177,T20,OTHER,13,2,53,0,-1,-1,07T20@3,BUYER,0,13,-1,-1,4
373,T23,T41,13,4,2,9,-1,9,04T23@2,06T41@3,10,13,-1,-1,3
149,OTHER,T41,13,3,10,0,-1,-1,SELLER,01T41@0,0,13,-1,-1,0
414,T23,T41,13,1,2,12,-1,12,05T23@2,06T41@3,12,13,-1,-1,3
383,T23,T41,13,5,3,10,-1,10,05T23@2,06T41@3,10,13,-1,-1,3
401,T23,T41,13,2,2,11,-1,11,05T23@2,06T41@3,15,13,-1,-1,3
0,OTHER,T41,13,3,10,0,-1,-1,SELLER,01T41@0,0,13,-1,-1,0
36,OTHER,T41,13,6,10,0,-1,-1,SELLER,00T41@0,0,13,-1,-1,0
39,OTHER,T41,13,2,10,0,-1,-1,SELLER,00T41@0,0,13,-1,-1,0
68,T41,OTHER,13,4,53,0,-1,-1,06T41@3,BUYER,0,13,-1,-1,4
71,T20,OTHER,13,7,53,0,-1,-1,07T20@3,BUYER,0,13,-1,-1,4
116,OTHER,T41,13,6,10,0,-1,-1,SELLER,00T41@0,0,13,-1,-1,0
108,T20,OTHER,13,4,53,0,-1,-1,07T20@3,BUYER,0,13,-1,-1,4
25,T41,OTHER,13,3,53,0,-1,-1,06T41@3,BUYER,0,13,-1,-1,4
100,T41,OTHER,14,6,53,0,-1,-1,06T41@3,BUYER,0,14,-1,-1,4
247,T41,OTHER,14,2,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
117,OTHER,T41,14,5,10,0,-1,-1,SELLER,01T41@0,0,14,-1,-1,0
238,T41,OTHER,14,5,53,-1,-1,-1,06T41@3,BUYER,0,-1,-1,-1,4
175,OTHER,T41,14,5,10,0,-1,-1,SELLER,00T41@0,0,14,-1,-1,0
86,OTHER,T41,14,4,10,0,-1,-1,SELLER,01T41@0,0,14,-1,-1,0
213,OTHER,T41,14,2,10,0,-1,-1,SELLER,01T41@0,0,14,-1,-1,0
215,OTHER,T41,14,4,10,0,-1,-1,SELLER,00T41@0,0,14,-1,-1,0
93,T20,OTHER,14,3,53,0,-1,-1,07T20@3,BUYER,0,14,-1,-1,4
399,T23,T41,14,5,4,11,-1,11,04T23@2,06T41@3,12,14,-1,-1,3
21,T20,OTHER,14,4,53,0,-1,-1,07T20@3,BUYER,0,14,-1,-1,4
111,OTHER,T41,15,4,10,0,-1,-1,SELLER,01T41@0,0,15,-1,-1,0
103,T41,OTHER,15,5,53,0,-1,-1,06T41@3,BUYER,0,15,-1,-1,4
182,T20,OTHER,15,5,53,0,-1,-1,07T20@3,BUYER,0,15,-1,-1,4
218,OTHER,T41,15,4,10,0,-1,-1,SELLER,01T41@0,0,15,-1,-1,0
20,T20,OTHER,15,5,53,0,-1,-1,07T20@3,BUYER,0,15,-1,-1,4
404,T23,T41,15,3,7,12,-1,12,04T23@2,06T41@3,13,15,-1,-1,3
190,OTHER,T41,15,7,10,0,-1,-1,SELLER,01T41@0,0,15,-1,-1,0
436,T23,T41,15,5,1,14,-1,14,05T23@2,06T41@3,6,15,-1,-1,3
