,balance,assets,bankrupt,agent_id,step
0,11545.0,180.0,False,00T22@0,0.0
1,11393.0,471.4652508289507,False,00T22@0,5.0
2,12526.0,244.51315902799905,False,00T22@0,10.0
3,12934.0,505.6163386626448,False,00T22@0,15.0
4,13908.0,320.5775849823732,False,00T22@0,20.0
5,14846.0,204.73950163942868,False,00T22@0,25.0
6,15371.0,279.71002192614293,False,00T22@0,30.0
7,15713.0,397.91123406820503,False,00T22@0,35.0
8,16428.0,455.7981577114823,False,00T22@0,40.0
9,17235.0,439.77962516526253,False,00T22@0,45.0
10,16925.0,1022.3168380123137,False,00T22@0,50.0
11,11565.0,90.0,False,01T23@0,0.0
12,10211.0,600.0,False,01T23@0,5.0
13,8166.0,1030.0000000000002,False,01T23@0,10.0
14,7266.0,1510.0000000000002,False,01T23@0,15.0
15,6210.0,2030.0000000000007,False,01T23@0,20.0
16,4933.0,2610.0000000000005,False,01T23@0,25.0
17,3953.0,3030.0000000000005,False,01T23@0,30.0
18,2166.0,3560.0,False,01T23@0,35.0
19,714.0,3999.9999999999986,False,01T23@0,40.0
20,-12631.944444444443,4329.999999999999,True,01T23@0,45.0
21,-12631.944444444443,4329.999999999999,True,01T23@0,50.0
22,21105.0,0.0,False,02T15@1,0.0
23,21229.0,393.3971058788918,False,02T15@1,5.0
24,18520.0,2734.39307394159,False,02T15@1,10.0
25,18949.0,3192.896705712334,False,02T15@1,15.0
26,18156.0,3881.0115547345576,False,02T15@1,20.0
27,11340.0,5082.613899898875,False,02T15@1,25.0
28,4607.0,5546.919204316247,False,02T15@1,30.0
29,2929.0,6925.3594008062755,False,02T15@1,35.0
30,2891.0,8011.805437276634,False,02T15@1,40.0
31,3678.0,8826.835917662691,False,02T15@1,45.0
32,3678.0,10007.219328200692,False,02T15@1,50.0
33,21105.0,0.0,False,03T23@1,0.0
34,12001.0,56.276250101091534,False,03T23@1,5.0
35,-1723.0,987.0789541679944,False,03T23@1,10.0
36,-10393.75,1064.7428889894425,True,03T23@1,15.0
37,-10393.75,1082.5991324206793,True,03T23@1,20.0
38,-10393.75,1100.8588603284006,True,03T23@1,25.0
39,-10393.75,1069.1731381347,True,03T23@1,30.0
40,-10393.75,1001.4203873148456,True,03T23@1,35.0
41,-10393.75,994.7641967911693,True,03T23@1,40.0
42,-10393.75,1038.8058192705769,True,03T23@1,45.0
43,-10393.75,1038.8058192705769,True,03T23@1,50.0
44,30386.0,0.0,False,04T07@2,0.0
45,30162.0,754.4639980567958,False,04T07@2,5.0
46,28391.0,3935.903962136886,False,04T07@2,10.0
47,28400.0,5576.643209359156,False,04T07@2,15.0
48,26181.0,9509.122488471237,False,04T07@2,20.0
49,21567.0,14423.214912787658,False,04T07@2,25.0
50,19217.0,17319.944401087665,False,04T07@2,30.0
51,17484.0,19277.135989784467,False,04T07@2,35.0
52,13848.0,21845.19129647622,False,04T07@2,40.0
53,9743.0,25629.565711767747,False,04T07@2,45.0
54,9926.0,25297.796382475848,False,04T07@2,50.0
55,30386.0,0.0,False,05T35@2,0.0
56,29499.0,1403.8571341821241,False,05T35@2,5.0
57,25296.0,5127.407230411413,False,05T35@2,10.0
58,21583.0,8317.24038126831,False,05T35@2,15.0
59,13889.0,16097.835946010598,False,05T35@2,20.0
60,7300.0,24302.915048768293,False,05T35@2,25.0
61,2653.0,27994.43362638041,False,05T35@2,30.0
62,-27313.0,33340.95847289767,True,05T35@2,35.0
63,-27313.0,32827.473259732025,True,05T35@2,40.0
64,-27313.0,33079.735811944105,True,05T35@2,45.0
65,-27313.0,33079.735811944105,True,05T35@2,50.0
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
