index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
219,OTHER,T41,0,2,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
316,OTHER,T26,0,5,10,0,-1,-1,SELLER,01T26@0,0,0,-1,-1,0
310,OTHER,T26,0,2,10,0,-1,-1,SELLER,01T26@0,0,0,-1,-1,0
309,OTHER,T41,0,1,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
245,OTHER,T41,0,2,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
106,OTHER,T26,0,1,10,0,-1,-1,SELLER,01T26@0,0,0,-1,-1,0
270,OTHER,T41,0,3,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
298,OTHER,T26,0,1,10,0,-1,-1,SELLER,01T26@0,0,0,-1,-1,0
62,OTHER,T26,0,2,10,0,-1,-1,SELLER,01T26@0,0,0,-1,-1,0
193,OTHER,T26,0,1,10,0,-1,-1,SELLER,01T26@0,0,0,-1,-1,0
626,T26,T26,1,7,19,-1,-1,1,02T26@1,05T26@2,17,-1,-1,-1,2
634,T41,T41,1,3,10,-1,-1,1,00T41@0,03T41@1,17,-1,-1,-1,1
618,T41,T41,1,8,18,-1,-1,1,03T41@1,04T41@2,17,-1,-1,-1,2
623,T26,T26,1,5,10,-1,-1,1,01T26@0,02T26@1,17,-1,-1,-1,1
621,T26,T41,1,10,10,-1,-1,1,01T26@0,03T41@1,17,-1,-1,-1,1
620,T41,T41,1,9,28,-1,-1,1,00T41@0,03T41@1,17,-1,-1,-1,1
60,OTHER,T26,1,2,10,0,-1,-1,SELLER,01T26@0,0,1,-1,-1,0
573,T26,T26,1,5,10,1,-1,1,01T26@0,02T26@1,17,1,-1,-1,1
370,OTHER,T41,1,3,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
636,T26,T26,1,5,10,-1,-1,1,01T26@0,02T26@1,17,-1,-1,-1,1
77,OTHER,T41,1,1,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
633,T26,T41,1,10,19,-1,-1,1,02T26@1,04T41@2,17,-1,-1,-1,2
569,T26,T41,1,2,10,1,-1,1,01T26@0,03T41@1,17,1,-1,-1,1
209,OTHER,T26,1,1,10,0,-1,-1,SELLER,01T26@0,0,1,-1,-1,0
7,OTHER,T26,1,3,10,0,-1,-1,SELLER,01T26@0,0,1,-1,-1,0
610,T26,T26,1,7,19,-1,-1,1,02T26@1,05T26@2,17,-1,-1,-1,2
189,OTHER,T26,1,3,10,0,-1,-1,SELLER,01T26@0,0,1,-1,-1,0
286,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
300,OTHER,T26,1,2,10,0,-1,-1,SELLER,01T26@0,0,1,-1,-1,0
612,T41,T41,1,3,10,-1,-1,1,00T41@0,03T41@1,17,-1,-1,-1,1
602,T26,T26,1,7,21,-1,-1,1,02T26@1,05T26@2,17,-1,-1,-1,2
278,OTHER,T26,1,2,10,0,-1,-1,SELLER,01T26@0,0,1,-1,-1,0
601,T26,T41,1,10,19,-1,-1,1,02T26@1,04T41@2,17,-1,-1,-1,2
269,OTHER,T41,1,1,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
340,OTHER,T26,2,1,10,0,-1,-1,SELLER,01T26@0,0,2,-1,-1,0
676,T41,T26,2,10,28,-1,-1,2,00T41@0,02T26@1,17,-1,-1,-1,1
629,T41,T41,2,8,20,-1,-1,1,03T41@1,04T41@2,17,-1,-1,-1,2
628,T26,T41,2,10,57,-1,-1,1,02T26@1,04T41@2,17,-1,-1,-1,2
277,OTHER,T41,2,3,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
576,T26,T26,2,5,10,1,-1,1,01T26@0,02T26@1,17,2,-1,-1,1
289,OTHER,T26,2,2,10,0,-1,-1,SELLER,01T26@0,0,2,-1,-1,0
617,T26,T41,2,10,10,-1,-1,1,01T26@0,03T41@1,17,-1,-1,-1,1
559,T26,T41,2,2,10,1,-1,1,01T26@0,03T41@1,17,2,-1,-1,1
631,T41,T26,2,10,28,-1,-1,1,00T41@0,02T26@1,17,-1,-1,-1,1
667,T41,T26,2,14,19,-1,-1,2,00T41@0,02T26@1,2,-1,-1,-1,1
122,OTHER,T26,2,1,10,0,-1,-1,SELLER,01T26@0,0,2,-1,-1,0
169,OTHER,T26,2,1,10,0,-1,-1,SELLER,01T26@0,0,2,-1,-1,0
413,OTHER,T26,2,4,10,0,-1,-1,SELLER,01T26@0,0,2,-1,-1,0
680,T26,T41,2,10,11,-1,-1,2,01T26@0,03T41@1,17,-1,-1,-1,1
254,OTHER,T41,2,2,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
397,OTHER,T41,2,3,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
379,OTHER,T26,2,1,10,0,-1,-1,SELLER,01T26@0,0,2,-1,-1,0
375,OTHER,T41,2,2,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
80,OTHER,T41,3,4,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
665,T26,T26,3,3,10,2,-1,2,01T26@0,02T26@1,17,3,-1,-1,1
320,T26,OTHER,3,1,49,0,-1,-1,05T26@2,BUYER,0,3,-1,-1,3
104,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
710,T26,T41,3,10,10,-1,-1,3,01T26@0,03T41@1,17,-1,-1,-1,1
113,T41,OTHER,3,1,49,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
117,OTHER,T41,3,3,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
399,T26,OTHER,3,2,49,0,-1,-1,05T26@2,BUYER,0,3,-1,-1,3
301,OTHER,T26,3,2,10,0,-1,-1,SELLER,01T26@0,0,3,-1,-1,0
304,T26,OTHER,3,2,49,0,-1,-1,05T26@2,BUYER,0,3,-1,-1,3
135,T26,OTHER,3,3,49,0,-1,-1,05T26@2,BUYER,0,3,-1,-1,3
155,OTHER,T26,3,1,10,0,-1,-1,SELLER,01T26@0,0,3,-1,-1,0
331,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
252,T41,OTHER,3,4,49,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
253,OTHER,T41,3,2,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
188,OTHER,T26,3,2,10,0,-1,-1,SELLER,01T26@0,0,3,-1,-1,0
630,T26,T26,3,5,10,-1,-1,1,01T26@0,02T26@1,17,-1,-1,-1,1
586,T41,T26,3,10,28,1,-1,1,00T41@0,02T26@1,17,3,-1,-1,1
9,T41,OTHER,3,3,49,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
19,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
562,T26,T41,3,3,10,1,-1,1,01T26@0,03T41@1,17,3,-1,-1,1
220,T41,OTHER,3,2,49,0,-1,-1,04T41@2,BUYER,0,3,-1,-1,3
615,T26,T41,3,10,55,-1,-1,1,02T26@1,04T41@2,17,-1,-1,-1,2
624,T26,T41,3,9,20,-1,-1,1,02T26@1,04T41@2,17,-1,-1,-1,2
55,OTHER,T26,3,1,10,0,-1,-1,SELLER,01T26@0,0,3,-1,-1,0
45,OTHER,T41,3,2,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
43,T26,OTHER,3,2,49,0,-1,-1,05T26@2,BUYER,0,3,-1,-1,3
581,T26,T26,3,7,18,1,-1,1,02T26@1,05T26@2,17,3,-1,-1,2
590,T41,T41,3,9,20,1,-1,1,03T41@1,04T41@2,17,3,-1,-1,2
595,T26,T26,4,7,18,1,-1,1,02T26@1,05T26@2,17,4,-1,-1,2
