index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,40.0,0,,0.16666666666666666,164212,0.0,0.0,10,0,0,88,0,0.0,293,381,90,0.0,0.0,0,0,90,200,1.6719193439930675,1.6719193439930675
1,90,0,0,0,10.0,20,10.0,17.941176470588232,6,10.0,23.14130434782609,47,20.404255319148934,40.0,0,,0.3,161220,0.0,0.0,27,0,0,17,0,0.0,62,79,47,888.0,129.0,59,31,47,1219,1.641882510855794,3.3138018548488617
2,47,0,0,0,10.0,20,10.0,17.609603340292278,2,10.0,23.36488970588236,26,24.07692307692308,40.0,0,,0.20000000000000004,159861,0.0,0.0,16,0,0,3,0,0.0,39,42,41,356.0,88.0,23,24,41,846,1.011579196900129,4.325381051748991
3,41,0,0,0,10.0,20,10.0,14.228375048631824,34,9.941176470588236,23.444325689856203,5,25.0,40.0,11,40.0,0.26666666666666666,158218,0.0,0.0,23,0,0,3,0,0.0,36,39,43,298.0,66.0,19,22,43,1103,0.9570362363010644,5.282417288050056
4,43,0,0,0,10.0,20,10.0,12.669997115359399,45,10.266666666666667,23.758861286780025,13,26.0,40.0,8,40.0,0.35000000000000003,156014,0.0,0.0,24,0,0,4,0,0.0,36,40,36,370.0,66.0,21,22,36,1320,0.96751481667161,6.249932104721665
5,36,0,0,0,10.0,20,10.0,13.670886113188407,67,15.208955223880595,23.94518216780241,13,25.30769230769231,40.0,7,40.0,0.3666666666666667,153397,0.0,0.0,27,0,0,4,0,0.0,32,36,29,279.0,56.0,17,19,29,1828,0.7158177327364683,6.965749837458134
6,29,0,0,0,10.0,20,10.0,13.738878720241756,36,14.027777777777779,24.881057701699337,17,30.235294117647058,40.0,9,40.0,0.4166666666666667,151819,0.0,0.0,24,0,0,2,0,0.0,32,34,25,243.0,44.0,14,15,25,1579,1.4784819167107344,8.444231754168866
7,25,0,0,0,10.0,20,10.0,15.177604789347475,75,18.44,25.949815096581556,18,32.05555555555556,40.0,12,40.0,0.4166666666666667,149670,0.0,0.0,26,0,0,1,0,0.0,31,32,27,202.0,39.0,12,13,27,2640,0.7673026267439127,9.211534380912779
8,27,0,0,0,10.0,20,10.0,15.890834112382214,12,29.0,26.35855710285213,35,27.62857142857143,40.0,13,40.0,0.4,148274,0.0,0.0,24,0,0,6,0,0.0,28,34,29,243.0,36.0,15,12,29,2035,0.7985624857246876,10.010096866637467
9,29,0,0,0,10.000000000000002,20,10.0,16.484386847554614,111,17.603603603603602,27.65891058381027,30,33.266666666666666,40.0,10,40.0,0.43333333333333335,143126,0.0,0.0,28,0,0,14,0,0.0,19,33,25,256.0,39.0,16,13,25,3552,0.6229770574718714,10.63307392410934
10,25,0,0,0,10.000000000000002,20,10.0,17.254143243857555,24,26.5,29.29842767665859,43,34.76744186046512,40.0,12,40.0,0.4666666666666666,141349,0.0,0.0,29,0,0,12,0,0.0,22,34,27,213.0,36.0,13,12,27,2811,0.7773058712482452,11.410379795357585
11,27,0,0,0,10.000000000000002,20,10.0,19.13299788798113,135,23.044444444444448,28.574189246430546,34,25.0,40.0,9,40.0,0.4166666666666667,133505,0.0,0.0,31,0,0,5,0,0.0,28,33,27,206.0,42.0,13,14,27,4521,0.6120929289609194,12.022472724318506
12,27,0,0,0,10.000000000000002,20,10.0,19.425835863118674,29,23.20689655172414,31.87617282524392,54,42.981481481481474,40.0,9,40.0,0.4166666666666667,132084,0.0,0.0,28,0,0,2,0,0.0,30,32,30,190.0,60.0,12,15,30,3554,0.8048669416457415,12.827339665964244
13,30,0,0,0,10.000000000000002,20,10.0,19.65215023574654,12,26.5,31.36719495149277,57,29.47368421052632,39.99999999999999,9,40.0,0.4166666666666667,129178,0.0,0.0,26,0,0,5,0,0.0,26,31,31,201.0,81.0,13,17,31,2558,0.9091920126229524,13.736531678587198
