index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,33.0,0,,0.16666666666666666,214118,0.0,0.0,7,0,0,21,0,0.0,541,562,98,0.0,0.0,0,0,98,200,6.272774191573262,6.272774191573262
1,98,0,0,0,10.0,20,10.0,13.338983050847462,14,8.0,23.0,0,,33.0,0,,0.3333333333333333,213714,0.0,0.0,19,0,0,55,0,0.0,61,116,14,1747.0,3.0,97,1,14,312,2.098736265674233,8.371510457247496
2,14,0,0,0,10.0,20,10.0,12.357045143638851,20,9.75,23.0,0,,33.0,0,,0.3333333333333333,213314,0.0,0.0,12,0,0,1,0,0.0,29,30,13,201.0,6.0,12,2,13,395,0.942768195644021,9.314278652891515
3,13,0,0,0,10.0,20,10.0,12.049300748693321,5,8.0,23.0,0,,33.0,20,33.0,0.3333333333333333,212773,0.0,0.0,20,0,0,3,0,0.0,27,30,13,199.0,6.0,11,2,13,900,0.7444545086473227,10.05873316153884
4,13,0,0,0,10.0,20,10.0,13.277905118261454,17,17.88235294117647,23.0,0,,33.0,20,33.0,0.3333333333333333,212224,0.0,0.0,22,0,0,2,0,0.0,27,29,13,199.0,6.0,11,2,13,1164,0.8544468116015196,10.913179973140359
5,13,0,0,0,10.0,20,10.0,14.151128013306579,17,17.88235294117647,21.181818181818183,10,13.0,33.0,20,33.0,0.3333333333333333,211681,0.0,0.0,23,0,0,5,0,0.0,26,31,11,198.0,6.0,11,2,11,1294,0.6750204414129257,11.588200414553285
6,11,0,0,0,10.0,20,10.0,14.67433955366958,16,17.3125,19.920353982300888,7,11.0,33.0,20,33.0,0.4,211138,0.0,0.0,21,0,0,6,0,0.0,24,30,13,180.0,3.0,10,1,13,1214,0.6461132448166609,12.234313659369946
7,13,0,0,0,10.0,20,10.0,14.822626674942123,22,15.409090909090908,19.710706150341693,15,19.0,33.0,20,33.0,0.3333333333333333,210463,0.0,0.0,24,0,0,5,0,0.0,23,28,11,198.0,6.0,11,2,11,1484,0.6109895538538694,12.845303213223815
8,11,0,0,0,10.0,20,10.0,14.902639434229654,19,15.31578947368421,19.82299872079715,15,20.266666666666666,33.0,20,33.0,0.4,209782,0.0,0.0,26,0,0,3,0,0.0,25,28,11,162.0,6.0,9,2,11,1455,0.7062082476913929,13.551511460915208
9,11,0,0,0,10.000000000000002,20,10.0,14.52187571333075,6,7.833333333333332,20.893558348057265,24,23.875,32.99999999999999,20,33.0,0.4,208947,0.0,0.0,24,0,0,2,0,0.0,26,28,11,162.0,6.0,9,2,11,1480,0.6615576036274433,14.213069064542651
10,11,0,0,0,10.000000000000002,20,10.0,15.138182248021176,16,19.0,22.12326955082642,20,27.15,32.99999999999999,20,33.0,0.3,208136,0.0,0.0,25,0,0,3,0,0.0,25,28,11,163.0,6.0,9,2,11,1707,0.6851459816098213,14.898215046152472
11,11,0,0,0,10.000000000000002,20,10.0,16.068896758121685,38,18.63157894736842,23.29247862148136,10,34.0,32.99999999999999,20,33.0,0.4,207400,0.0,0.0,22,0,0,4,0,0.0,22,26,11,162.0,6.0,9,2,11,1908,0.6617395281791687,15.559954574331641
12,11,0,0,0,10.000000000000002,20,10.0,16.051481563830485,24,15.958333333333336,25.579936419012128,36,31.38888888888889,32.99999999999999,20,33.0,0.3666666666666667,206662,0.0,0.0,25,0,0,4,0,0.0,24,28,11,163.0,6.0,9,2,11,2373,0.5828582923859358,16.142812866717573
13,11,0,0,0,10.000000000000002,20,10.0,16.123659026766127,17,16.705882352941178,24.053614066453623,38,19.44736842105263,32.99999999999999,20,33.0,0.4,205737,0.0,0.0,27,0,0,6,0,0.0,21,27,11,180.0,3.0,10,1,11,1883,0.6352415289729834,16.77805439569056
14,11,0,0,0,10.000000000000002,20,10.0,16.528306645523642,13,20.846153846153847,23.15974574665136,49,20.6530612244898,32.99999999999999,20,33.0,0.4,203955,0.0,0.0,26,0,0,6,0,0.0,24,30,11,180.0,3.0,10,1,11,2143,0.5024047438055277,17.280459139496088
15,11,0,0,0,10.000000000000002,20,10.0,16.524378798106177,22,16.5,22.344311942555766,43,19.162790697674414,32.99999999999999,20,33.0,0.4,202319,0.0,0.0,26,0,0,4,0,0.0,25,29,11,163.0,6.0,9,2,11,2047,0.5365858897566795,17.817045029252764
16,11,0,0,0,10.000000000000002,20,10.0,15.933359545521613,10,7.5,21.99180136458371,16,17.8125,33.0,20,33.0,0.4,201604,0.0,0.0,25,0,0,3,0,0.0,25,28,11,162.0,6.0,9,2,11,1220,0.5204177256673574,18.337462754920125
17,11,0,0,0,10.000000000000002,20,10.0,15.65484479784106,5,8.0,21.651115959073685,17,17.941176470588232,33.0,20,33.0,0.3666666666666667,200983,0.0,0.0,20,0,0,3,0,0.0,23,26,11,163.0,6.0,9,2,11,1205,1.221980957314372,19.559443712234497
18,11,0,0,0,10.000000000000002,20,10.0,16.565239438992425,43,19.27906976744186,21.48439551296291,11,18.727272727272727,32.99999999999999,20,33.0,0.4,200236,0.0,0.0,26,0,0,3,0,0.0,25,28,11,162.0,6.0,9,2,11,1895,0.4071088042110205,19.96655251644552
19,11,0,0,0,10.000000000000002,20,10.0,16.94776458851061,37,18.54054054054054,21.886047174470786,24,24.79166666666667,32.99999999999999,20,33.0,0.4,198944,0.0,0.0,28,0,0,4,0,0.0,20,24,11,163.0,6.0,9,2,11,2141,0.6443137694150209,20.61086628586054
20,11,0,0,0,10.000000000000002,20,10.0,17.031847628719845,17,17.88235294117647,21.60034341719984,43,20.418604651162788,32.99999999999999,20,33.0,0.4,197457,0.0,0.0,29,0,0,4,0,0.0,24,28,11,162.0,6.0,9,2,11,2042,0.4128722362220287,21.023738522082567
21,11,0,0,0,10.000000000000002,20,10.0,17.361293776112205,11,22.454545454545453,21.055857116796943,22,16.136363636363637,32.99999999999999,20,33.0,0.3333333333333333,196761,0.0,0.0,23,0,0,6,0,0.0,20,26,11,180.0,3.0,10,1,11,1462,0.4596646931022406,21.483403215184808
22,11,0,0,0,10.000000000000002,20,10.0,17.781092049372,11,24.0,20.230852233740748,17,10.588235294117649,32.99999999999999,20,33.0,0.3666666666666667,196073,0.0,0.0,21,0,0,6,0,0.0,21,27,13,180.0,3.0,10,1,13,1304,0.45920011959970003,21.942603334784508
23,13,0,0,0,10.000000000000002,20,10.0,17.815122627100415,18,18.11111111111111,19.51094835658208,23,13.434782608695652,32.99999999999999,20,33.0,0.4,195153,0.0,0.0,26,0,0,5,0,0.0,23,28,13,198.0,6.0,11,2,13,1495,0.4700570963323116,22.41266043111682
24,13,0,0,0,10.000000000000002,20,10.0,17.447927027015332,6,7.833333333333332,19.64752602011916,36,20.38888888888889,32.99999999999999,20,33.0,0.4,193826,0.0,0.0,28,0,0,4,0,0.0,26,30,13,198.0,6.0,11,2,13,1641,0.4276896882802248,22.840350119397048
25,13,0,0,0,10.000000000000002,20,10.0,16.751271586078662,11,7.454545454545454,18.633054542024105,51,14.490196078431373,32.999999999999986,20,33.0,0.4,191668,0.0,0.0,28,0,0,4,0,0.0,24,28,13,199.0,6.0,11,2,13,1681,0.5768728815019131,23.41722300089896
26,13,0,0,0,10.000000000000002,20,10.0,17.498127741769537,34,20.61764705882353,18.613394668596047,14,18.285714285714285,32.999999999999986,20,33.0,0.4,191092,0.0,0.0,24,0,0,2,0,0.0,28,30,13,198.0,6.0,11,2,13,1817,0.7905388120561838,24.20776181295514
27,13,0,0,0,10.000000000000002,13,10.0,17.951371173626075,37,19.89189189189189,19.16884657173146,8,34.625,32.999999999999986,20,33.0,0.3666666666666667,190050,0.0,0.0,23,0,0,2,0,0.0,25,27,13,199.0,6.0,11,2,13,1803,0.5112511813640594,24.7190129943192
28,13,0,0,0,10.000000000000002,13,10.0,17.821776290776317,18,16.555555555555557,19.345281303409667,4,28.5,32.999999999999986,20,33.0,0.21666666666666667,189474,0.0,0.0,20,0,0,2,0,0.0,27,29,11,199.0,6.0,11,2,11,1202,0.4726264551281929,25.191639449447393
29,11,0,0,0,10.000000000000002,5,10.0,17.262281421163536,10,7.5,19.572610522922663,3,34.0,32.99999999999999,20,33.0,0.2333333333333333,188944,0.0,0.0,14,0,0,2,0,0.0,24,26,11,163.0,6.0,9,2,11,887,0.5145632512867451,25.70620270073414
30,11,0,0,0,10.000000000000002,11,10.0,16.652883184296908,11,7.454545454545454,20.031927841249637,33,22.454545454545453,33.0,20,33.0,0.2,187959,0.0,0.0,24,0,0,1,0,0.0,26,27,11,163.0,6.0,9,2,11,1593,0.37037826888263226,26.07658096961677
31,11,0,0,0,10.000000000000002,10,10.0,16.338579008838636,15,13.0,19.657473242585983,24,16.75,33.0,20,33.0,0.2333333333333333,187218,0.0,0.0,22,0,0,0,0,0.0,28,28,11,162.0,6.0,9,2,11,1357,0.5056739505380392,26.58225492015481
32,11,0,0,0,10.0,20,10.0,16.215505308186607,20,15.25,20.660308112128337,29,27.20689655172414,33.0,20,33.0,0.3833333333333333,186190,0.0,0.0,27,0,0,1,0,0.0,27,28,11,162.0,6.0,9,2,11,1954,0.37923944741487503,26.961494367569685
33,11,0,0,0,10.0,20,10.0,16.531488129665238,22,18.818181818181817,22.559439402852387,48,30.33333333333333,33.0,20,33.0,0.3833333333333333,184568,0.0,0.0,28,0,0,1,0,0.0,27,28,11,163.0,6.0,9,2,11,2730,0.4509352445602417,27.41242961212993
