index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,31.0,0,,0.3,229416,0.0,0.0,6,0,0,43,0,0.0,403,446,130,0.0,0.0,0,0,130,200,7.967894218862058,7.967894218862058
1,130,0,0,0,10.0,20,10.0,16.659574468085108,2,9.0,22.32857142857143,25,13.92,31.0,0,,0.3833333333333333,228108,0.0,0.0,18,0,0,12,0,0.0,80,92,59,1404.0,516.0,78,52,59,566,6.076618414372206,14.044512633234262
2,59,0,0,0,10.0,20,10.0,19.520059435364047,25,24.36,21.4125,9,15.0,31.0,0,,0.35000000000000003,227620,0.0,0.0,11,0,0,4,0,0.0,25,29,36,257.0,217.0,16,43,36,944,1.749740706756711,15.794253339990973
3,36,0,0,0,10.0,20,10.0,20.270898464047846,13,23.76923076923077,21.4125,0,,31.0,20,31.0,0.35000000000000003,227332,0.0,0.0,15,0,0,7,0,0.0,22,29,39,258.0,150.0,16,20,39,1129,2.588177351281047,18.38243069127202
4,39,0,0,0,10.0,20,10.0,20.845025437743804,13,23.76923076923077,18.06614100185529,43,13.023255813953488,31.0,15,31.0,0.4833333333333334,224593,0.0,0.0,20,0,0,13,0,0.0,23,36,36,336.0,126.0,22,17,36,1534,2.3006773944944143,20.683108085766435
5,36,0,0,0,10.0,20,10.0,21.59144869183948,25,23.72,16.70239826597679,46,13.826086956521738,31.0,13,31.0,0.6166666666666667,221905,0.0,0.0,19,0,0,7,0,0.0,19,26,34,204.0,144.0,13,23,34,1832,2.9136332161724567,23.59674130193889
6,34,0,0,0,10.0,20,10.0,21.64899561734666,37,21.783783783783782,16.973160258550056,69,17.47826086956522,31.0,15,31.0,0.6666666666666666,218831,0.0,0.0,24,0,0,6,0,0.0,24,30,30,276.0,126.0,17,17,30,2677,1.954198943451047,25.550940245389942
7,30,0,0,0,10.0,20,10.0,20.692392458568765,57,18.82456140350877,16.071857891023164,61,13.442622950819672,31.0,14,31.0,0.6666666666666666,215464,0.0,0.0,23,0,0,3,0,0.0,26,29,24,273.0,87.0,16,14,24,2527,1.8177293352782729,27.36866958066821
8,24,0,0,0,10.0,20,10.0,20.11132884961102,54,18.48148148148148,16.773652991914705,35,21.085714285714285,31.0,15,31.0,0.6333333333333333,213354,0.0,0.0,21,0,0,3,0,0.0,23,26,22,204.0,78.0,13,11,22,2401,1.4410631693899632,28.809732750058174
9,22,0,0,0,10.000000000000002,20,10.0,21.153789872213412,47,25.25531914893617,19.636777435677672,67,29.253731343283587,31.0,13,31.0,0.5499999999999999,210055,0.0,0.0,23,0,0,2,0,0.0,23,25,25,198.0,63.0,11,11,25,3750,2.1066590752452607,30.916391825303435
