index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
0,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
168,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
152,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
244,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
71,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
70,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
52,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
27,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
166,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
331,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
485,T23,T22,1,5,2,1,-1,1,01T23@0,03T22@1,11,1,-1,-1,1
217,OTHER,T23,1,4,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
460,T22,T38,1,5,9,1,-1,1,00T22@0,02T38@1,17,1,-1,-1,1
35,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
470,T23,T38,1,1,1,1,-1,1,01T23@0,02T38@1,9,1,-1,-1,1
528,T22,T38,1,5,9,-1,-1,1,00T22@0,02T38@1,17,-1,-1,-1,1
502,T38,T38,1,10,20,-1,-1,1,05T38@2,06T38@3,17,-1,-1,-1,3
46,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
47,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
88,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
483,T24,T22,1,5,1,1,-1,1,07T24@3,09T22@4,2,1,-1,-1,4
477,T23,T38,1,2,1,1,-1,1,01T23@0,02T38@1,2,1,-1,-1,1
75,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
254,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
510,T38,T38,1,10,14,-1,-1,1,02T38@1,05T38@2,17,-1,-1,-1,2
215,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
293,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
467,T23,T22,1,2,4,1,-1,1,01T23@0,03T22@1,15,1,-1,-1,1
259,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
523,T38,T38,1,10,19,-1,-1,1,05T38@2,06T38@3,17,-1,-1,-1,3
492,T22,T38,1,10,10,-1,-1,1,00T22@0,02T38@1,17,-1,-1,-1,1
519,T38,T38,1,10,14,-1,-1,1,02T38@1,05T38@2,17,-1,-1,-1,2
330,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
522,T23,T38,1,10,1,-1,-1,1,01T23@0,02T38@1,2,-1,-1,-1,1
300,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
93,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
334,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
516,T38,T38,2,10,19,-1,-1,1,05T38@2,06T38@3,17,-1,-1,-1,3
314,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
357,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
308,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
267,OTHER,T22,2,3,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
511,T38,T38,2,10,19,-1,-1,1,05T38@2,06T38@3,17,-1,-1,-1,3
556,T23,T38,2,1,4,2,-1,2,01T23@0,02T38@1,13,2,-1,-1,1
543,T24,T38,2,2,1,2,-1,2,04T24@2,06T38@3,2,2,-1,-1,3
506,T22,T38,2,10,10,-1,-1,1,00T22@0,02T38@1,17,-1,-1,-1,1
307,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
341,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
234,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
40,OTHER,T23,2,1,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
500,T22,T38,2,10,13,-1,-1,1,03T22@1,05T38@2,17,-1,-1,-1,2
24,OTHER,T22,2,3,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
526,T23,T38,2,10,1,-1,-1,1,01T23@0,02T38@1,8,-1,-1,-1,1
532,T23,T22,2,1,2,2,-1,2,01T23@0,03T22@1,13,2,-1,-1,1
227,OTHER,T22,2,1,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
601,T24,T38,3,2,1,3,-1,3,04T24@2,06T38@3,2,3,-1,-1,3
356,OTHER,T23,3,2,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
66,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
252,OTHER,T22,3,3,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
494,T38,T38,3,10,20,-1,-1,1,05T38@2,06T38@3,17,-1,-1,-1,3
79,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
251,OTHER,T23,3,1,10,0,-1,-1,SELLER,01T23@0,0,3,-1,-1,0
493,T38,T38,3,10,14,-1,-1,1,02T38@1,05T38@2,17,-1,-1,-1,2
365,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
200,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
319,OTHER,T22,3,2,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
487,T23,T38,3,3,1,1,-1,1,01T23@0,02T38@1,15,3,-1,-1,1
