index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,25.0,0,,33.0,0,,0.15,110510,0.0,0.0,7,0,0,0,0,0.0,262,262,51,0.0,0.0,0,0,51,200,1.451297149062157,1.451297149062157
1,51,0,0,0,10.0,20,10.0,19.0,0,,15.435897435897436,33,2.393939393939394,33.0,0,,0.15,108793,0.0,0.0,14,0,0,1,0,0.0,43,44,20,291.0,81.0,24,27,20,279,2.032084312289953,3.48338146135211
2,20,0,0,0,10.0,20,10.0,19.0,0,,12.724770642201836,17,1.5294117647058822,33.0,0,,0.15,107975,0.0,0.0,12,0,0,0,0,0.0,21,21,19,76.0,42.0,6,14,19,226,1.4697608035057783,4.953142264857887
3,19,0,0,0,10.0,20,10.0,20.53846153846154,20,24.0,11.117744610281923,18,4.111111111111111,33.0,20,33.0,0.15,106591,0.0,0.0,23,0,0,0,0,0.0,21,21,19,53.0,45.0,4,15,19,1414,1.203299280256033,6.156441545113921
4,19,0,0,0,10.0,20,10.0,20.53846153846154,0,,10.010370021211408,15,3.6,33.0,20,33.0,0.16666666666666666,105626,0.0,0.0,20,0,0,0,0,0.0,21,21,21,45.0,45.0,4,15,21,914,1.9022683072835207,8.058709852397442
5,21,0,0,0,10.0,20,10.0,23.340425531914892,12,37.0,9.294083983117538,9,2.0,33.0,20,33.0,0.16666666666666666,104883,0.0,0.0,21,0,0,1,0,0.0,21,22,22,74.0,45.0,6,15,22,1322,2.182736152783036,10.241446005180476
6,22,0,0,0,10.0,20,10.0,28.10407239819004,36,36.5,8.2008473696314,35,5.371428571428571,33.0,20,33.0,0.16666666666666666,102800,0.0,0.0,23,0,0,0,0,0.0,23,23,22,65.0,48.0,6,16,22,2362,2.2285024952143435,12.469948500394821
7,22,0,0,0,10.0,20,10.0,30.632699116765885,39,36.43589743589744,7.199412816340482,21,1.809523809523809,33.0,20,33.0,0.16666666666666666,100731,0.0,0.0,24,0,0,0,0,0.0,23,23,19,60.0,51.0,5,17,19,2319,2.2350798174738884,14.705028317868711
8,19,0,0,0,10.0,20,10.0,30.632699116765885,0,,7.097504263916148,3,3.0,33.0,20,33.0,0.16666666666666666,100195,0.0,0.0,17,0,0,0,0,0.0,23,23,16,66.0,42.0,5,14,16,869,1.3895063735544682,16.094534691423178
9,16,0,0,0,10.000000000000002,20,10.0,31.324026879502505,31,33.90322580645161,6.63116194232459,22,4.2727272727272725,32.99999999999999,20,33.0,0.16666666666666666,98645,0.0,0.0,23,0,0,0,0,0.0,18,18,17,56.0,36.0,4,12,17,2005,2.1031281370669603,18.197662828490135
10,17,0,0,0,10.000000000000002,20,10.0,32.37520406471919,30,37.0,6.238090931247648,9,1.0,32.99999999999999,20,33.0,0.15,97377,0.0,0.0,21,0,0,0,0,0.0,21,21,17,51.0,39.0,4,13,17,1979,2.322380715981126,20.520043544471267
11,17,0,0,0,10.000000000000002,20,10.0,33.174113072667815,26,37.653846153846146,5.751004283439277,22,3.1818181818181817,32.99999999999999,20,33.0,0.16666666666666666,95596,0.0,0.0,22,0,0,0,0,0.0,21,21,16,34.0,42.0,3,14,16,1909,0.9481033273041248,21.468146871775392
12,16,0,0,0,10.000000000000002,20,10.0,33.194941041669196,4,34.0,5.344677696163711,13,1.4615384615384617,32.99999999999999,20,33.0,0.16666666666666666,94697,0.0,0.0,20,0,0,0,0,0.0,21,21,16,37.0,39.0,3,13,16,1015,2.05793053843081,23.5260774102062
13,16,0,0,0,10.000000000000002,20,10.0,34.17320364232578,54,36.759259259259274,4.571946820348206,27,1.037037037037037,32.99999999999999,20,33.0,0.16666666666666666,91825,0.0,0.0,24,0,0,0,0,0.0,17,17,15,42.0,39.0,3,13,15,2873,2.2887440957128997,25.814821505919102
14,15,0,0,0,10.000000000000002,20,10.0,34.400196160234806,27,35.888888888888886,4.444796883628153,5,1.0,32.99999999999999,20,33.0,0.16666666666666666,90203,0.0,0.0,21,0,0,0,1,0.9295238095238096,20,20,14,29.0,39.0,2,13,14,1309,2.004460891708732,27.81928239762783
15,14,0,0,0,10.000000000000002,20,10.0,34.675261436814715,17,37.647058823529406,4.503967970450479,5,6.0,32.99999999999999,20,33.0,0.16666666666666666,83354,0.0,0.0,18,0,0,0,2,26.150877192982453,19,19,14,29.0,36.0,2,12,14,890,2.1292593013495207,29.94854169897735
16,14,0,0,1,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,33.0,20,33.0,0.16666666666666666,90890,0.0,0.125,18,0,0,0,2,18.409774436090228,20,20,11,26.0,36.0,2,12,11,860,2.2701100762933493,32.2186517752707
17,11,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,33.0,20,33.0,0.16666666666666666,90448,0.0,0.125,20,0,0,0,4,148.0057002776301,18,18,8,0.0,33.0,0,11,8,860,0.7479035872966051,32.966555362567306
18,8,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,89987,0.0,0.125,15,0,0,0,2,38.101587301587294,17,17,7,0.0,24.0,0,8,7,860,0.8375091589987278,33.80406452156603
19,7,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,89513,0.0,0.125,17,0,0,0,2,27.78684807256236,16,16,5,0.0,21.0,0,7,5,860,1.0383862033486366,34.84245072491467
20,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,89057,0.0,0.125,17,0,0,0,0,0.0,18,18,5,0.0,15.0,0,5,5,860,1.4180282279849052,36.26047895289958
21,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.11666666666666665,88615,0.0,0.125,16,0,0,0,1,86.37537537537537,16,16,5,0.0,15.0,0,5,5,860,1.8246415313333275,38.085120484232895
22,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,88154,0.0,0.125,17,0,0,0,0,0.0,16,16,5,0.0,15.0,0,5,5,860,0.7582704685628414,38.843390952795744
23,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,87703,0.0,0.125,18,0,0,0,0,0.0,19,19,5,0.0,15.0,0,5,5,860,2.7693608421832323,41.612751794978976
24,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,87254,0.0,0.125,18,0,0,0,0,0.0,19,19,5,0.0,15.0,0,5,5,860,2.077549323439598,43.69030111841858
25,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.999999999999986,20,33.0,0.16666666666666666,86815,0.0,0.125,14,0,0,0,1,43.687687687687685,19,19,5,0.0,15.0,0,5,5,860,2.4066460207104683,46.096947139129036
26,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.999999999999986,20,33.0,0.16666666666666666,86374,0.0,0.125,17,0,0,0,0,0.0,18,18,5,0.0,15.0,0,5,5,860,1.0497842039912941,47.146731343120344
27,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.999999999999986,20,33.0,0.16666666666666666,85883,0.0,0.125,18,0,0,0,0,0.0,18,18,5,0.0,15.0,0,5,5,860,1.326316460967064,48.4730478040874
28,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.999999999999986,20,33.0,0.16666666666666666,85427,0.0,0.125,18,0,0,0,0,0.0,19,19,5,0.0,15.0,0,5,5,860,1.2031459975987673,49.676193801686175
29,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,32.99999999999999,20,33.0,0.16666666666666666,84980,0.0,0.125,14,0,0,0,0,0.0,17,17,5,0.0,15.0,0,5,5,860,2.6520316824316983,52.32822548411786
30,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,33.0,20,33.0,0.16666666666666666,84518,0.0,0.125,18,0,0,0,0,0.0,16,16,5,0.0,15.0,0,5,5,860,1.533987507224083,53.862212991341956
31,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,33.0,20,33.0,0.16666666666666666,84076,0.0,0.125,17,0,0,0,0,0.0,18,18,5,0.0,15.0,0,5,5,860,1.1845450680702925,55.04675805941224
32,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.503967970450479,0,,33.0,20,33.0,0.16666666666666666,83633,0.0,0.125,18,0,0,2,0,0.0,15,17,5,0.0,15.0,0,5,5,860,0.9786672070622444,56.02542526647449
33,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.389341419505834,4,1.0,33.0,20,33.0,0.16666666666666666,83059,0.0,0.125,19,0,0,0,0,0.0,9,9,5,3.0,12.0,1,4,5,864,2.505608655512333,58.53103392198682
34,5,0,0,0,10.000000000000002,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.00000000000001,20,33.0,0.16666666666666666,82624,0.0,0.125,17,0,0,0,0,0.0,9,9,5,0.0,15.0,0,5,5,860,2.6060054805129766,61.1370394024998
35,5,0,0,0,10.0,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.00000000000001,20,33.0,0.16666666666666666,82174,0.0,0.125,16,0,0,0,0,0.0,9,9,5,0.0,15.0,0,5,5,860,2.696411343291402,63.833450745791204
36,5,0,0,0,10.0,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.00000000000001,20,33.0,0.16666666666666666,81724,0.0,0.125,18,0,0,0,0,0.0,0,0,5,0.0,15.0,0,5,5,860,2.5123915653675795,66.34584231115878
37,5,0,0,0,10.0,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.00000000000001,20,33.0,0.16666666666666666,81274,0.0,0.125,16,0,0,0,0,0.0,0,0,5,0.0,15.0,0,5,5,860,2.208002610132098,68.55384492129086
38,5,0,0,0,10.0,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.0,20,33.0,0.16666666666666666,80827,0.0,0.125,16,0,0,0,0,0.0,0,0,5,0.0,15.0,0,5,5,860,2.466737180948257,71.02058210223912
39,5,0,0,0,10.0,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.0,20,33.0,0.16666666666666666,80348,0.0,0.125,19,0,0,0,0,0.0,0,0,5,0.0,15.0,0,5,5,860,2.774271262809634,73.79485336504877
40,5,0,0,0,9.999999999999998,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.0,20,33.0,0.16666666666666666,79897,0.0,0.125,19,0,0,0,0,0.0,0,0,5,0.0,15.0,0,5,5,860,1.1303112450987098,74.92516461014749
41,5,0,0,0,9.999999999999998,20,10.0,34.675261436814715,0,,4.389341419505834,0,,33.0,20,33.0,0.16666666666666666,79440,0.0,0.125,19,0,0,0,0,0.0,0,0,5,0.0,15.0,0,5,5,860,1.3091014418751,76.23426605202258
