index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
42,OTHER,T37,0,1,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
530,OTHER,T20,0,1,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
119,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
163,OTHER,T29,0,1,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
24,OTHER,T20,0,2,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
329,OTHER,T37,0,2,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
110,OTHER,T29,0,2,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
300,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
528,OTHER,T29,0,2,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
456,OTHER,T37,0,1,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
675,OTHER,T37,0,3,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
443,OTHER,T29,0,1,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
36,OTHER,T37,0,2,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
218,OTHER,T20,0,1,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
694,OTHER,T29,0,1,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
80,OTHER,T20,0,1,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
746,OTHER,T37,0,1,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
569,OTHER,T37,0,1,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
404,OTHER,T29,0,3,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
99,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
593,OTHER,T20,0,1,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
364,OTHER,T37,0,1,10,0,-1,-1,SELLER,03T37@0,0,0,-1,-1,0
600,OTHER,T20,0,2,10,0,-1,-1,SELLER,01T20@0,0,0,-1,-1,0
606,OTHER,T29,0,2,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
743,OTHER,T29,0,1,10,0,-1,-1,SELLER,02T29@0,0,0,-1,-1,0
309,OTHER,T20,0,2,10,0,-1,-1,SELLER,00T20@0,0,0,-1,-1,0
53,OTHER,T37,1,1,10,0,-1,-1,SELLER,03T37@0,0,1,-1,-1,0
293,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
693,OTHER,T20,1,2,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
286,OTHER,T37,1,2,10,0,-1,-1,SELLER,03T37@0,0,1,-1,-1,0
0,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
478,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
133,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
347,OTHER,T20,1,1,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
455,OTHER,T29,1,2,10,0,-1,-1,SELLER,02T29@0,0,1,-1,-1,0
104,OTHER,T20,1,2,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
352,OTHER,T37,1,1,10,0,-1,-1,SELLER,03T37@0,0,1,-1,-1,0
730,OTHER,T20,1,2,10,0,-1,-1,SELLER,01T20@0,0,1,-1,-1,0
401,OTHER,T29,1,1,10,0,-1,-1,SELLER,02T29@0,0,1,-1,-1,0
88,OTHER,T20,1,2,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
931,T37,T37,1,9,16,-1,-1,1,08T37@2,10T37@3,17,-1,-1,-1,3
59,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
704,OTHER,T20,1,3,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
383,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
920,T37,T12,1,9,16,-1,-1,1,08T37@2,11T12@3,17,-1,-1,-1,3
134,OTHER,T37,1,2,10,0,-1,-1,SELLER,03T37@0,0,1,-1,-1,0
599,OTHER,T37,1,3,10,0,-1,-1,SELLER,03T37@0,0,1,-1,-1,0
929,T37,T12,1,8,8,-1,-1,1,03T37@0,05T12@1,17,-1,-1,-1,1
933,T37,T12,1,8,8,-1,-1,1,03T37@0,06T12@1,17,-1,-1,-1,1
941,T37,T12,1,10,9,-1,-1,1,03T37@0,06T12@1,17,-1,-1,-1,1
646,OTHER,T29,1,2,10,0,-1,-1,SELLER,02T29@0,0,1,-1,-1,0
524,OTHER,T37,1,1,10,0,-1,-1,SELLER,03T37@0,0,1,-1,-1,0
186,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
197,OTHER,T20,1,1,10,0,-1,-1,SELLER,00T20@0,0,1,-1,-1,0
653,OTHER,T29,1,2,10,0,-1,-1,SELLER,02T29@0,0,1,-1,-1,0
