index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,9,10.0,16.0,0,,25.0,0,,35.0,0,,47.0,0,,0.1125,408400,0.0,0.0,5,0,0,110,0,0.0,325,435,74,0.0,0.0,0,0,74,90,58.30995719879866,58.30995719879866
1,74,0,0,0,10.0,11,10.0,16.0,0,,25.0,0,,28.123287671232877,28,17.071428571428573,47.0,0,,0.125,406628,0.0,0.0,9,0,0,42,0,0.0,48,90,48,832.0,15.0,69,5,48,588,83.71540572121741,142.02536292001602
2,48,0,0,0,10.0,13,10.0,16.0,0,,26.2,5,37.0,26.42750929368029,15,19.0,47.0,0,,0.25,405628,0.0,0.0,10,0,0,23,0,0.0,17,40,41,120.0,95.0,15,33,41,600,84.40015526488423,226.42551818490028
3,41,0,0,0,10.0,12,10.0,16.0,0,,29.163636363636364,10,42.5,24.124809895569296,26,17.69230769230769,47.0,0,,0.2375,403724,0.0,0.0,10,0,0,25,0,0.0,13,38,39,108.0,75.0,16,25,39,1005,63.95505590736866,290.38057409226894
4,39,0,0,0,10.0,10,10.0,18.571428571428573,18,25.0,29.163636363636364,0,,22.71482962752678,31,18.677419354838708,47.0,20,47.0,0.25,402354,0.0,0.0,23,0,0,30,0,0.0,14,44,38,135.0,57.0,20,19,38,2069,64.19344501569867,354.5740191079676
5,38,0,0,0,10.0,7,10.0,20.57971014492753,33,24.03030303030303,29.88256880733945,5,37.0,21.44623717290105,42,18.19047619047619,47.0,20,47.0,0.375,399211,0.0,0.0,21,0,0,19,0,0.0,18,37,35,120.0,69.0,15,23,35,2752,60.28906099684537,414.863080104813
6,35,0,0,0,10.0,8,10.0,20.57971014492753,0,,29.88256880733945,0,,20.84691661877788,34,18.47058823529412,47.0,20,47.0,0.375,397161,0.0,0.0,17,0,0,21,0,0.0,18,39,36,102.0,63.0,14,21,36,1648,63.51005655527115,478.3731366600841
7,36,0,0,0,10.0,10,10.0,21.151730831446134,12,25.0,29.88256880733945,0,,20.84691661877788,0,,47.00000000000001,20,47.0,0.2625,397424,0.0,0.0,19,0,0,21,0,0.0,13,34,36,102.0,66.0,14,22,36,1340,65.46210341528058,543.8352400753647
8,36,0,0,0,10.0,10,10.0,21.43331606691246,15,23.0,29.88256880733945,0,,20.487396764152493,30,18.666666666666668,47.00000000000001,20,47.0,0.3625,395199,0.0,0.0,22,0,0,22,0,0.0,16,38,36,102.0,66.0,14,22,36,1945,60.035949524492025,603.8711895998567
9,36,0,0,0,10.0,11,10.0,21.43331606691246,0,,30.633487511563374,5,38.0,19.940725072926515,42,17.80952380952381,47.00000000000001,20,47.0,0.25,392299,0.0,0.0,24,0,0,25,0,0.0,19,44,36,175.0,48.0,20,16,36,1988,59.25432574935258,663.1255153492092
10,36,0,0,0,10.0,12,10.0,21.43331606691246,0,,31.22688041755989,5,37.0,19.911198762083767,6,19.0,47.0,20,47.0,0.25,391551,0.0,0.0,20,0,0,22,0,0.0,15,37,36,120.0,63.0,15,21,36,1359,58.687544839456685,721.8130601886659
