index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
156,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
524,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
136,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
30,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
470,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
328,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
73,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
124,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
406,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
204,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
889,T08,T35,1,5,40,-1,-1,1,03T08@1,05T35@2,17,-1,-1,-1,2
891,T22,T10,1,1,10,-1,-1,1,01T22@0,02T10@1,17,-1,-1,-1,1
893,T22,T08,1,3,11,-1,-1,1,01T22@0,03T08@1,10,-1,-1,-1,1
894,T22,T10,1,9,28,-1,-1,1,01T22@0,02T10@1,17,-1,-1,-1,1
800,T10,T22,1,3,12,1,-1,1,02T10@1,04T22@2,10,1,-1,-1,2
51,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
421,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
796,T22,T08,1,3,10,1,-1,1,01T22@0,03T08@1,8,1,-1,-1,1
813,T22,T10,1,1,10,1,-1,1,01T22@0,02T10@1,10,1,-1,-1,1
95,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
820,T35,T35,1,5,18,1,-1,1,05T35@2,07T35@3,10,1,-1,-1,3
897,T22,T10,1,1,10,-1,-1,1,01T22@0,02T10@1,17,-1,-1,-1,1
