index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
50,OTHER,T38,0,3,10,0,-1,-1,SELLER,00T38@0,0,0,-1,-1,0
70,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
137,OTHER,T38,0,2,10,0,-1,-1,SELLER,00T38@0,0,0,-1,-1,0
45,OTHER,T38,0,3,10,0,-1,-1,SELLER,00T38@0,0,0,-1,-1,0
40,OTHER,T38,0,3,10,0,-1,-1,SELLER,00T38@0,0,0,-1,-1,0
159,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
48,OTHER,T38,0,3,10,0,-1,-1,SELLER,00T38@0,0,0,-1,-1,0
43,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
290,T23,T22,1,2,15,1,-1,1,05T23@2,06T22@3,15,1,-1,-1,3
257,T22,T22,1,1,15,1,-1,1,03T22@1,04T22@2,17,1,-1,-1,2
289,T22,T22,1,1,23,1,-1,1,04T22@2,06T22@3,17,1,-1,-1,3
287,T23,T22,1,6,2,1,-1,1,05T23@2,06T22@3,9,1,-1,-1,3
280,T35,T22,1,1,10,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
271,T35,T22,1,1,10,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
267,T35,T22,1,1,10,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
296,T22,T22,1,9,25,-1,-1,1,04T22@2,06T22@3,17,-1,-1,-1,3
256,T23,T22,1,1,6,1,-1,1,05T23@2,07T22@3,13,1,-1,-1,3
262,T22,T22,1,1,15,1,-1,1,03T22@1,04T22@2,17,1,-1,-1,2
246,T22,T22,1,1,23,1,-1,1,04T22@2,07T22@3,17,1,-1,-1,3
160,OTHER,T38,1,2,10,0,-1,-1,SELLER,00T38@0,0,1,-1,-1,0
143,OTHER,T38,1,4,10,0,-1,-1,SELLER,00T38@0,0,1,-1,-1,0
126,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
221,OTHER,T38,1,6,10,-1,-1,-1,SELLER,00T38@0,0,-1,-1,-1,0
118,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
253,T22,T22,2,1,24,1,-1,1,04T22@2,07T22@3,17,2,-1,-1,3
151,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
295,T22,T23,2,3,54,-1,-1,1,03T22@1,05T23@2,16,-1,-1,-1,2
173,OTHER,T38,2,2,10,0,-1,-1,SELLER,00T38@0,0,2,-1,-1,0
291,T23,T22,2,8,9,1,-1,1,05T23@2,06T22@3,14,2,-1,-1,3
182,OTHER,T35,2,6,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
