index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,0,,0.3,108464,0.0,0.0,10,0,0,0,0,0.0,461,461,0,0,0,0,0,0,200,0.7731610722839832,0.7731610722839832
1,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,0,,0.3,108264,0.0,0.0,11,0,0,6,0,0.0,19,25,0,0,0,0,0,0,200,0.24998928047716615,1.0231503527611494
2,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,0,,0.31666666666666665,108064,0.0,0.0,10,0,0,5,0,0.0,15,20,0,0,0,0,0,0,200,0.16604011319577694,1.1891904659569263
3,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.3333333333333333,107587,0.0,0.0,20,0,0,4,0,0.0,15,19,0,0,0,0,0,0,900,0.2191647440195084,1.4083552099764347
4,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.2833333333333333,107106,0.0,0.0,21,0,0,7,0,0.0,15,22,0,0,0,0,0,0,900,0.28470158390700817,1.6930567938834429
5,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.3,106612,0.0,0.0,23,0,0,4,0,0.0,15,19,0,0,0,0,0,0,900,0.21192998252809048,1.9049867764115331
6,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,34.99999999999999,20,35.0,0.3333333333333333,106132,0.0,0.0,21,0,0,5,0,0.0,16,21,0,0,0,0,0,0,900,0.3073158822953701,2.2123026587069035
7,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.3333333333333333,105654,0.0,0.0,22,0,0,5,0,0.0,17,22,0,0,0,0,0,0,900,0.2669352646917105,2.4792379233986144
8,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.26666666666666666,105157,0.0,0.0,24,0,0,6,0,0.0,19,25,0,0,0,0,0,0,900,0.2464544400572777,2.725692363455892
9,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.00000000000001,20,35.0,0.3333333333333333,104654,0.0,0.0,23,0,0,7,0,0.0,15,22,0,0,0,0,0,0,900,0.3491853438317776,3.074877707287669
10,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.00000000000001,20,35.0,0.3333333333333333,104149,0.0,0.0,23,0,0,3,0,0.0,17,20,0,0,0,0,0,0,900,0.2493819706141949,3.324259677901864
11,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.00000000000001,20,35.0,0.3333333333333333,103683,0.0,0.0,20,0,0,4,0,0.0,16,20,0,0,0,0,0,0,900,0.3424768000841141,3.666736477985978
12,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.00000000000001,20,35.0,0.3333333333333333,103209,0.0,0.0,19,0,0,3,0,0.0,17,20,0,0,0,0,0,0,900,0.3103745002299547,3.977110978215933
13,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.00000000000001,20,35.0,0.3333333333333333,102736,0.0,0.0,21,0,0,0,0,0.0,22,22,0,0,0,0,0,0,900,0.2232754249125719,4.200386403128505
14,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.3333333333333333,102259,0.0,0.0,22,0,0,1,0,0.0,19,20,0,0,0,0,0,0,900,0.2528374847024679,4.453223887830973
15,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,29.0,0,,35.0,20,35.0,0.3333333333333333,101779,0.0,0.0,23,0,0,2,0,0.0,20,22,0,0,0,0,0,0,900,0.3146913554519415,4.767915243282914
