,balance,assets,bankrupt,agent_id,step
0,40593.0,80.0,False,00T24@0,0.0
1,40043.0,630.0,False,00T24@0,5.0
2,39523.0,1150.0000000000002,False,00T24@0,10.0
3,39023.0,1650.0000000000002,False,00T24@0,15.0
4,38603.0,2070.0000000000005,False,00T24@0,20.0
5,38103.0,2570.0000000000005,False,00T24@0,25.0
6,37673.0,3000.0000000000005,False,00T24@0,30.0
7,37183.0,3370.0000000000005,False,00T24@0,35.0
8,36753.0,3800.0,False,00T24@0,40.0
9,36293.0,4260.0,False,00T24@0,45.0
10,35783.0,4769.999999999999,False,00T24@0,50.0
11,35333.0,5219.999999999999,False,00T24@0,55.0
12,34863.0,5689.999999999999,False,00T24@0,60.0
13,34373.0,6179.999999999999,False,00T24@0,65.0
14,33893.0,6660.0,False,00T24@0,70.0
15,33433.0,7120.0,False,00T24@0,75.0
16,32953.0,7600.0,False,00T24@0,80.0
17,32473.0,8080.0,False,00T24@0,85.0
18,32363.0,8190.0,False,00T24@0,90.0
19,40553.0,120.0,False,01T35@0,0.0
20,39916.0,570.0,False,01T35@0,5.0
21,38576.0,1050.0000000000002,False,01T35@0,10.0
22,35714.0,1550.0000000000002,False,01T35@0,15.0
23,24484.0,2130.0000000000005,False,01T35@0,20.0
24,20624.0,2630.0000000000005,False,01T35@0,25.0
25,1992.0,3080.0000000000005,False,01T35@0,30.0
26,-39188.333333333336,3360.0000000000005,True,01T35@0,35.0
27,-39188.333333333336,3359.9999999999995,True,01T35@0,40.0
28,-39188.333333333336,3360.0,True,01T35@0,45.0
29,-39188.333333333336,3359.9999999999995,True,01T35@0,50.0
30,-39188.333333333336,3359.9999999999995,True,01T35@0,55.0
31,-39188.333333333336,3359.9999999999995,True,01T35@0,60.0
32,-39188.333333333336,3359.9999999999995,True,01T35@0,65.0
33,-39188.333333333336,3360.0,True,01T35@0,70.0
34,-39188.333333333336,3360.0,True,01T35@0,75.0
35,-39188.333333333336,3360.0,True,01T35@0,80.0
36,-39188.333333333336,3360.0,True,01T35@0,85.0
37,-39188.333333333336,3360.0,True,01T35@0,90.0
38,57798.0,0.0,False,02T22@1,0.0
39,57737.0,36.463097174974116,False,02T22@1,5.0
40,58034.0,250.1713384750002,False,02T22@1,10.0
41,56505.0,2191.1377004190517,False,02T22@1,15.0
42,51808.0,7961.66829359768,False,02T22@1,20.0
43,52029.0,9174.609513384614,False,02T22@1,25.0
44,51813.0,10804.921460865911,False,02T22@1,30.0
45,51484.0,11976.068656350328,False,02T22@1,35.0
46,52274.0,12077.888138074206,False,02T22@1,40.0
47,52835.0,12370.08850558539,False,02T22@1,45.0
48,54118.0,12038.560498488614,False,02T22@1,50.0
49,54518.0,12604.390878386654,False,02T22@1,55.0
50,56533.0,11976.836441104453,False,02T22@1,60.0
51,57321.0,12737.716707918256,False,02T22@1,65.0
52,58216.0,12992.794045101004,False,02T22@1,70.0
53,59208.0,14011.019271489651,False,02T22@1,75.0
54,61093.0,12208.925107789262,False,02T22@1,80.0
55,61924.0,13039.252229575492,False,02T22@1,85.0
56,61924.0,14252.853793109429,False,02T22@1,90.0
57,57798.0,0.0,False,03T22@1,0.0
58,58066.0,0.0,False,03T22@1,5.0
59,57893.0,686.3339432820269,False,03T22@1,10.0
60,58415.0,1041.5034564012656,False,03T22@1,15.0
61,59059.0,646.8313394140674,False,03T22@1,20.0
62,57995.0,2394.9189554364675,False,03T22@1,25.0
63,54675.0,6308.384349252459,False,03T22@1,30.0
64,54427.0,7328.27184844065,False,03T22@1,35.0
65,54757.0,7884.087584083385,False,03T22@1,40.0
66,54957.0,8663.473254663462,False,03T22@1,45.0
67,55545.0,9215.288473640316,False,03T22@1,50.0
68,57457.0,7959.715614848452,False,03T22@1,55.0
69,58179.0,8450.178129513604,False,03T22@1,60.0
70,58967.0,9264.1124051445,False,03T22@1,65.0
71,59563.0,9872.148472884051,False,03T22@1,70.0
72,61147.0,9176.100349236,False,03T22@1,75.0
73,61343.0,8369.316755377089,False,03T22@1,80.0
74,62731.0,7539.051428156254,False,03T22@1,85.0
75,62731.0,7539.051428156254,False,03T22@1,90.0
76,79099.0,0.0,False,04T35@2,0.0
77,72609.0,583.409554799586,False,04T35@2,5.0
78,58612.0,1876.2850385625013,False,04T35@2,10.0
79,44086.0,3725.377747896834,False,04T35@2,15.0
80,26861.0,4770.381128178748,False,04T35@2,20.0
81,12458.0,6215.08373279591,False,04T35@2,25.0
82,-14892.0,8058.197358053687,False,04T35@2,30.0
83,-43588.75,7898.190851220887,True,04T35@2,35.0
84,-43588.75,7798.05764453998,True,04T35@2,40.0
85,-43588.75,7772.943756741926,True,04T35@2,45.0
86,-43588.75,7865.54242474596,True,04T35@2,50.0
87,-43588.75,7736.650929996909,True,04T35@2,55.0
88,-43588.75,8019.316213324576,True,04T35@2,60.0
89,-43588.75,8458.603406330076,True,04T35@2,65.0
90,-43588.75,8550.354535092047,True,04T35@2,70.0
91,-43588.75,9176.100349236,True,04T35@2,75.0
92,-43588.75,8534.229400803239,True,04T35@2,80.0
93,-43588.75,8917.620832161969,True,04T35@2,85.0
94,-43588.75,8917.620832161969,True,04T35@2,90.0
95,79099.0,0.0,False,05T22@2,0.0
96,78526.0,522.6578706668528,False,05T22@2,5.0
97,76975.0,981.8408902055644,False,05T22@2,10.0
98,64869.0,2308.634872439683,False,05T22@2,15.0
99,62020.0,1882.9094604486386,False,05T22@2,20.0
100,58275.0,2916.582793631209,False,05T22@2,25.0
101,56832.0,4474.282163795085,False,05T22@2,30.0
102,56744.0,5809.011514257965,False,05T22@2,35.0
103,55624.0,7379.982095843039,False,05T22@2,40.0
104,56520.0,6597.898052418162,False,05T22@2,45.0
105,56487.0,6862.887724578843,False,05T22@2,50.0
106,55835.0,8286.834616469801,False,05T22@2,55.0
107,56832.0,8800.180189271494,False,05T22@2,60.0
108,57519.0,9140.627358399724,False,05T22@2,65.0
109,58722.0,9101.429420624492,False,05T22@2,70.0
110,59893.0,7913.6635756696705,False,05T22@2,75.0
111,61515.0,7375.890754275949,False,05T22@2,80.0
112,59542.0,9887.869900726078,False,05T22@2,85.0
113,59542.0,10435.439140016691,False,05T22@2,90.0
114,94832.0,0.0,False,06T35@3,0.0
115,88421.0,1827.034935037424,False,06T35@3,5.0
116,67170.0,9280.154720361297,False,06T35@3,10.0
117,44333.0,21806.95479645003,False,06T35@3,15.0
118,29963.0,28388.58606532793,False,06T35@3,20.0
119,6863.0,34917.548271591746,False,06T35@3,25.0
120,-28850.0,38315.313099611376,False,06T35@3,30.0
121,-101303.05555555556,41453.085496231964,True,06T35@3,35.0
122,-101303.05555555556,41453.085496231964,True,06T35@3,40.0
123,-101303.05555555556,40914.33067663313,True,06T35@3,45.0
124,-101303.05555555556,40726.24284953485,True,06T35@3,50.0
125,-101303.05555555556,41410.64828701379,True,06T35@3,55.0
126,-101303.05555555556,44331.9354290152,True,06T35@3,60.0
127,-101303.05555555556,46094.76841166688,True,06T35@3,65.0
128,-101303.05555555556,47887.884219738946,True,06T35@3,70.0
129,-101303.05555555556,46955.97560774822,True,06T35@3,75.0
130,-101303.05555555556,48369.06989975216,True,06T35@3,80.0
131,-101303.05555555556,48520.44743756977,True,06T35@3,85.0
132,-101303.05555555556,48520.44743756977,True,06T35@3,90.0
133,94832.0,0.0,False,07T22@3,0.0
134,93946.0,1986.409931172673,False,07T22@3,5.0
135,93127.0,3743.563589679479,False,07T22@3,10.0
136,88831.0,11123.39961859302,False,07T22@3,15.0
137,76650.0,21839.03884873291,False,07T22@3,20.0
138,70363.0,30677.35672111982,False,07T22@3,25.0
139,59118.0,40632.44747871833,False,07T22@3,30.0
140,56356.0,46414.155568272,False,07T22@3,35.0
141,59022.0,44719.16722478294,False,07T22@3,40.0
142,57411.0,46698.90036860891,False,07T22@3,45.0
143,58811.0,46229.55522679102,False,07T22@3,50.0
144,63547.0,43679.254901543696,False,07T22@3,55.0
145,65296.0,46056.599181264144,False,07T22@3,60.0
146,67562.0,47239.60224125828,False,07T22@3,65.0
147,64779.0,48851.14223400391,False,07T22@3,70.0
148,62912.0,49128.729058477744,False,07T22@3,75.0
149,61531.0,51325.21542630028,False,07T22@3,80.0
150,63308.0,49781.71780138037,False,07T22@3,85.0
151,64859.0,49478.70705583165,False,07T22@3,90.0
152,119772.0,0.0,False,08T41@4,0.0
153,119249.0,882.9003463704494,False,08T41@4,5.0
154,112333.0,8298.13994991189,False,08T41@4,10.0
155,100506.0,22711.598268741367,False,08T41@4,15.0
156,95929.0,27222.682792242274,False,08T41@4,20.0
157,90118.0,32651.80953911045,False,08T41@4,25.0
158,80446.0,46439.17379563301,False,08T41@4,30.0
159,77564.0,51305.631009674886,False,08T41@4,35.0
160,73640.0,55762.92814528399,False,08T41@4,40.0
161,74235.0,54720.32401221788,False,08T41@4,45.0
162,73207.0,56635.60233074487,False,08T41@4,50.0
163,71081.0,62032.178440129275,False,08T41@4,55.0
164,68238.0,68664.86319099438,False,08T41@4,60.0
165,63348.0,78191.23638518016,False,08T41@4,65.0
166,56677.0,83357.30516703411,False,08T41@4,70.0
167,50415.0,88341.72499802586,False,08T41@4,75.0
168,44677.0,91718.14544619524,False,08T41@4,80.0
169,42292.0,99405.08367214713,False,08T41@4,85.0
170,41370.0,100178.92379700088,False,08T41@4,90.0
171,119772.0,0.0,False,09T23@4,0.0
172,116148.0,3484.501731852247,False,09T23@4,5.0
173,110737.0,6988.254361323638,False,09T23@4,10.0
174,98724.0,16578.053775223027,False,09T23@4,15.0
175,89759.0,24232.579442892733,False,09T23@4,20.0
176,79063.0,33767.43642703386,False,09T23@4,25.0
177,62074.0,50935.68994626623,False,09T23@4,30.0
178,57044.0,55960.118494267685,False,09T23@4,35.0
179,54232.0,59024.48090723744,False,09T23@4,40.0
180,52756.0,59046.335952175104,False,09T23@4,45.0
181,49749.0,62335.91775422495,False,09T23@4,50.0
182,45184.0,69329.13712989463,False,09T23@4,55.0
183,38431.0,78976.44337703187,False,09T23@4,60.0
184,28966.0,91333.23761799447,False,09T23@4,65.0
185,21802.0,94369.15045524793,False,09T23@4,70.0
186,18113.0,96092.57483707642,False,09T23@4,75.0
187,12722.0,98255.53784228217,False,09T23@4,80.0
188,-2633.0,115458.58168122466,False,09T23@4,85.0
189,-98882.66666666669,117322.63843488047,True,09T23@4,90.0
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
