index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,29.0,0,,39.0,0,,0.16666666666666666,223350,0.0,0.0,5,0,0,46,0,0.0,191,237,48,0.0,0.0,0,0,48,200,28.105271134525537,28.105271134525537
1,48,0,0,0,10.0,20,10.0,23.70967741935484,17,25.588235294117645,29.0,0,,39.0,0,,0.4166666666666667,222859,0.0,0.0,15,0,0,14,0,0.0,35,49,29,512.0,27.0,39,9,29,635,66.04951179586351,94.15478293038905
2,29,0,0,0,10.0,20,10.0,23.70967741935484,0,,29.0,0,,39.0,0,,0.2,222659,0.0,0.0,5,0,0,5,0,0.0,14,19,28,95.0,69.0,10,19,28,200,37.00180583074689,131.15658876113594
3,28,0,0,0,10.0,20,10.0,22.65372168284789,6,12.833333333333336,31.6,5,55.0,39.0,20,39.0,0.35000000000000003,222049,0.0,0.0,12,0,0,7,0,0.0,15,22,27,173.0,57.0,14,14,27,1332,35.329021317884326,166.48561007902026
4,27,0,0,0,10.0,20,10.0,23.893531414422775,9,31.555555555555557,29.23076923076923,7,14.0,39.0,16,39.0,0.4333333333333333,221901,0.0,0.0,12,0,0,6,0,0.0,14,20,27,110.0,81.0,10,17,27,1206,27.01285357028246,193.49846364930272
5,27,0,0,0,10.0,20,10.0,23.893531414422775,0,,29.23076923076923,0,,39.00000000000001,13,39.0,0.16666666666666666,221879,0.0,0.0,7,0,0,5,0,0.0,13,18,29,111.0,69.0,9,18,29,707,25.134893868118525,218.63335751742127
6,29,0,0,0,10.0,20,10.0,25.115632274252548,8,34.0,32.866242038216555,16,43.5,39.0,8,39.0,0.5666666666666668,221653,0.0,0.0,13,0,0,6,0,0.0,15,21,28,128.0,84.0,11,18,28,1480,24.517956679686904,243.15131419710812
7,28,0,0,0,10.0,20,10.0,26.15543219190228,7,35.0,34.881412024269174,16,42.0,39.0,7,39.0,0.5,221586,0.0,0.0,11,0,0,6,0,0.0,13,19,27,125.0,99.0,10,18,27,1390,24.779693339020014,267.93100753612816
8,27,0,0,0,10.0,20,10.0,25.971930996982106,36,25.66666666666667,35.46458412058613,30,36.73333333333333,39.0,15,39.0,0.6666666666666666,220062,0.0,0.0,16,0,0,6,0,0.0,13,19,26,107.0,84.0,9,18,26,2811,25.71332796476781,293.644335500896
9,26,0,0,0,10.000000000000002,20,10.0,25.26369872643917,27,23.0,36.88442274493219,41,39.85365853658536,39.00000000000001,9,39.0,0.65,217919,0.0,0.0,14,0,0,6,0,0.0,13,19,27,140.0,93.0,10,16,27,2806,23.000808903947476,316.64514440484345
10,27,0,0,0,10.000000000000002,20,10.0,25.592195477418805,38,26.47368421052632,36.788627672867406,24,36.333333333333336,39.00000000000001,9,39.0,0.6666666666666666,216740,0.0,0.0,15,0,0,6,0,0.0,15,21,23,143.0,63.0,11,16,23,2429,23.48393571190536,340.1290801167488
11,23,0,0,0,10.000000000000002,20,10.0,26.167648508668762,9,34.22222222222222,36.788627672867406,0,,39.00000000000001,11,39.0,0.5,216969,0.0,0.0,9,0,0,5,0,0.0,12,17,23,89.0,45.0,8,15,23,937,23.240793246775866,363.36987336352473
12,23,0,0,0,10.000000000000002,20,10.0,26.651593376451835,8,34.0,37.28219941003801,13,42.0,39.00000000000001,9,39.0,0.6666666666666666,217120,0.0,0.0,9,0,0,5,0,0.0,16,21,25,143.0,36.0,11,12,25,1369,27.906576899811625,391.27645026333636
13,25,0,0,0,10.000000000000002,20,10.0,27.12367551845505,8,34.0,36.801147740290546,23,34.21739130434783,39.00000000000001,10,39.0,0.5499999999999999,217100,0.0,0.0,11,0,0,5,0,0.0,13,18,25,112.0,63.0,9,16,25,1649,21.091048266738653,412.3674985300749
14,25,0,0,0,10.000000000000002,20,10.0,26.92863558930256,30,26.2,37.102362048444206,32,38.34375,39.00000000000001,9,39.0,0.5,215675,0.0,0.0,12,0,0,7,0,0.0,16,23,22,169.0,51.0,13,12,22,2564,22.23335594497621,434.6008544750512
15,22,0,0,0,10.000000000000002,20,10.0,26.92863558930256,0,,38.41908705681234,52,42.153846153846146,39.00000000000001,14,39.0,0.6666666666666666,213735,0.0,0.0,12,0,0,6,0,0.0,14,20,23,140.0,51.0,10,12,23,2938,21.64871154539287,456.24956602044404
16,23,0,0,0,10.000000000000002,20,10.0,26.296877261610273,6,12.833333333333336,37.560827781182155,18,29.0,39.00000000000001,10,39.0,0.6666666666666666,213472,0.0,0.0,10,0,0,5,0,0.0,11,16,26,86.0,63.0,7,16,26,1189,20.519604125991464,476.76917014643544
17,26,0,0,0,10.000000000000002,20,10.0,26.258535069001432,14,25.92857142857143,38.25701961074833,32,42.125,39.00000000000001,7,39.0,0.6666666666666666,212447,0.0,0.0,12,0,0,10,0,0.0,9,19,27,110.0,78.0,10,16,27,2184,20.724079271778464,497.493249418214
18,27,0,0,0,10.000000000000002,20,10.0,25.560425127271728,33,23.0,38.094681586683,28,37.0,39.000000000000014,12,39.0,0.6666666666666666,211077,0.0,0.0,11,0,0,12,0,0.0,9,21,28,149.0,90.0,12,15,28,2463,18.71470646373928,516.2079558819532
19,28,0,0,0,10.000000000000002,20,10.0,25.560425127271728,0,,38.5538622982318,26,42.0,39.000000000000014,9,39.0,0.6666666666666666,210616,0.0,0.0,10,0,0,11,0,0.0,8,19,31,140.0,114.0,10,18,31,1643,18.863505128771067,535.0714610107243
20,31,0,0,0,10.000000000000002,20,10.0,25.4188061378358,23,24.56521739130435,38.9191483613809,21,42.38095238095238,39.00000000000001,10,39.0,0.6666666666666666,209895,0.0,0.0,13,0,0,7,0,0.0,12,19,30,125.0,108.0,10,21,30,2045,19.585085744038228,554.6565467547625
21,30,0,0,0,10.000000000000002,20,10.0,24.834121178957076,66,23.54545454545455,39.0091707562596,19,39.94736842105263,39.00000000000001,7,39.0,0.6666666666666666,207171,0.0,0.0,13,0,0,7,0,0.0,13,20,31,143.0,102.0,11,19,31,2786,18.23037659563124,572.8869233503938
22,31,0,0,0,10.000000000000002,20,10.0,24.711464732607745,30,23.93333333333333,38.37554515162671,10,26.0,39.00000000000001,10,39.0,0.6666666666666666,206650,0.0,0.0,12,0,0,9,0,0.0,11,20,30,140.0,108.0,10,21,30,1568,17.25954449363053,590.1464678440243
23,30,0,0,0,10.000000000000002,20,10.0,25.28906574934093,12,34.833333333333336,38.63081170465721,14,42.0,39.00000000000001,13,39.0,0.6666666666666666,206817,0.0,0.0,12,0,0,6,0,0.0,14,20,25,140.0,60.0,10,20,25,1713,17.714716162532564,607.8611840065569
24,25,0,0,0,10.000000000000002,20,10.0,25.68290066070875,8,35.0,38.63081170465721,0,,39.00000000000001,4,39.0,0.6666666666666666,206773,0.0,0.0,8,0,0,5,0,0.0,14,19,23,162.0,48.0,9,16,23,636,17.651300610974427,625.5124846175313
25,23,0,0,0,10.000000000000002,20,10.0,25.966249291280647,9,31.555555555555557,39.43899083874037,26,45.0,39.00000000000001,15,39.0,0.6666666666666666,206920,0.0,0.0,13,0,0,5,0,0.0,14,19,24,173.0,57.0,9,14,24,2239,18.92978243157268,644.442267049104
