,balance,assets,bankrupt,agent_id,step
0,11837.0,150.0,False,00T24@0,0.0
1,11287.0,700.0,False,00T24@0,5.0
2,10847.0,1140.0000000000002,False,00T24@0,10.0
3,10397.0,1590.0000000000002,False,00T24@0,15.0
4,9907.0,2080.0000000000005,False,00T24@0,20.0
5,9487.0,2500.0000000000005,False,00T24@0,25.0
6,9027.0,2960.0000000000005,False,00T24@0,30.0
7,8527.0,3460.0,False,00T24@0,35.0
8,7977.0,4009.9999999999986,False,00T24@0,40.0
9,7497.0,4490.0,False,00T24@0,45.0
10,7387.0,4600.0,False,00T24@0,50.0
11,11937.0,70.0,False,01T40@0,0.0
12,11862.0,316.3940134074728,False,01T40@0,5.0
13,12636.0,275.4934925094297,False,01T40@0,10.0
14,12660.0,775.3149687425305,False,01T40@0,15.0
15,13492.0,548.0833103304253,False,01T40@0,20.0
16,14234.0,433.0647069949392,False,01T40@0,25.0
17,14853.0,477.4438029154453,False,01T40@0,30.0
18,15410.0,541.3329261222816,False,01T40@0,35.0
19,15956.0,532.9156899694123,False,01T40@0,40.0
20,16285.0,871.8937912317183,False,01T40@0,45.0
21,16435.0,1071.338261389472,False,01T40@0,50.0
22,21228.0,0.0,False,02T24@1,0.0
23,20948.0,0.0,False,02T24@1,5.0
24,20808.0,0.0,False,02T24@1,10.0
25,20108.0,0.0,False,02T24@1,15.0
26,19688.0,0.0,False,02T24@1,20.0
27,19408.0,0.0,False,02T24@1,25.0
28,18988.0,0.0,False,02T24@1,30.0
29,18288.0,0.0,False,02T24@1,35.0
30,18008.0,0.0,False,02T24@1,40.0
31,17588.0,0.0,False,02T24@1,45.0
32,17588.0,0.0,False,02T24@1,50.0
33,21228.0,0.0,False,03T22@1,0.0
34,20924.0,388.1251797488309,False,03T22@1,5.0
35,19458.0,1944.657814156299,False,03T22@1,10.0
36,18962.0,2442.283634015925,False,03T22@1,15.0
37,17964.0,3730.1597104543957,False,03T22@1,20.0
38,16336.0,4720.699117707932,False,03T22@1,25.0
39,14892.0,6478.9374611405465,False,03T22@1,30.0
40,13480.0,7106.672457955871,False,03T22@1,35.0
41,12724.0,7997.970068981724,False,03T22@1,40.0
42,11132.0,8052.7496436190695,False,03T22@1,45.0
43,11132.0,9102.175064702982,False,03T22@1,50.0
44,27221.0,0.0,False,04T24@2,0.0
45,27036.0,0.0,False,04T24@2,5.0
46,26796.0,102.6546827831436,False,04T24@2,10.0
47,26316.0,263.1507764961254,False,04T24@2,15.0
48,25836.0,464.21936583256064,False,04T24@2,20.0
49,25836.0,395.79903113334586,False,04T24@2,25.0
50,24986.0,593.0656965451675,False,04T24@2,30.0
51,24561.0,572.0730828454243,False,04T24@2,35.0
52,24136.0,684.1302995596237,False,04T24@2,40.0
53,24136.0,534.4373614613266,False,04T24@2,45.0
54,23896.0,752.0677391726776,False,04T24@2,50.0
55,27221.0,0.0,False,05T40@2,0.0
56,27633.0,90.62007,False,05T40@2,5.0
57,27124.0,214.8896339476401,False,05T40@2,10.0
58,28282.0,227.44263886307945,False,05T40@2,15.0
59,29037.0,229.4161516988328,False,05T40@2,20.0
60,29602.0,231.22252654377533,False,05T40@2,25.0
61,30412.0,209.79181858170125,False,05T40@2,30.0
62,31627.0,210.53140691905045,False,05T40@2,35.0
63,32377.0,0.0,False,05T40@2,40.0
64,33002.0,216.7426709288445,False,05T40@2,45.0
65,33002.0,216.7426709288445,False,05T40@2,50.0
66,39207.0,0.0,False,06T40@3,0.0
67,38960.0,200.0,False,06T40@3,5.0
68,37786.0,1041.6909750533923,False,06T40@3,10.0
69,37841.0,760.0000000000001,False,06T40@3,15.0
70,38173.0,0.0,False,06T40@3,20.0
71,38019.0,0.0,False,06T40@3,25.0
72,37773.0,199.99999999999997,False,06T40@3,30.0
73,38074.0,0.0,False,06T40@3,35.0
74,37989.0,0.0,False,06T40@3,40.0
75,37609.0,0.0,False,06T40@3,45.0
76,37355.0,0.0,False,06T40@3,50.0
77,39207.0,0.0,False,07T22@3,0.0
78,39294.0,0.0,False,07T22@3,5.0
79,37340.0,1361.6909750533925,False,07T22@3,10.0
80,36256.0,2044.6558331784768,False,07T22@3,15.0
81,37416.0,559.9999999999999,False,07T22@3,20.0
82,37451.0,239.99999999999991,False,07T22@3,25.0
83,37162.0,199.99999999999997,False,07T22@3,30.0
84,36424.0,399.99999999999983,False,07T22@3,35.0
85,36078.0,400.0,False,07T22@3,40.0
86,35958.0,80.0,False,07T22@3,45.0
87,35660.0,0.0,False,07T22@3,50.0
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
