,balance,assets,bankrupt,agent_id,step
0,20304.0,144.0,False,00T22@0,0.0
1,20600.0,305.464285225609,False,00T22@0,5.0
2,21330.0,468.92705523542685,False,00T22@0,10.0
3,22298.0,362.43896193170065,False,00T22@0,15.0
4,23270.0,286.74856606822095,False,00T22@0,20.0
5,23462.0,879.8225886250239,False,00T22@0,25.0
6,24654.0,319.8600847525885,False,00T22@0,30.0
7,25187.0,594.3106066093399,False,00T22@0,35.0
8,26045.0,460.88463688508654,False,00T22@0,40.0
9,26866.0,400.3306190877478,False,00T22@0,45.0
10,26920.0,819.7476764493457,False,00T22@0,50.0
11,27820.0,814.8252669915613,False,00T22@0,55.0
12,28530.0,866.3630252159178,False,00T22@0,60.0
13,29101.0,995.5836547738053,False,00T22@0,65.0
14,29841.0,1130.2503008022495,False,00T22@0,70.0
15,30996.0,731.2403357131489,False,00T22@0,75.0
16,31744.0,604.4561464170912,False,00T22@0,80.0
17,32286.0,883.0738342314203,False,00T22@0,85.0
18,32760.0,1334.8850236775515,False,00T22@0,90.0
19,20264.0,200.0,False,01T22@0,0.0
20,20738.0,294.00714249877984,False,01T22@0,5.0
21,21474.0,396.80371328180365,False,01T22@0,10.0
22,22117.0,421.7421156655005,False,01T22@0,15.0
23,22532.0,693.4971321364418,False,01T22@0,20.0
24,23808.0,472.44455894531995,False,01T22@0,25.0
25,24304.0,813.6642034062123,False,01T22@0,30.0
26,25212.0,684.3106066093399,False,01T22@0,35.0
27,25942.0,923.3242218966141,False,01T22@0,40.0
28,27272.0,474.4628667228469,False,01T22@0,45.0
29,28198.0,325.8990705797384,False,01T22@0,50.0
30,29016.0,472.34274029240487,False,01T22@0,55.0
31,28933.0,1161.816806735815,False,01T22@0,60.0
32,30510.0,284.233461909522,False,01T22@0,65.0
33,30906.0,501.49185717475797,False,01T22@0,70.0
34,31285.0,611.5206197781207,False,01T22@0,75.0
35,31736.0,762.4772099678551,False,01T22@0,80.0
36,32868.0,543.0738342314203,False,01T22@0,85.0
37,33028.0,802.8287146800819,False,01T22@0,90.0
38,27586.0,0.0,False,02T37@1,0.0
39,26569.0,1114.5039140963029,False,02T37@1,5.0
40,25279.0,2207.3945355943324,False,02T37@1,10.0
41,23330.0,4142.385849390211,False,02T37@1,15.0
42,22255.0,5899.764332997989,False,02T37@1,20.0
43,20329.0,8118.450368186927,False,02T37@1,25.0
44,19117.0,9782.666005260377,False,02T37@1,30.0
45,17010.0,12145.938801374672,False,02T37@1,35.0
46,16686.0,12649.444382829224,False,02T37@1,40.0
47,14421.0,15319.77333542183,False,02T37@1,45.0
48,16141.0,14288.722569799082,False,02T37@1,50.0
49,13735.0,17148.453179242762,False,02T37@1,55.0
50,15054.0,16371.395710600818,False,02T37@1,60.0
51,13456.0,18054.444430600925,False,02T37@1,65.0
52,12057.0,19442.810171589383,False,02T37@1,70.0
53,10413.0,21139.401750524525,False,02T37@1,75.0
54,9408.0,22595.76045323157,False,02T37@1,80.0
55,7993.0,24110.366397092665,False,02T37@1,85.0
56,7529.0,24860.943357405296,False,02T37@1,90.0
57,27586.0,0.0,False,03T15@1,0.0
58,27640.0,377.57912805421637,False,03T15@1,5.0
59,25870.0,2009.9515649688888,False,03T15@1,10.0
60,22957.0,2329.8426165986066,False,03T15@1,15.0
61,20368.0,4648.853547588644,False,03T15@1,20.0
62,21009.0,4449.798406438966,False,03T15@1,25.0
63,19993.0,5784.632716960523,False,03T15@1,30.0
64,18897.0,7008.786320218546,False,03T15@1,35.0
65,17665.0,8486.70426978603,False,03T15@1,40.0
66,15688.0,10823.235879277554,False,03T15@1,45.0
67,13874.0,13124.295099079463,False,03T15@1,50.0
68,13631.0,13771.462415741016,False,03T15@1,55.0
69,12235.0,15545.93349448615,False,03T15@1,60.0
70,11444.0,16791.05482674718,False,03T15@1,65.0
71,11143.0,17245.521899696247,False,03T15@1,70.0
72,9205.0,19004.41999478121,False,03T15@1,75.0
73,7497.0,21023.962877703125,False,03T15@1,80.0
74,6415.0,22151.039469231182,False,03T15@1,85.0
75,5549.0,23295.233455849717,False,03T15@1,90.0
76,40496.0,0.0,False,04T22@2,0.0
77,40142.0,279.6732826049416,False,04T22@2,5.0
78,37162.0,2190.1731020009324,False,04T22@2,10.0
79,34178.0,2905.524320937765,False,04T22@2,15.0
80,26658.0,3718.7781377460933,False,04T22@2,20.0
81,19272.0,4021.936784991022,False,04T22@2,25.0
