index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,40.0,0,,52.0,0,,0.0,206330,0.0,0.0,5,0,0,15,0,0.0,150,165,170,0.0,0.0,0,0,170,200,23.66347253508866,23.66347253508866
1,170,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,40.0,0,,52.0,0,,0.0,206130,0.0,0.0,6,0,0,107,0,0.0,25,132,31,2351.0,547.0,121,49,31,200,3.4887263644486666,27.152198899537325
2,31,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,40.0,0,,52.0,0,,0.0,205930,0.0,0.0,5,0,0,14,0,0.0,27,41,16,551.0,6.0,29,2,16,200,1.8892109654843807,29.041409865021702
3,16,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,40.0,0,,52.0,0,,0.0,205730,0.0,0.0,5,0,0,11,0,0.0,13,24,17,186.0,6.0,14,2,17,200,1.0703030992299318,30.11171296425164
4,17,0,0,0,10.0,20,10.0,20.0,0,,29.72727272727273,10,42.0,40.0,0,,52.0,20,52.0,0.125,204854,0.0,0.0,11,0,0,7,0,0.0,16,23,10,266.0,9.0,14,3,10,1660,0.8596918545663357,30.97140481881797
5,10,0,0,0,10.0,20,10.0,20.0,0,,25.201438848920866,20,14.0,40.0,0,,52.0,20,52.0,0.125,203674,0.0,0.0,11,0,0,4,0,0.0,13,17,9,133.0,9.0,7,3,9,1520,0.8916788548231125,31.86308367364109
6,9,0,0,0,10.0,20,10.0,20.0,0,,22.24530587522713,20,13.0,39.19148936170213,2,21.0,52.0,20,52.0,0.15,202470,0.0,0.0,13,0,0,5,0,0.0,13,18,11,117.0,6.0,7,2,11,1542,0.6401388198137283,32.50322249345481
7,11,0,0,0,10.0,20,10.0,20.0,0,,23.36484015385585,5,40.0,38.37020316027087,2,21.0,52.0,20,52.0,0.15,201884,0.0,0.0,12,0,0,4,0,0.0,14,18,11,171.0,6.0,9,2,11,1482,0.7700630258768797,33.273285519331694
8,11,0,0,0,10.0,20,10.0,20.0,0,,24.454020467357644,5,40.0,38.37020316027087,0,,52.0,11,52.0,0.125,201499,0.0,0.0,9,0,0,4,0,0.0,15,19,12,155.0,6.0,9,2,12,972,0.6688970420509577,33.942182561382644
9,12,0,0,0,10.000000000000002,20,10.0,20.0,0,,25.50828609386137,5,40.0,35.96729888816219,6,20.0,51.99999999999999,15,52.0,0.2,200937,0.0,0.0,10,0,0,4,0,0.0,15,19,14,174.0,6.0,10,2,14,1300,0.7564292550086975,34.698611816391356
10,14,0,0,0,10.000000000000002,20,10.0,20.0,0,,22.61137606390195,20,13.0,35.96729888816219,0,,51.99999999999999,11,52.0,0.125,200133,0.0,0.0,9,0,0,9,0,0.0,13,22,9,212.0,6.0,12,2,9,1032,0.5847740080207586,35.28338582441211
11,9,0,0,0,10.000000000000002,20,10.0,20.0,0,,22.533941538184923,30,22.33333333333333,35.96729888816219,0,,51.99999999999999,16,52.0,0.125,198889,0.0,0.0,11,0,0,4,0,0.0,13,17,8,133.0,6.0,7,2,8,1702,0.6220150440931321,35.90540086850525
12,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,22.533941538184923,0,,35.96729888816219,0,,51.99999999999999,12,52.0,0.125,198531,0.0,0.0,9,0,0,5,0,0.0,10,15,8,95.0,9.0,5,3,8,824,0.5448809191584587,36.450281787663705
13,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.488643014276587,5,42.0,34.953322945599886,3,21.0,52.0,17,52.0,0.1625,197899,0.0,0.0,12,0,0,5,0,0.0,12,17,7,114.0,6.0,6,2,7,1357,0.5449414495378733,36.99522323720157
14,7,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.368241689376887,30,23.0,34.286572356270625,2,21.0,51.99999999999999,17,52.0,0.15,196624,0.0,0.0,14,0,0,4,0,0.0,11,15,8,95.0,6.0,5,2,8,1816,0.5585229992866516,37.553746236488216
15,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.368241689376887,0,,33.61670443313369,2,21.0,52.0,13,52.0,0.15,196406,0.0,0.0,11,0,0,3,0,0.0,12,15,8,95.0,9.0,5,3,8,918,0.4589102752506733,38.012656511738896
16,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,22.519619581841372,25,18.8,33.61670443313369,0,,51.99999999999999,12,52.0,0.125,195380,0.0,0.0,11,0,0,4,0,0.0,12,16,8,95.0,9.0,5,3,8,1294,0.5226650685071945,38.5353215802461
17,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.929040408967506,10,41.0,38.408915988067406,12,52.66666666666666,51.99999999999999,13,52.0,0.275,194643,0.0,0.0,13,0,0,3,0,0.0,13,16,8,114.0,6.0,6,2,8,1918,0.4419803507626057,38.977301931008704
18,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.929040408967506,0,,38.408915988067406,0,,51.99999999999999,16,52.0,0.125,194957,0.0,0.0,10,0,0,4,0,0.0,12,16,9,95.0,9.0,5,3,9,1032,0.4614416994154453,39.43874363042414
19,9,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.605604516039566,30,22.33333333333333,40.662042599700506,14,47.57142857142857,51.99999999999999,10,52.0,0.3,193589,0.0,0.0,15,0,0,5,0,0.0,12,17,8,133.0,6.0,7,2,8,2056,0.4299870505928993,39.86873068101704
20,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,24.19871248391784,5,40.0,40.38012935759464,38,40.0,51.99999999999999,12,52.0,0.25,193393,0.0,0.0,10,0,0,5,0,0.0,11,16,8,114.0,6.0,6,2,8,2544,0.474304772913456,40.343035453930504
21,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.2282930833197,25,18.4,39.68229102390505,3,21.0,52.0,11,52.0,0.25,192187,0.0,0.0,10,0,0,6,0,0.0,9,15,8,95.0,9.0,5,3,8,1295,0.4154398441314697,40.75847529806197
22,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.829653324792428,5,40.0,39.009672646449815,45,37.888888888888886,51.99999999999999,20,52.0,0.25,192259,0.0,0.0,13,0,0,6,0,0.0,9,15,8,95.0,9.0,5,3,8,3145,0.5189949627965689,41.27747026085853
23,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,23.060624668282053,25,19.2,41.41413825241817,25,51.8,51.99999999999999,16,52.0,0.375,191389,0.0,0.0,16,0,0,5,0,0.0,11,16,8,114.0,6.0,6,2,8,2807,0.5150111243128777,41.792481385171406
24,8,0,0,0,10.000000000000002,20,10.0,20.0,0,,21.711222134249414,25,14.4,42.78392132195954,9,61.0,51.99999999999999,20,52.0,0.3125,191429,0.0,0.0,12,0,0,4,0,0.0,12,16,8,114.0,6.0,6,2,8,2149,0.41208159923553467,42.204562984406955
