index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
656,OTHER,T41,0,4,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
435,OTHER,T41,0,1,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
70,OTHER,T41,0,1,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
153,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
578,OTHER,T41,0,1,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
301,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
704,OTHER,T41,0,2,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
663,OTHER,T41,0,2,10,0,-1,-1,SELLER,00T41@0,0,0,-1,-1,0
229,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
240,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
1003,T35,T35,1,8,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
998,T22,T22,1,5,11,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
976,T35,T36,1,9,17,1,-1,1,03T35@1,04T36@2,17,1,-1,-1,2
340,OTHER,T41,1,1,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
52,OTHER,T41,1,3,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
358,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
359,OTHER,T41,1,2,10,0,-1,-1,SELLER,00T41@0,0,1,-1,-1,0
970,T35,T35,1,7,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1012,T35,T35,1,9,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
298,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
1064,T41,T22,1,4,11,-1,-1,1,00T41@0,02T22@1,17,-1,-1,-1,1
1051,T41,T22,1,4,11,-1,-1,1,00T41@0,02T22@1,17,-1,-1,-1,1
1048,T35,T35,1,7,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1039,T35,T35,1,8,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
285,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
1057,T41,T22,1,4,11,-1,-1,1,00T41@0,02T22@1,17,-1,-1,-1,1
1059,T22,T35,1,3,52,-1,-1,1,02T22@1,05T35@2,17,-1,-1,-1,2
602,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
473,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
633,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
1060,T41,T22,1,4,11,-1,-1,1,00T41@0,02T22@1,17,-1,-1,-1,1
1019,T35,T36,1,7,19,1,-1,1,03T35@1,04T36@2,17,1,-1,-1,2
1027,T35,T35,1,8,17,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
210,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
1087,T35,T36,2,8,17,2,-1,2,03T35@1,04T36@2,17,2,-1,-1,2
1022,T35,T36,2,9,19,1,-1,1,03T35@1,04T36@2,17,2,-1,-1,2
1100,T35,T36,2,8,17,2,-1,2,03T35@1,04T36@2,17,2,-1,-1,2
1040,T35,T35,2,7,19,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
1106,T22,T35,2,21,22,-1,-1,2,01T22@0,03T35@1,2,-1,-1,-1,1
365,OTHER,T41,2,3,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
1052,T22,T36,2,3,52,-1,-1,1,02T22@1,04T36@2,17,-1,-1,-1,2
1053,T22,T35,2,17,32,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
1054,T22,T35,2,3,52,-1,-1,1,02T22@1,05T35@2,17,-1,-1,-1,2
360,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
371,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
445,OTHER,T41,2,1,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
541,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
209,OTHER,T41,2,2,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
690,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
483,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
722,OTHER,T41,2,2,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
411,OTHER,T41,2,2,10,0,-1,-1,SELLER,00T41@0,0,2,-1,-1,0
1013,T35,T36,3,8,19,1,-1,1,03T35@1,04T36@2,17,3,-1,-1,2
648,T35,OTHER,3,2,48,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
644,T35,OTHER,3,2,48,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
630,T35,OTHER,3,1,48,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
615,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
83,OTHER,T41,3,4,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
1058,T22,T36,3,3,52,-1,-1,1,02T22@1,04T36@2,17,-1,-1,-1,2
369,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
593,T35,OTHER,3,1,48,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
1044,T35,T35,3,6,19,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
1056,T22,T35,3,3,52,-1,-1,1,02T22@1,05T35@2,17,-1,-1,-1,2
529,OTHER,T41,3,3,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
612,OTHER,T22,3,4,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
428,T36,OTHER,3,2,48,0,-1,-1,04T36@2,BUYER,0,3,-1,-1,3
1055,T41,T22,3,10,34,-1,-1,1,00T41@0,02T22@1,17,-1,-1,-1,1
199,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
363,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
402,OTHER,T41,3,1,10,0,-1,-1,SELLER,00T41@0,0,3,-1,-1,0
351,T35,OTHER,3,3,48,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
333,T36,OTHER,3,3,48,0,-1,-1,04T36@2,BUYER,0,3,-1,-1,3
