index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,41.0,0,,51.0,0,,0.4875,495800,0.0,0.0,9,0,0,107,0,0.0,352,459,109,0.0,0.0,0,0,109,200,7.122356256470084,7.122356256470084
1,109,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,33.13698630136986,28,20.5,51.0,0,,0.5,493626,0.0,0.0,13,0,0,26,0,0.0,58,84,35,1187.0,202.0,66,43,35,774,5.686752326786518,12.809108583256602
2,35,0,0,0,10.0,20,10.0,24.66037735849057,8,34.0,31.0,0,,31.144853875476493,13,21.076923076923077,51.0,0,,0.6,492705,0.0,0.0,12,0,0,6,0,0.0,21,27,23,144.0,79.0,8,27,23,746,3.3373180236667395,16.146426606923338
3,23,0,0,0,10.0,20,10.0,24.66037735849057,0,,31.0,0,,28.69085104040516,20,20.0,51.0,0,,0.5,491237,0.0,0.0,14,0,0,10,0,0.0,19,29,22,190.0,33.0,12,11,22,600,2.8532030638307333,18.999629670754075
4,22,0,0,0,10.0,20,10.0,24.66037735849057,0,,28.45454545454545,10,17.0,26.710443110062236,28,20.928571428571427,51.0,11,51.0,0.625,489123,0.0,0.0,21,0,0,10,0,0.0,21,31,18,192.0,27.0,13,9,18,1517,2.8729545772075653,21.87258424796164
5,18,0,0,0,10.0,20,10.0,27.00627943485086,16,34.0,30.35135135135135,6,46.0,26.093517375287643,10,20.0,51.0,11,51.0,0.625,488013,0.0,0.0,18,0,0,6,0,0.0,22,28,16,172.0,21.0,11,7,16,1781,3.2875152211636305,25.16009946912527
6,16,0,0,0,10.0,20,10.0,27.862697076381444,8,34.0,30.459549624687238,10,31.0,26.093517375287643,0,,51.00000000000001,5,51.0,0.7,487746,0.0,0.0,13,0,0,4,0,0.0,23,27,20,162.0,21.0,9,7,20,1037,2.9837209098041058,28.143820378929377
7,20,0,0,0,10.0,20,10.0,27.862697076381444,0,,31.525184233655597,20,34.4,25.680012051968927,11,22.0,51.0,8,51.0,0.625,486485,0.0,0.0,16,0,0,7,0,0.0,19,26,21,165.0,30.0,10,10,21,1538,3.3030832875519986,31.446903666481376
8,21,0,0,0,10.0,20,10.0,29.38945412249154,16,35.0,33.81259427567639,12,46.5,27.882663570553873,33,34.42424242424242,51.0,7,51.0,0.625,484382,0.0,0.0,21,0,0,6,0,0.0,20,26,20,147.0,36.0,9,12,20,2811,3.0634567588567734,34.51036042533815
9,20,0,0,0,10.000000000000002,20,10.0,30.46688622891044,16,35.0,35.19055463073981,24,39.25,27.465469848164787,9,22.0,51.0,7,51.0,0.7,483018,0.0,0.0,21,0,0,7,0,0.0,22,29,20,168.0,27.0,11,9,20,2257,3.129592576995492,37.63995300233364
10,20,0,0,0,10.000000000000002,20,10.0,30.46688622891044,0,,36.06535648779279,22,39.45454545454545,29.48283207484398,24,39.083333333333336,51.0,13,51.0,0.75,481248,0.0,0.0,21,0,0,7,0,0.0,22,29,18,135.0,30.0,10,10,18,2669,2.5941959377378225,40.23414894007146
11,18,0,0,0,10.000000000000002,20,10.0,31.223695616252574,19,34.21052631578947,35.2788657743081,14,29.857142857142854,27.91226297395609,30,21.4,51.00000000000001,14,51.0,0.75,478487,0.0,0.0,24,0,0,8,0,0.0,21,29,18,162.0,27.0,9,9,18,2624,2.725358197465539,42.959507137537
12,18,0,0,0,10.000000000000002,20,10.0,31.692864826454453,12,35.0,33.53672632049231,21,25.285714285714285,28.88930486520468,34,32.882352941176464,51.00000000000001,9,51.0,0.725,477001,0.0,0.0,22,0,0,5,0,0.0,24,29,19,165.0,24.0,10,8,19,2728,2.9121816512197256,45.87168878875672
13,19,0,0,0,10.000000000000002,20,10.0,31.88729661458837,8,34.0,35.03930792412171,28,40.857142857142854,27.566215328347806,37,22.0,51.0,15,51.0,0.75,473817,0.0,0.0,24,0,0,7,0,0.0,20,27,21,150.0,27.0,10,9,21,3195,2.934320773929357,48.80600956268609
14,21,0,0,0,10.000000000000002,20,10.0,32.06818750301128,8,34.0,34.99177638587861,20,34.7,28.112515680005124,38,30.605263157894736,51.00000000000001,10,51.0,0.75,471133,0.0,0.0,21,0,0,6,0,0.0,23,29,19,147.0,36.0,9,12,19,2839,3.278694013133645,52.08470357581973
15,19,0,0,0,10.000000000000002,20,10.0,32.53684665256461,16,35.0,35.52748101305855,6,47.0,28.77672531726137,33,32.60606060606061,51.00000000000001,10,51.0,0.725,469253,0.0,0.0,22,0,0,6,0,0.0,23,29,19,165.0,27.0,10,9,19,2628,2.7046503331512213,54.78935390897096
16,19,0,0,0,10.000000000000002,20,10.0,32.656186985751255,8,34.0,34.92060495658983,32,32.625,30.131108677830138,60,34.666666666666664,51.00000000000002,6,51.0,0.75,464776,0.0,0.0,23,0,0,8,0,0.0,20,28,21,162.0,30.0,9,10,21,3902,3.1186722777783866,57.908026186749346
17,21,0,0,0,10.000000000000002,20,10.0,32.850947912797906,8,35.0,35.424821482884056,6,47.0,30.914469859140013,58,34.08620689655173,51.00000000000002,12,51.0,0.75,460868,0.0,0.0,21,0,0,7,0,0.0,20,27,21,132.0,36.0,9,12,21,3351,2.912889141589403,60.820915328338735
18,21,0,0,0,10.000000000000002,20,10.0,32.948071063812286,8,34.0,35.89355684605236,6,46.0,31.31133326110949,27,35.185185185185176,51.00000000000002,12,51.0,0.75,459434,0.0,0.0,20,0,0,11,0,0.0,18,29,18,150.0,33.0,10,11,18,2310,4.267300270497799,65.08821559883654
19,18,0,0,0,10.000000000000002,20,10.0,33.19347820352027,16,34.5,35.32581486100937,22,32.18181818181818,31.91564194501368,24,38.5,51.00000000000002,6,51.0,0.75,458212,0.0,0.0,20,0,0,7,0,0.0,22,29,19,147.0,27.0,9,9,19,2690,3.0006775911897416,68.08889319002628
20,19,0,0,0,10.000000000000002,20,10.0,33.38872900777453,16,34.5,34.95353781153349,82,34.365853658536594,30.773633779633194,29,20.655172413793107,51.00000000000003,12,51.0,0.75,451344,0.0,0.0,26,0,0,6,0,0.0,20,26,21,147.0,30.0,9,10,21,4781,2.759312411770225,70.84820560179651
21,21,0,0,0,10.000000000000002,20,10.0,33.5122481234444,8,35.0,34.95353781153349,0,,29.83020466980216,66,26.15151515151515,51.00000000000003,11,51.0,0.75,445549,0.0,0.0,22,0,0,4,0,0.0,18,22,22,129.0,39.0,8,13,22,2767,2.922088360413909,73.77029396221043
22,22,0,0,0,10.000000000000002,20,10.0,33.747200604012946,24,34.666666666666664,35.6681002603891,12,47.0,29.042642304368414,28,20.857142857142858,51.00000000000002,12,51.0,0.75,443129,0.0,0.0,24,0,0,5,0,0.0,22,27,21,165.0,36.0,10,12,21,2792,2.8479955829679966,76.6182895451784
23,21,0,0,0,10.000000000000002,20,10.0,33.84582353151585,16,34.5,34.96790221995197,16,27.0,30.138564844363607,53,36.07547169811321,51.00000000000002,10,51.0,0.75,440292,0.0,0.0,24,0,0,7,0,0.0,21,28,17,129.0,39.0,8,13,17,3606,2.5473648011684418,79.16565434634686
24,17,0,0,0,10.000000000000002,20,10.0,33.92412803055601,8,35.0,35.695231678793355,12,46.5,31.372544261692575,41,40.58536585365854,51.00000000000002,7,51.0,0.75,438656,0.0,0.0,19,0,0,11,0,0.0,16,27,16,129.0,27.0,8,9,16,3059,2.3338458947837357,81.49950024113059
25,16,0,0,0,10.000000000000002,20,10.0,33.999545076339665,8,35.0,36.37007544022214,12,46.0,32.260510971467795,10,60.0,51.00000000000002,11,51.0,0.75,438164,0.0,0.0,19,0,0,11,0,0.0,16,27,17,129.0,24.0,8,8,17,2193,2.7352239955216646,84.23472423665227
26,17,0,0,0,10.000000000000002,20,10.0,34.13438572143072,16,35.0,36.76522056886896,22,39.72727272727273,31.985203294894614,8,22.0,51.00000000000002,8,51.0,0.75,436963,0.0,0.0,19,0,0,7,0,0.0,17,24,18,144.0,27.0,8,9,18,2218,2.7025637049227957,86.93728794157505
27,18,0,0,0,10.000000000000002,20,10.0,34.12502423130456,8,34.0,35.70816720499078,76,33.368421052631575,32.64517711776893,20,41.5,51.00000000000002,13,51.0,0.75,432472,0.0,0.0,21,0,0,6,0,0.0,17,23,19,111.0,33.0,7,11,19,4501,2.4751325212419037,89.41242046281694
