index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,0,,0.26666666666666666,153336,0.0,0.0,8,0,0,28,0,0.0,273,301,0,0,0,0,0,0,200,0.2427864894270897,0.2427864894270897
1,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,0,,0.3333333333333333,153136,0.0,0.0,8,0,0,2,0,0.0,19,21,0,0,0,0,0,0,200,0.042179390788078315,0.28496588021516805
2,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,0,,0.3333333333333333,152936,0.0,0.0,8,0,0,5,0,0.0,13,18,0,0,0,0,0,0,200,0.039691159501671784,0.3246570397168398
3,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,20,35.0,0.2833333333333333,152466,0.0,0.0,19,0,0,3,0,0.0,14,17,0,0,0,0,0,0,900,0.04360341280698776,0.3682604525238276
4,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,20,35.0,0.3,151984,0.0,0.0,20,0,0,0,0,0.0,18,18,0,0,0,0,0,0,900,0.03847374953329563,0.4067342020571232
5,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,14,35.0,0.3,151619,0.0,0.0,15,0,0,0,0,0.0,20,20,0,0,0,0,0,0,690,0.037392277270555496,0.4441264793276787
6,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,16,35.0,0.25,151224,0.0,0.0,16,0,0,2,0,0.0,17,19,0,0,0,0,0,0,760,0.05760202184319496,0.5017285011708736
7,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,34.99999999999999,16,35.0,0.2833333333333333,150830,0.0,0.0,15,0,0,3,0,0.0,17,20,0,0,0,0,0,0,760,0.05072864703834057,0.5524571482092142
8,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,34.99999999999999,18,35.0,0.3,150373,0.0,0.0,20,0,0,2,0,0.0,17,19,0,0,0,0,0,0,830,0.04266022518277168,0.5951173733919859
9,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,26.0,0,,34.99999999999999,15,35.0,0.3333333333333333,149993,0.0,0.0,17,0,0,1,0,0.0,16,17,0,0,0,0,0,0,725,0.061360089108347886,0.6564774625003338
10,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,26.0,0,,35.0,20,35.0,0.3333333333333333,149486,0.0,0.0,17,0,0,2,0,0.0,16,18,0,0,0,0,0,0,900,0.04093610122799874,0.6974135637283325
11,0,0,0,0,10.000000000000002,20,10.0,18.0,0,,26.0,0,,35.0,17,35.0,0.3333333333333333,149054,0.0,0.0,16,0,0,2,0,0.0,17,19,0,0,0,0,0,0,795,0.04354467242956162,0.7409582361578941
