index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,35.0,0,,48.0,0,,0.31666666666666665,411666,0.0,0.0,13,0,0,191,0,0.0,964,1155,166,0.0,0.0,0,0,166,200,16.943825161084533,16.943825161084533
1,166,0,0,0,10.0,20,10.0,20.339622641509433,8,11.0,28.422535211267604,26,17.03846153846154,48.0,0,,0.45,409964,0.0,0.0,18,0,0,21,0,0.0,100,121,100,1764.0,444.0,98,68,100,731,9.011735869571568,25.9555610306561
2,100,0,0,0,10.0,20,10.0,19.14183123877917,8,12.0,24.943556975505853,30,17.533333333333335,48.0,0,,0.5666666666666667,407923,0.0,0.0,16,0,0,16,0,0.0,40,56,48,516.0,277.0,32,68,48,822,3.095705995336175,29.051267025992274
3,48,0,0,0,10.0,20,10.0,19.14183123877917,0,,23.46931269634511,46,20.76086956521739,48.0,20,48.0,0.5,405806,0.0,0.0,26,0,0,11,0,0.0,34,45,43,344.0,162.0,23,25,43,2115,3.302215375006199,32.353482400998466
4,43,0,0,0,10.0,20,10.0,23.304643261608163,47,27.74468085106383,23.01403019959197,34,21.44117647058824,48.0,20,48.0,0.6333333333333333,404010,0.0,0.0,32,0,0,10,0,0.0,30,40,39,279.0,115.0,18,25,39,3193,2.803673418238759,35.15715581923723
5,39,0,0,0,10.0,20,10.0,23.304643261608163,0,,22.234356182613197,78,20.871794871794872,48.00000000000001,20,48.0,0.6666666666666666,398086,0.0,0.0,31,0,0,7,0,0.0,27,34,31,255.0,117.0,15,24,31,2788,2.193113496527076,37.350269315764315
6,31,0,0,0,10.0,20,10.0,25.05298079823062,22,32.0,21.757034954209814,45,19.711111111111116,48.00000000000001,20,48.0,0.5,394861,0.0,0.0,32,0,0,7,0,0.0,31,38,29,270.0,62.0,15,16,29,2751,3.3716467283666134,40.72191604413092
7,29,0,0,0,10.0,20,10.0,27.93940398649363,103,30.69902912621359,22.582734307562685,45,26.511111111111113,48.00000000000001,20,48.0,0.6666666666666666,389067,0.0,0.0,34,0,0,7,0,0.0,24,31,27,183.0,83.0,11,18,27,5515,1.6735521517693996,42.39546819590032
8,27,0,0,0,10.0,20,10.0,29.411622039277443,90,32.37777777777778,22.417805488076304,37,21.37837837837838,48.00000000000001,20,48.0,0.6666666666666666,385363,0.0,0.0,32,0,0,5,0,0.0,27,32,25,183.0,93.0,11,16,25,4865,2.3707681223750114,44.766236318275325
9,25,0,0,0,10.000000000000002,20,10.0,30.0242262385863,58,32.60344827586207,22.700317008551927,9,30.33333333333333,48.0,20,48.0,0.6666666666666666,383786,0.0,0.0,31,0,0,7,0,0.0,24,31,23,165.0,75.0,10,15,23,3324,2.0935880094766617,46.859824327752
