index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,42.0,0,,0.15,217646,0.0,0.0,7,0,0,13,0,0.0,144,157,38,0.0,0.0,0,0,38,200,0.17280857637524605,0.17280857637524605
1,38,0,0,0,10.0,20,10.0,19.27659574468085,2,3.0,27.107142857142854,11,15.272727272727273,42.0,0,,0.31666666666666665,216983,0.0,0.0,11,0,0,5,0,0.0,34,39,33,444.0,111.0,26,12,33,374,0.6814482137560844,0.8542567901313305
2,33,0,0,0,10.0,20,10.0,18.94703049759229,20,18.25,26.29044117647059,4,16.0,42.0,0,,0.3666666666666667,216519,0.0,0.0,10,0,0,3,0,0.0,25,28,30,184.0,93.0,15,18,30,629,0.4270131308585405,1.2812699209898708
3,30,0,0,0,10.0,20,10.0,17.805141640740136,5,5.0,25.51321752265861,4,16.0,42.0,20,42.0,0.4,216341,0.0,0.0,15,0,0,2,0,0.0,23,25,29,169.0,82.0,12,18,29,1129,0.4627080373466015,1.7439779583364723
4,29,0,0,0,10.0,20,10.0,18.547891911119017,35,19.714285714285715,23.458097059211397,13,15.923076923076925,42.0,19,42.0,0.5,215435,0.0,0.0,21,0,0,1,0,0.0,23,24,22,123.0,69.0,10,19,22,1895,0.2623267322778702,2.0063046906143427
5,22,0,0,0,10.0,20,10.0,17.150719295239405,34,13.823529411764708,22.637130843465748,6,15.166666666666664,42.0,12,42.0,0.4833333333333333,214441,0.0,0.0,16,0,0,0,0,0.0,21,21,27,96.0,45.0,7,15,27,1265,0.3189746644347906,2.3252793550491333
6,27,0,0,0,10.0,20,10.0,18.38976988990769,20,24.8,21.60256344880468,9,15.333333333333336,42.0,20,42.0,0.4833333333333333,213820,0.0,0.0,16,0,0,2,0,0.0,20,22,22,84.0,72.0,8,19,22,1674,0.199176661670208,2.5244560167193413
7,22,0,0,0,10.0,20,10.0,21.54352190588914,47,29.0,23.564275028955976,5,46.0,42.0,19,42.0,0.4166666666666667,212242,0.0,0.0,16,0,0,0,0,0.0,18,18,20,72.0,69.0,4,18,20,2591,0.15327567234635353,2.677731689065695
8,20,0,0,0,10.0,20,10.0,21.85900042320606,56,22.660714285714285,32.88212197805423,38,46.60526315789475,42.0,9,42.0,0.5,210712,0.0,0.0,16,0,0,0,0,0.0,18,18,19,86.0,75.0,5,15,19,3618,0.2580121774226427,2.935743866488337
9,19,0,0,0,10.000000000000002,20,10.0,22.997224672160286,54,26.759259259259263,31.611418204724327,58,29.75862068965517,42.0,20,42.0,0.5,206739,0.0,0.0,20,0,0,0,0,0.0,19,19,15,93.0,54.0,6,13,15,4211,0.2589611876755953,3.1947050541639332
10,15,0,0,0,10.000000000000002,20,10.0,23.760469934039925,53,26.77358490566038,32.52928917725327,76,34.07894736842105,41.99999999999999,15,42.0,0.5,202766,0.0,0.0,19,0,0,0,0,0.0,19,19,18,66.0,27.0,6,9,18,4839,0.2475115638226271,3.44221661798656
11,18,0,0,0,10.000000000000002,20,10.0,23.760469934039925,0,,34.02823748025107,84,37.30952380952381,42.0,14,42.0,0.5,200135,0.0,0.0,15,0,0,0,0,0.0,20,20,20,73.0,51.0,6,12,20,3922,0.3355514034628868,3.777768021449447
12,20,0,0,0,10.000000000000002,20,10.0,24.63171537990967,75,27.37333333333333,33.418527649166286,43,30.0,42.0,14,42.0,0.5,196426,0.0,0.0,21,0,0,0,0,0.0,21,21,24,96.0,66.0,8,12,24,4131,0.2517698314040899,4.0295378528535375
13,24,0,0,0,10.000000000000002,20,10.0,23.118472730735803,47,14.106382978723405,32.844394540277875,72,30.805555555555557,42.00000000000001,16,42.0,0.5,192374,0.0,0.0,19,0,0,0,0,0.0,22,22,26,152.0,98.0,9,15,26,3753,0.34015127271413803,4.369689125567675
14,26,0,0,0,10.000000000000002,20,10.0,23.02989930532484,2,10.0,32.3731235467222,8,15.0,42.00000000000001,16,42.0,0.5,191871,0.0,0.0,14,0,0,1,0,0.0,23,24,29,151.0,108.0,10,16,29,1012,0.919203942641616,5.2888930682092905
15,29,0,0,0,10.000000000000002,20,10.0,23.47108886627291,56,25.57142857142857,33.39066315649151,22,46.0,42.000000000000014,20,42.0,0.5,190726,0.0,0.0,21,0,0,0,0,0.0,24,24,34,159.0,114.0,11,18,34,3484,0.4826656728982925,5.771558741107582
16,34,0,0,0,10.000000000000002,20,10.0,23.66253989537869,61,24.57377049180328,33.62402995545617,5,46.0,42.00000000000001,20,42.0,0.45,188898,0.0,0.0,21,0,0,0,0,0.0,29,29,36,197.0,117.0,15,19,36,2769,0.4610205981880426,6.232579339295626
17,36,0,0,0,10.000000000000002,20,10.0,23.087627102153498,9,2.888888888888889,34.217913065910146,67,36.37313432835821,42.00000000000001,20,42.0,0.4833333333333333,186559,0.0,0.0,19,0,0,1,0,0.0,26,27,40,205.0,141.0,13,23,40,3503,0.5444336123764515,6.777012951672077
18,40,0,0,0,10.000000000000002,20,10.0,23.944297892245025,67,27.686567164179106,33.35065551103427,43,27.72093023255814,42.00000000000001,20,42.0,0.4833333333333333,182434,0.0,0.0,23,0,0,0,0,0.0,30,30,33,229.0,144.0,16,24,33,4087,0.5517941117286682,7.328807063400745
19,33,0,0,0,10.000000000000002,20,10.0,22.62257304800625,109,18.697247706422022,32.75295964358401,11,17.0,42.00000000000001,20,42.0,0.5,177588,0.0,0.0,24,0,0,5,0,0.0,23,28,26,226.0,64.0,16,17,26,3265,0.5299342032521963,7.858741266652943
20,26,0,0,0,10.000000000000002,20,10.0,22.94048628749599,64,24.875,32.60576160389017,46,31.73913043478261,42.00000000000001,20,42.0,0.5,174140,0.0,0.0,23,0,0,2,0,0.0,20,22,28,155.0,42.0,10,16,28,4092,0.3011550847440958,8.159896351397038
21,28,0,0,0,10.000000000000002,20,10.0,23.965983939140674,103,28.029126213592228,32.88537909987901,50,34.48,42.00000000000001,20,42.0,0.5,167540,0.0,0.0,26,0,0,0,0,0.0,23,23,23,123.0,72.0,9,19,23,5651,0.3142259195446968,8.474122270941733
22,23,0,0,0,10.000000000000002,20,10.0,24.518436461549577,129,26.488372093023248,31.58373732230729,73,26.2054794520548,42.00000000000001,20,42.0,0.5,155984,0.0,0.0,29,0,0,0,0,0.0,18,18,27,69.0,84.0,5,18,27,6370,0.2495580092072487,8.723680280148983
