index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
235,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
141,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
122,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
490,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
569,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
28,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
331,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
177,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
113,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
270,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
374,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
868,T35,T35,1,1,14,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
866,T35,T35,1,7,15,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
882,T35,T35,1,7,15,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
46,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
70,OTHER,T35,1,5,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
890,T35,T35,1,1,14,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
465,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
880,T35,T35,1,7,15,1,-1,1,03T35@1,05T35@2,18,1,-1,-1,2
584,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
81,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
924,T35,T35,1,11,13,-1,-1,1,03T35@1,05T35@2,18,-1,-1,-1,2
367,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
435,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
920,T35,T35,1,11,13,-1,-1,1,03T35@1,05T35@2,18,-1,-1,-1,2
39,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
260,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
909,T35,T07,1,5,9,-1,-1,1,00T35@0,02T07@1,18,-1,-1,-1,1
919,T35,T07,1,5,9,-1,-1,1,00T35@0,02T07@1,18,-1,-1,-1,1
878,T35,T35,2,8,15,1,-1,1,03T35@1,05T35@2,18,2,-1,-1,2
965,T35,T35,2,32,10,-1,-1,2,00T35@0,03T35@1,18,-1,-1,-1,1
975,T35,T35,2,33,10,-1,-1,2,00T35@0,03T35@1,18,-1,-1,-1,1
875,T35,T07,2,5,9,1,-1,1,00T35@0,02T07@1,18,2,-1,-1,1
873,T35,T35,2,6,15,1,-1,1,03T35@1,05T35@2,18,2,-1,-1,2
962,T22,T35,2,21,18,-1,-1,2,01T22@0,03T35@1,2,-1,-1,-1,1
853,T22,T07,2,5,9,1,-1,1,01T22@0,02T07@1,18,2,-1,-1,1
97,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
977,T35,T07,2,5,9,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
430,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
964,T35,T07,2,5,10,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
939,T35,T35,2,10,9,2,-1,2,00T35@0,03T35@1,18,2,-1,-1,1
436,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
611,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
238,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
533,OTHER,T35,2,2,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
192,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
473,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
458,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
568,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
558,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
372,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
967,T35,T07,3,5,9,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
250,OTHER,T35,3,3,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
598,T35,OTHER,3,2,40,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
82,T35,OTHER,3,1,40,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
981,T35,T35,3,8,9,3,-1,3,00T35@0,03T35@1,18,3,-1,-1,1
917,T35,T07,3,5,9,-1,-1,1,00T35@0,02T07@1,18,-1,-1,-1,1
74,T35,OTHER,3,2,40,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
136,OTHER,T35,3,3,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
532,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
891,T35,T35,3,8,13,1,-1,1,03T35@1,05T35@2,18,3,-1,-1,2
408,OTHER,T22,3,3,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
898,T35,T35,3,1,14,1,-1,1,03T35@1,05T35@2,18,3,-1,-1,2
73,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
519,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
974,T35,T07,3,5,9,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
279,T35,OTHER,3,2,40,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
301,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
100,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
831,T06,OTHER,3,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
841,T06,OTHER,3,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
522,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
274,T35,OTHER,3,1,40,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
931,T35,T06,3,2,27,2,-1,2,03T35@1,04T06@2,12,3,-1,-1,2
859,T35,T07,3,5,9,1,-1,1,00T35@0,02T07@1,18,3,-1,-1,1
808,T06,OTHER,3,1,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
676,T06,OTHER,3,1,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
923,T22,T07,3,5,10,-1,-1,1,01T22@0,02T07@1,18,-1,-1,-1,1
800,T06,OTHER,3,3,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
1010,T35,T07,3,1,10,-1,-1,3,00T35@0,02T07@1,18,-1,-1,-1,1
61,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
1017,T35,T07,3,1,9,-1,-1,3,00T35@0,02T07@1,19,-1,-1,-1,1
776,T06,OTHER,3,3,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
261,OTHER,T22,4,1,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
922,T35,T07,4,5,9,-1,-1,1,00T35@0,02T07@1,18,-1,-1,-1,1
272,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
304,T35,OTHER,4,1,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
597,OTHER,T35,4,1,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
907,T35,T07,4,5,9,-1,-1,1,00T35@0,02T07@1,18,-1,-1,-1,1
883,T35,T06,4,10,27,1,-1,1,03T35@1,04T06@2,9,4,-1,-1,2
462,OTHER,T22,4,3,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
879,T35,T35,4,10,13,1,-1,1,03T35@1,05T35@2,18,4,-1,-1,2
149,T35,OTHER,4,1,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
607,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
153,OTHER,T35,4,2,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
650,T06,OTHER,4,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
860,T35,T35,4,12,13,1,-1,1,03T35@1,05T35@2,18,4,-1,-1,2
855,T22,T35,4,15,26,1,-1,1,01T22@0,03T35@1,18,4,-1,-1,1
109,T35,OTHER,4,3,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
345,T35,OTHER,4,2,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
718,T06,OTHER,4,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
825,T06,OTHER,4,1,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
545,T35,OTHER,4,1,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
851,T35,T35,4,7,13,1,-1,1,03T35@1,05T35@2,18,4,-1,-1,2
337,T35,OTHER,4,1,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
1002,T35,T07,4,1,10,-1,-1,3,00T35@0,02T07@1,18,-1,-1,-1,1
1004,T22,T35,4,10,28,-1,-1,3,01T22@0,03T35@1,18,-1,-1,-1,1
17,T35,OTHER,4,2,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
325,OTHER,T35,4,3,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
34,OTHER,T22,4,3,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
1016,T35,T07,4,1,10,-1,-1,3,00T35@0,02T07@1,18,-1,-1,-1,1
982,T35,T07,4,1,9,3,-1,3,00T35@0,02T07@1,19,4,-1,-1,1
1053,T22,T07,4,1,10,-1,-1,4,01T22@0,02T07@1,18,-1,-1,-1,1
67,T35,OTHER,4,4,40,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
377,OTHER,T35,4,1,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
973,T35,T07,4,5,9,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
2,OTHER,T22,4,2,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
1039,T35,T35,4,6,15,4,-1,4,03T35@1,05T35@2,18,4,-1,-1,2
961,T35,T07,4,5,9,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
1055,T35,T07,4,1,10,-1,-1,4,00T35@0,02T07@1,18,-1,-1,-1,1
1051,T35,T07,4,1,9,-1,-1,4,00T35@0,02T07@1,19,-1,-1,-1,1
1099,T35,T07,5,1,10,-1,-1,5,00T35@0,02T07@1,19,-1,-1,-1,1
299,OTHER,T22,5,2,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
446,OTHER,T22,5,2,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
302,OTHER,T35,5,2,10,0,-1,-1,SELLER,00T35@0,0,5,-1,-1,0
182,OTHER,T22,5,2,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
590,T35,OTHER,5,2,40,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
647,T06,OTHER,5,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
1091,T35,T07,5,1,10,-1,-1,5,00T35@0,02T07@1,18,-1,-1,-1,1
174,T35,OTHER,5,2,40,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
160,OTHER,T35,5,3,10,0,-1,-1,SELLER,00T35@0,0,5,-1,-1,0
53,OTHER,T22,5,2,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
329,T35,OTHER,5,1,40,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
780,T06,OTHER,5,3,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
1023,T22,T07,5,1,9,4,-1,4,01T22@0,02T07@1,19,5,-1,-1,1
1050,T35,T07,5,1,10,-1,-1,4,00T35@0,02T07@1,18,-1,-1,-1,1
170,OTHER,T22,5,1,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
229,OTHER,T35,5,1,10,0,-1,-1,SELLER,00T35@0,0,5,-1,-1,0
619,T06,OTHER,5,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
631,T06,OTHER,5,1,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
382,T35,OTHER,5,1,40,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
1092,T35,T07,5,1,10,-1,-1,5,00T35@0,02T07@1,19,-1,-1,-1,1
797,T06,OTHER,5,2,40,-1,-1,-1,04T06@2,BUYER,0,-1,-1,-1,3
3,OTHER,T35,5,1,10,0,-1,-1,SELLER,00T35@0,0,5,-1,-1,0
916,T22,T35,5,10,26,-1,-1,1,01T22@0,03T35@1,18,-1,-1,-1,1
913,T22,T07,5,16,26,-1,-1,1,01T22@0,02T07@1,18,-1,-1,-1,1
910,T22,T35,5,13,28,-1,-1,1,01T22@0,03T35@1,18,-1,-1,-1,1
903,T35,T35,5,9,15,1,-1,1,03T35@1,05T35@2,18,5,-1,-1,2
1105,T22,T35,5,96,18,-1,-1,5,01T22@0,03T35@1,2,-1,-1,-1,1
970,T35,T07,5,5,9,-1,-1,2,00T35@0,02T07@1,18,-1,-1,-1,1
