index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,28.0,0,,39.0,0,,52.0,0,,0.2125,30694,0.0,0.0,12,0,0,13,0,0.0,55,68,53,0.0,0.0,0,0,53,200,7.559847606346011,7.559847606346011
1,53,0,0,0,10.0,20,10.0,22.0,0,,28.0,0,,31.857142857142854,25,19.0,52.0,0,,0.225,28870,0.0,0.0,14,0,0,17,0,0.0,39,56,31,384.0,102.0,33,20,31,675,8.803348559886217,16.363196166232232
2,31,0,0,0,10.0,20,10.0,22.0,0,,28.0,0,,31.857142857142854,0,,52.0,0,,0.25,28670,0.0,0.0,12,0,0,11,0,0.0,14,25,28,105.0,63.0,15,16,28,200,7.633958706632256,23.997154872864485
3,28,0,0,0,10.0,8,10.0,27.057471264367813,42,32.476190476190474,28.0,0,,31.857142857142854,0,,52.0,0,,0.2625,28408,0.0,0.0,7,0,0,11,0,0.0,13,24,24,69.0,52.0,13,15,24,1444,8.336656479164956,32.33381135202944
4,24,0,0,0,10.0,9,10.0,27.923009623797025,36,29.805555555555557,28.0,0,,31.857142857142854,0,,52.0,20,52.0,0.25,27034,0.0,0.0,22,0,0,10,0,0.0,13,23,21,55.0,40.0,12,12,21,2203,8.137877317145469,40.4716886691749
5,21,0,0,0,10.0,20,10.0,29.033447207436247,23,34.0,28.0,0,,31.857142857142854,0,,52.0,20,52.0,0.275,25682,0.0,0.0,25,0,0,9,0,0.0,9,18,19,27.0,36.0,9,12,19,2022,6.726974584162235,47.198663253337145
6,19,0,0,0,10.0,0,,29.033447207436247,0,,29.86666666666667,30,32.666666666666664,31.857142857142854,0,,52.0,20,52.0,0.1875,25111,0.0,0.0,12,0,0,8,0,0.0,0,8,17,24.0,35.0,8,11,17,2020,2.7630722150206566,49.9617354683578
7,17,0,0,0,10.0,0,,29.068155368690014,1,33.0,31.66896551724138,5,56.0,31.857142857142854,0,,52.0,20,52.0,0.1875,24547,0.0,0.0,13,0,0,7,0,0.0,0,7,10,21.0,32.0,7,10,10,1353,2.047626119107008,52.00936158746481
8,10,0,0,0,10.0,0,,29.106014460587726,1,33.0,33.40071174377224,5,56.0,31.857142857142854,0,,52.0,20,52.0,0.1875,23974,0.0,0.0,13,0,0,4,0,0.0,0,4,6,12.0,18.0,4,6,6,1353,0.9189676716923714,52.92832925915718
9,6,0,0,0,10.0,0,,29.265818145890762,4,33.0,33.40071174377224,0,,31.857142857142854,0,,52.0,20,52.0,0.125,23594,0.0,0.0,13,0,0,3,0,0.0,0,3,0,9.0,10.0,3,3,0,1172,0.022221677005290985,52.95055093616247
