index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,24.0,0,,35.0,0,,54.0,0,,0.2375,189428,0.0,0.0,11,0,0,212,0,0.0,329,541,112,0.0,0.0,0,0,112,200,3.8978180959820743,3.8978180959820743
1,112,0,0,0,10.0,20,10.0,15.0,0,,18.323076923076922,20,5.55,33.13333333333333,30,30.33333333333333,54.0,0,,0.3375,186687,0.0,0.0,21,0,0,21,0,0.0,75,96,43,1082.0,179.0,74,38,43,1221,1.9074261561036108,5.805244252085687
2,43,0,0,0,10.0,20,10.0,15.0,0,,16.03694267515924,20,9.35,33.327044025157235,12,34.416666666666664,54.0,0,,0.375,185248,0.0,0.0,19,0,0,7,0,0.0,45,52,43,495.0,58.0,33,10,43,800,1.3494345732033253,7.154678825289012
3,43,0,0,0,10.0,20,10.0,15.93846153846154,20,18.05,11.547449635662241,46,4.6521739130434785,33.201039861351816,15,32.6,54.0,0,,0.3875,182290,0.0,0.0,23,0,0,3,0,0.0,46,49,34,469.0,52.0,31,12,34,1264,1.209208840504289,8.3638876657933
4,34,0,0,0,10.0,20,10.0,15.907438016528927,2,15.0,11.281987355788118,35,10.485714285714286,32.637943245667884,28,31.07142857142857,54.0,7,54.0,0.425,179086,0.0,0.0,31,0,0,4,0,0.0,42,46,35,352.0,53.0,24,10,35,1845,1.1269777212291956,9.490865387022497
5,35,0,0,0,10.0,20,10.0,17.95334517465956,30,21.66666666666667,10.56000464832924,16,4.875,32.38852873453565,20,31.2,54.0,10,54.0,0.45,177068,0.0,0.0,32,0,0,2,0,0.0,46,48,30,398.0,39.0,26,9,30,2092,1.1988965515047312,10.689761938527226
6,30,0,0,0,10.0,20,10.0,19.123379661483416,33,21.818181818181817,10.565417184159587,20,10.6,32.973975512700264,29,35.068965517241374,54.00000000000001,10,54.0,0.475,174284,0.0,0.0,38,0,0,6,0,0.0,36,42,31,304.0,53.0,20,10,31,2689,0.9453666228801012,11.635128561407328
7,31,0,0,0,10.0,20,10.0,20.71381991192052,63,23.190476190476193,10.827734725923174,40,11.7,36.04851080957385,33,47.18181818181818,54.0,13,54.0,0.3625,169965,0.0,0.0,37,0,0,1,0,0.0,40,41,36,312.0,72.0,20,11,36,4388,1.806403774768114,13.441532336175444
8,36,0,0,0,10.0,20,10.0,21.269267652012967,50,22.88,10.284041816261684,34,7.794117647058822,36.765427461538856,23,41.04347826086956,54.00000000000002,10,54.0,0.45,167118,0.0,0.0,36,0,0,5,0,0.0,43,48,31,356.0,64.0,25,11,31,3093,1.10223576053977,14.543768096715212
9,31,0,0,0,10.000000000000002,20,10.0,21.478349843679094,32,22.625,9.549639469379308,28,5.071428571428571,36.42540880072772,33,34.93939393939394,54.0,9,54.0,0.425,163729,0.0,0.0,29,0,0,10,0,0.0,32,42,27,333.0,45.0,21,10,27,2705,0.9079062137752772,15.451674310490489
10,27,0,0,0,10.000000000000002,20,10.0,22.6032089426137,43,27.488372093023248,9.611898883857734,39,9.8974358974359,36.40276891933878,4,35.5,54.0,8,54.0,0.425,161360,0.0,0.0,28,0,0,2,0,0.0,34,36,25,302.0,35.0,19,8,25,2342,0.9138407334685326,16.365515043959018
11,25,0,0,0,10.000000000000002,20,10.0,23.737309560068034,59,27.71186440677966,9.441720210362098,28,8.25,37.280943874146814,17,44.88235294117647,54.00000000000001,12,54.0,0.475,158102,0.0,0.0,34,0,0,2,0,0.0,37,39,27,250.0,38.0,16,9,27,3477,0.8768277633935213,17.242342807352546
12,27,0,0,0,10.000000000000002,20,10.0,24.05412732192817,41,25.902439024390244,8.520175955412219,42,4.095238095238095,37.345634797209506,36,37.611111111111114,54.0,4,54.0,0.425,153894,0.0,0.0,32,0,0,2,0,0.0,38,40,27,283.0,38.0,18,9,27,3004,0.8984518777579069,18.14079468511045
13,27,0,0,0,10.000000000000002,20,10.0,24.029204147482055,44,23.88636363636364,8.577738739976716,37,8.91891891891892,36.92052070392233,34,34.85294117647059,53.99999999999999,10,54.0,0.5,149593,0.0,0.0,36,0,0,7,0,0.0,32,39,25,272.0,28.0,18,9,25,3306,0.8211814928799868,18.96197617799044
14,25,0,0,0,10.000000000000002,20,10.0,24.470038561352357,67,26.22388059701493,8.66469787077085,30,9.333333333333334,37.32999483173032,41,39.121951219512205,53.99999999999999,12,54.0,0.5,144966,0.0,0.0,38,0,0,3,0,0.0,36,39,31,246.0,46.0,16,9,31,4489,0.8015708848834038,19.76354706287384
15,31,0,0,0,10.000000000000002,20,10.0,25.161546956116787,83,27.662650602409638,8.774680797761459,8,12.0,36.974656608975295,20,33.45,53.99999999999999,15,54.0,0.4375,140608,0.0,0.0,33,0,0,2,0,0.0,43,45,26,368.0,24.0,23,8,26,4071,0.8040350917726755,20.56758215464652
16,26,0,0,0,10.000000000000002,20,10.0,25.41903108558493,84,26.476190476190478,8.722503864595428,13,7.846153846153847,37.72996167820613,35,41.97142857142857,53.99999999999999,9,54.0,0.5,135796,0.0,0.0,39,0,0,2,0,0.0,38,40,25,279.0,24.0,18,8,25,4481,0.7362641450017691,21.303846299648285
17,25,0,0,0,10.000000000000002,20,10.0,25.30851185496914,54,24.51851851851852,8.844493878891155,9,11.666666666666664,37.31062014970015,27,34.074074074074076,53.99999999999999,11,54.0,0.4875,132725,0.0,0.0,31,0,0,2,0,0.0,34,36,22,270.0,24.0,17,8,22,3143,0.6679263133555651,21.97177261300385
18,22,0,0,0,10.000000000000002,9,10.0,25.425727243937732,46,26.43478260869565,8.731279299057995,33,8.06060606060606,36.97749763185821,19,33.263157894736835,53.99999999999999,11,54.0,0.45,128042,0.0,0.0,26,0,0,3,3,3.9634441707717567,31,34,25,221.0,37.0,13,9,25,2022,0.628499623388052,22.600272236391906
19,25,0,0,1,10.000000000000002,6,10.0,25.274128868434893,23,22.65217391304348,8.812727815429614,4,13.0,36.69505809142615,24,34.25,53.99999999999999,12,54.0,0.325,129095,0.0,0.1,19,0,0,1,5,472.3314870952801,39,40,21,266.0,24.0,17,8,21,2044,1.1481168139725924,23.74838905036449
20,21,0,0,0,10.000000000000002,0,,25.209939837820784,11,23.0,8.92082764200626,5,13.0,36.626710107104685,77,36.441558441558435,53.99999999999999,7,54.0,0.225,122184,0.0,0.1,20,0,0,2,4,147.09285714285716,31,33,20,224.0,24.0,13,8,20,3502,0.7249025478959084,24.473291598260406
21,20,0,0,0,10.000000000000002,0,,25.14867911542867,10,23.0,9.05656736781216,6,13.0,36.21749850885779,56,34.339285714285715,53.99999999999999,12,54.0,0.25,118024,0.0,0.1,21,0,0,2,4,419.507342410144,34,36,20,204.0,24.0,12,8,20,2879,0.522723751142621,24.996015349403024
22,20,0,0,0,10.000000000000002,0,,24.994985050560594,20,22.5,9.05656736781216,0,,36.017483740318696,20,33.2,53.99999999999999,10,54.0,0.0875,116494,0.0,0.1,14,0,0,5,3,766.1619047619048,27,32,18,220.0,21.0,13,7,18,1654,0.5781162921339273,25.57413164153695
23,18,0,0,0,10.000000000000002,0,,24.944828626005613,8,23.0,9.341391008955863,14,12.642857142857142,35.381877422911636,33,30.15151515151515,53.99999999999999,12,54.0,0.25,113715,0.0,0.1,19,0,0,3,3,285.07385057471265,30,33,17,202.0,18.0,12,6,17,2004,0.5410343129187822,26.11516595445573
24,17,0,0,0,10.000000000000002,0,,24.843677648845194,13,22.615384615384613,9.528678899463113,10,12.5,35.36395813417937,8,34.75,53.99999999999999,9,54.0,0.25,112693,0.0,0.1,12,0,0,5,2,251.4530651340996,29,34,18,205.0,15.0,12,5,18,1183,0.5752476863563061,26.69041364081204
25,18,0,0,0,10.000000000000002,0,,24.653312307197794,28,22.82142857142857,9.639382170340776,5,13.0,35.757591230284966,8,48.25,53.99999999999999,13,54.0,0.1375,111768,0.0,0.1,15,0,0,5,1,90.43303571428572,30,35,17,193.0,18.0,12,6,17,1792,0.781272403895855,27.47168604470789
26,17,0,0,0,10.000000000000002,0,,24.548242378089398,13,22.384615384615387,9.937077693982099,16,12.5625,36.593185368379814,22,45.54545454545455,53.99999999999998,12,54.0,0.25,110192,0.0,0.1,19,0,0,7,1,716.4642857142858,26,33,17,174.0,18.0,11,6,17,2142,0.5122557040303946,27.98394174873829
27,17,0,0,0,10.0,20,10.0,24.472470832072982,13,23.0,9.937077693982099,0,,37.09303316346343,33,40.60606060606061,53.99999999999999,7,54.0,0.2875,108428,0.0,0.1,24,0,0,4,1,239.48809523809524,28,32,17,197.0,18.0,11,6,17,2217,0.5253421757370234,28.50928392447531
28,17,0,0,0,10.0,20,10.0,24.37320131340004,10,22.0,10.021342089630934,4,13.0,36.431372206044436,18,27.66666666666667,53.99999999999999,20,54.0,0.3375,107560,0.0,0.1,27,0,0,1,2,168.94166666666666,22,23,16,195.0,18.0,11,6,16,2050,0.525030666962266,29.034314591437575
29,16,0,0,0,10.0,20,10.0,24.05995079717029,37,22.16216216216216,10.151931312774634,6,13.0,36.39853143836214,14,35.857142857142854,53.99999999999999,20,54.0,0.4125,102534,0.0,0.1,24,0,0,1,3,14.644547481504006,20,21,17,172.0,18.0,10,6,17,1860,0.5246511604636908,29.55896575190127
30,17,0,0,0,10.0,20,10.0,23.967855587998987,11,22.0,10.348164734540498,11,12.545454545454545,37.85507985534796,20,53.9,53.99999999999999,20,54.0,0.3625,94818,0.0,0.1,32,0,0,1,1,22.772727272727273,19,20,16,186.0,18.0,11,6,16,2496,0.494623688980937,30.05358944088221
31,16,0,0,1,10.000000000000002,20,10.0,23.967855587998987,0,,10.348164734540498,0,,38.11426583495815,17,41.411764705882355,53.99999999999999,20,54.0,0.375,106749,0.0,0.2,31,0,0,5,5,165.38152173913045,15,20,13,172.0,18.0,10,6,13,1984,0.4362350199371576,30.489824460819364
32,13,0,0,0,10.000000000000002,20,10.0,23.967855587998987,0,,10.348164734540498,0,,37.75546453902278,15,32.73333333333333,53.99999999999999,12,54.0,0.35,105701,0.0,0.2,23,0,0,1,4,187.85133634481465,6,7,13,118.0,18.0,7,6,13,1339,0.4231520760804415,30.912976536899805
33,13,0,0,0,10.0,20,10.0,23.967855587998987,0,,10.348164734540498,0,,37.63858643014826,12,35.666666666666664,53.99999999999999,20,54.0,0.375,105317,0.0,0.2,27,0,0,1,3,116.37834671722142,6,7,13,119.0,18.0,7,6,13,1708,0.4060017429292202,31.318978279829025
34,13,0,0,0,10.0,20,10.0,23.967855587998987,0,,10.348164734540498,0,,37.769654869410076,23,38.869565217391305,53.99999999999999,20,54.0,0.375,104725,0.0,0.2,30,0,0,1,1,92.0096618357488,6,7,13,116.0,18.0,7,6,13,2174,0.4108871649950743,31.7298654448241
35,13,0,0,0,10.0,20,10.0,23.967855587998987,0,,10.348164734540498,0,,37.99165075276311,19,40.26315789473684,53.99999999999999,8,54.0,0.35,103673,0.0,0.2,20,0,0,1,3,260.51597496706194,6,7,13,120.0,18.0,7,6,13,1397,0.3984567243605852,32.128322169184685
36,13,0,0,0,10.0,20,10.0,23.967855587998987,0,,10.348164734540498,0,,37.872027001620616,8,35.0,53.99999999999999,20,54.0,0.35,103348,0.0,0.2,21,0,0,1,2,155.2685441370224,6,7,13,114.0,18.0,7,6,13,1560,0.4117427412420511,32.540064910426736
