index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
405,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
623,OTHER,T35,0,2,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
625,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
366,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
320,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
203,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
476,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
109,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
301,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
82,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
822,T35,T22,1,1,12,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
777,T35,T22,1,1,12,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
780,T35,T22,1,1,12,1,-1,1,00T35@0,03T22@1,17,1,-1,-1,1
175,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
869,T22,T22,1,5,17,-1,-1,1,03T22@1,04T22@2,17,-1,-1,-1,2
873,T22,T22,1,4,46,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
862,T22,T22,1,5,17,-1,-1,1,02T22@1,05T22@2,17,-1,-1,-1,2
285,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
786,T35,T22,1,1,12,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
815,T35,T22,1,1,12,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
814,T35,T22,1,1,12,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
811,T35,T22,1,1,12,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
414,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
809,T35,T22,1,1,12,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
793,T35,T22,1,1,12,1,-1,1,01T35@0,03T22@1,17,1,-1,-1,1
808,T35,T22,1,1,12,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
842,T22,T22,1,1,16,1,-1,1,02T22@1,05T22@2,17,1,-1,-1,2
249,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
616,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
361,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
620,OTHER,T35,1,1,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
841,T35,T22,1,1,12,1,-1,1,00T35@0,02T22@1,17,1,-1,-1,1
847,T22,T22,1,5,17,-1,-1,1,03T22@1,05T22@2,17,-1,-1,-1,2
318,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
146,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
834,T35,T22,1,1,12,1,-1,1,01T35@0,02T22@1,17,1,-1,-1,1
