index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,19.0,0,,26.0,0,,39.0,0,,49.0,0,,0.125,507422,0.0,0.0,6,0,0,242,0,0.0,695,937,202,0.0,0.0,0,0,202,130,28.05654816515744,28.05654816515744
1,202,0,0,0,10.0,18,10.0,19.0,0,,26.0,0,,33.308510638297875,143,31.51748251748252,49.0,0,,0.2125,491415,0.0,0.0,38,0,0,8,0,0.0,211,219,137,2660.0,41.0,197,5,137,4687,21.519602552056316,49.57615071721376
2,137,0,0,0,10.0,12,10.0,19.0,0,,16.064935064935064,32,2.09375,33.63748894783378,57,34.61403508771929,49.0,0,,0.1625,486060,0.0,0.0,25,0,0,16,0,0.0,138,154,83,1824.0,9.0,134,3,83,2160,8.636682933196424,58.212833650410175
3,83,0,0,0,10.0,15,10.0,19.0,0,,9.968935888962326,82,4.817073170731708,34.270013461081646,49,36.89795918367348,49.0,0,,0.225,478366,0.0,0.0,21,0,0,8,0,0.0,34,42,37,223.0,192.0,19,64,37,2353,12.196340596303346,70.40917424671352
4,37,0,0,0,10.0,16,10.0,22.142857142857146,11,35.0,7.715094051078147,60,2.6,34.23532747377375,76,34.131578947368425,49.0,20,49.0,0.1875,469016,0.0,0.0,37,0,0,11,0,0.0,36,47,44,326.0,42.0,25,12,44,4275,9.278909323737023,79.68808357045054
5,44,0,0,0,10.0,11,10.0,22.97752808988764,3,37.0,6.268911125097943,57,1.7894736842105263,33.71890646316947,57,31.24561403508772,49.0,20,49.0,0.125,462246,0.0,0.0,31,0,0,5,0,0.0,36,41,44,287.0,70.0,23,21,44,3084,9.660497806966305,89.34858137741683
6,44,0,0,0,9.999999999999998,10,10.0,25.12369172216936,15,32.0,4.741568533712409,232,3.3577586206896552,34.22011922363615,37,38.24324324324324,49.0,20,49.0,0.125,436009,0.0,0.0,42,0,0,9,0,0.0,36,45,32,338.0,64.0,25,19,32,3754,10.475763451308012,99.82434482872486
7,32,0,0,0,9.999999999999998,10,10.0,28.91646966115051,27,36.888888888888886,4.6765188520518475,124,4.467741935483871,34.37517384226933,97,34.855670103092784,49.00000000000001,20,49.0,0.125,419737,0.0,0.0,43,0,0,8,0,0.0,32,40,32,294.0,27.0,23,9,32,6011,11.641016429290175,111.46536125801504
8,32,0,0,0,9.999999999999998,6,10.0,31.175294446300303,27,37.481481481481474,4.706264684892965,68,4.911764705882354,34.130774251304544,57,32.59649122807018,49.00000000000001,20,49.0,0.1,412094,0.0,0.0,35,0,0,10,0,0.0,33,43,33,262.0,45.0,21,11,33,4244,11.028641242533922,122.49400250054896
9,33,0,0,0,9.999999999999998,11,10.0,32.01842593334075,17,36.588235294117645,4.454287584762977,165,3.7151515151515153,34.35497631893055,29,37.24137931034483,49.00000000000001,20,49.0,0.125,389377,0.0,0.0,37,0,0,7,0,0.0,37,44,31,297.0,40.0,23,10,31,3405,12.590323001146315,135.0843255016953
10,31,0,0,0,9.999999999999998,9,10.0,32.15591734070222,16,33.0,4.511964051863719,26,5.807692307692308,34.385080645990655,47,34.61702127659574,49.0,20,49.0,0.125,384811,0.0,0.0,30,0,0,7,0,0.0,38,45,30,295.0,40.0,23,8,30,3376,13.873225525021553,148.95755102671686
11,30,0,0,0,9.999999999999998,11,10.0,32.15591734070222,0,,4.281570952244041,119,3.2184873949579837,34.36848842275411,60,34.266666666666666,49.0,20,49.0,0.125,372640,0.0,0.0,39,0,0,6,0,0.0,39,45,25,312.0,18.0,24,6,25,3529,13.53036947362125,162.4879205003381
12,25,0,0,0,9.999999999999998,11,10.0,32.61666489649327,14,36.0,4.3296729525785045,70,4.742857142857143,34.419143073153194,25,35.2,49.00000000000001,20,49.0,0.125,367842,0.0,0.0,27,0,0,4,0,0.0,34,38,22,276.0,15.0,20,5,22,2806,13.766277657821774,176.25419815815982
13,22,0,0,0,9.999999999999998,10,10.0,33.20227404227544,17,36.8235294117647,4.305372167112399,71,4.098591549295775,34.79984940945804,78,36.6025641025641,49.00000000000002,20,49.0,0.125,358068,0.0,0.0,36,0,0,6,0,0.0,35,41,24,233.0,12.0,18,4,24,4852,15.234971722587945,191.4891698807478
14,24,0,0,0,9.999999999999998,8,10.0,33.51030230151847,14,35.92857142857143,4.264460830540167,94,4.0,34.631136071130484,49,33.244897959183675,49.00000000000001,20,49.0,0.125,348800,0.0,0.0,36,0,0,5,0,0.0,36,41,25,268.0,12.0,20,4,25,3568,15.25188142247498,206.7410513032228
15,25,0,0,0,9.999999999999998,10,10.0,33.41411320761037,9,32.22222222222222,4.200456863038136,37,3.108108108108108,34.605881558434504,45,34.37777777777778,49.00000000000001,20,49.0,0.125,341935,0.0,0.0,31,0,0,4,1,93.44444444444444,35,39,25,270.0,15.0,20,5,25,3014,16.263259906321768,223.0043112095445
