index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
49,OTHER,T35,0,5,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
36,OTHER,T22,0,5,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
69,OTHER,T22,0,6,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
276,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
30,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
339,T35,T09,1,36,10,-1,-1,1,01T35@0,02T09@1,17,-1,-1,-1,1
340,T35,T09,1,59,9,-1,-1,1,01T35@0,02T09@1,16,-1,-1,-1,1
336,T35,T09,1,30,10,-1,-1,1,01T35@0,02T09@1,17,-1,-1,-1,1
51,OTHER,T35,1,4,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
211,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
43,OTHER,T22,1,1,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
346,T35,T09,1,50,10,-1,-1,1,01T35@0,02T09@1,16,-1,-1,-1,1
327,T35,T41,1,7,10,1,-1,1,01T35@0,03T41@1,17,1,-1,-1,1
162,OTHER,T35,1,7,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
350,T41,T35,1,8,34,-1,-1,1,03T41@1,05T35@2,17,-1,-1,-1,2
198,OTHER,T22,1,6,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
318,T35,T41,1,8,9,1,-1,1,01T35@0,03T41@1,17,1,-1,-1,1
349,T35,T09,1,12,10,-1,-1,1,01T35@0,02T09@1,17,-1,-1,-1,1
344,T41,T35,2,8,34,-1,-1,1,03T41@1,05T35@2,17,-1,-1,-1,2
138,OTHER,T22,2,3,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
337,T41,T35,2,8,34,-1,-1,1,03T41@1,04T35@2,17,-1,-1,-1,2
53,OTHER,T22,2,7,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
136,OTHER,T35,2,5,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
181,OTHER,T35,2,5,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
371,T35,T09,2,59,9,-1,-1,2,01T35@0,02T09@1,16,-1,-1,-1,1
370,T41,T35,2,1,12,-1,-1,2,03T41@1,05T35@2,17,-1,-1,-1,2
223,OTHER,T22,3,6,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
145,T35,OTHER,3,6,32,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
177,OTHER,T22,3,5,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
279,OTHER,T22,3,1,10,0,-1,-1,SELLER,00T22@0,0,3,-1,-1,0
290,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
377,T35,T41,3,10,9,3,-1,3,01T35@0,03T41@1,17,3,-1,-1,1
372,T35,T41,3,9,9,3,-1,3,01T35@0,03T41@1,17,3,-1,-1,1
322,T35,T41,3,8,10,1,-1,1,01T35@0,03T41@1,17,3,-1,-1,1
391,T41,T35,3,278,23,-1,-1,3,03T41@1,05T35@2,2,-1,-1,-1,2
236,T35,OTHER,3,3,32,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
237,T35,OTHER,3,1,32,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
264,OTHER,T35,3,5,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
16,T35,OTHER,3,6,32,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
348,T41,T35,3,8,34,-1,-1,1,03T41@1,05T35@2,17,-1,-1,-1,2
227,T35,OTHER,3,4,32,0,-1,-1,04T35@2,BUYER,0,3,-1,-1,3
345,T22,T09,4,60,8,-1,-1,1,00T22@0,02T09@1,15,-1,-1,-1,1
59,OTHER,T22,4,5,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
341,T41,T35,4,8,34,-1,-1,1,03T41@1,04T35@2,17,-1,-1,-1,2
192,T35,OTHER,4,4,32,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
413,T35,T09,4,59,9,-1,-1,4,01T35@0,02T09@1,16,-1,-1,-1,1
258,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
44,T35,OTHER,4,2,32,0,-1,-1,04T35@2,BUYER,0,4,-1,-1,3
180,OTHER,T22,4,5,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
280,T35,OTHER,4,4,32,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
281,T35,OTHER,4,4,32,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
226,OTHER,T35,4,6,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
252,OTHER,T22,4,2,10,0,-1,-1,SELLER,00T22@0,0,4,-1,-1,0
22,T35,OTHER,4,6,32,0,-1,-1,04T35@2,BUYER,0,4,-1,-1,3
314,T22,T41,4,12,28,1,-1,1,00T22@0,03T41@1,17,4,-1,-1,1
394,T35,T41,4,10,9,4,-1,4,01T35@0,03T41@1,17,4,-1,-1,1
329,T35,T41,4,8,10,1,-1,1,01T35@0,03T41@1,17,4,-1,-1,1
311,T22,T41,5,10,26,1,-1,1,00T22@0,03T41@1,17,5,-1,-1,1
433,T35,T41,5,9,9,5,-1,5,01T35@0,03T41@1,17,5,-1,-1,1
434,T41,T35,5,7,14,-1,-1,5,03T41@1,05T35@2,17,-1,-1,-1,2
