index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,23.0,0,,32.0,0,,0.3333333333333333,261476,0.0,0.0,5,0,0,18,0,0.0,293,311,108,0.0,0.0,0,0,108,200,4.113929808139801,4.113929808139801
1,108,0,0,0,10.0,20,10.0,15.866666666666667,15,9.466666666666667,23.0,0,,32.0,0,,0.5,260897,0.0,0.0,7,0,0,16,0,0.0,24,40,21,572.0,607.0,32,76,21,342,1.8497998528182509,5.963729660958053
2,21,0,0,0,10.0,20,10.0,15.866666666666667,0,,23.0,0,,32.0,0,,0.4166666666666667,260697,0.0,0.0,4,0,0,2,0,0.0,19,21,26,170.0,25.0,12,9,26,200,1.3533076588064432,7.317037319764495
3,26,0,0,0,10.0,20,10.0,13.676543209876545,27,9.296296296296298,23.0,0,,32.0,20,32.0,0.5,259484,0.0,0.0,13,0,0,2,0,0.0,18,20,25,167.0,45.0,11,15,25,1091,1.6143680829554796,8.931405402719975
4,25,0,0,0,10.0,20,10.0,14.606608357628767,30,16.866666666666667,23.0,0,,32.0,20,32.0,0.5,258598,0.0,0.0,13,0,0,2,0,0.0,20,22,26,200.0,39.0,12,13,26,1346,1.6487141884863377,10.580119591206312
5,26,0,0,0,10.0,20,10.0,14.345900007656386,38,13.710526315789476,23.0,0,,32.0,20,32.0,0.5,257339,0.0,0.0,14,0,0,4,0,0.0,20,24,25,206.0,36.0,14,12,25,1361,2.0711890254169703,12.651308616623282
6,25,0,0,0,10.0,20,10.0,14.408446839324768,53,14.547169811320755,22.76086956521739,1,12.0,32.0,20,32.0,0.5,255617,0.0,0.0,15,0,0,3,0,0.0,18,21,26,152.0,42.0,11,14,26,1623,1.5314335376024246,14.182742154225707
7,26,0,0,0,10.0,20,10.0,16.107334502186063,86,19.139534883720923,23.875,25,25.72,32.0,20,32.0,0.5,253215,0.0,0.0,16,0,0,1,0,0.0,20,21,28,185.0,42.0,12,14,28,3129,1.7938941530883312,15.976636307314038
8,28,0,0,0,10.0,20,10.0,16.43559247653582,35,18.457142857142856,23.226473501733533,21,21.38095238095238,32.0,20,32.0,0.5,252323,0.0,0.0,14,0,0,3,0,0.0,18,21,26,167.0,51.0,11,17,26,1935,1.656797619536519,17.633433926850554
9,26,0,0,0,10.000000000000002,20,10.0,16.7694716697399,88,17.625,24.21714184189624,23,27.347826086956523,32.0,20,32.0,0.5,249327,0.0,0.0,16,0,0,3,0,0.0,20,23,27,206.0,36.0,14,12,27,3020,1.4123356118798256,19.045769538730386
10,27,0,0,0,10.000000000000002,20,10.0,16.999888676243412,91,17.714285714285715,25.138064497867056,34,27.470588235294123,32.0,20,32.0,0.5,245559,0.0,0.0,17,0,0,2,0,0.0,19,21,27,185.0,45.0,12,15,27,3386,1.726475713774562,20.772245252504945
11,27,0,0,0,10.000000000000002,20,10.0,17.150561528744955,89,17.719101123595507,25.138064497867056,0,,32.0,20,32.0,0.5,242417,0.0,0.0,14,0,0,2,0,0.0,22,24,29,221.0,39.0,14,13,29,2417,1.4818975180387497,22.25414277054369
12,29,0,0,0,10.000000000000002,20,10.0,16.338943778484563,116,13.663793103448276,23.769055205197407,26,18.076923076923077,32.0,20,32.0,0.5,235019,0.0,0.0,19,0,0,3,0,0.0,17,20,28,182.0,54.0,11,18,28,2895,1.8089963253587484,24.063139095902443
13,28,0,0,0,10.000000000000002,20,10.0,16.624216898887706,93,18.0,24.923693451032925,44,28.09090909090909,32.0,20,32.0,0.5,230517,0.0,0.0,20,0,0,3,0,0.0,21,24,28,221.0,42.0,14,14,28,3750,1.3581133000552654,25.421252395957712
14,28,0,0,0,10.000000000000002,20,10.0,16.83593055267665,123,17.67479674796748,25.856691372377185,16,34.5,32.0,20,32.0,0.5,224973,0.0,0.0,18,0,0,3,0,0.0,19,22,26,185.0,48.0,12,16,26,3566,1.7712246235460043,27.192477019503713
15,26,0,0,0,10.000000000000002,20,10.0,16.28500582991533,111,13.558558558558559,24.23593979634775,32,16.75,32.0,20,32.0,0.5,217318,0.0,0.0,21,0,0,2,0,0.0,19,21,29,170.0,42.0,12,14,29,2881,1.451578451320529,28.644055470824238
16,29,0,0,0,10.000000000000002,20,10.0,16.222828609027385,103,15.864077669902912,24.533997207360123,52,25.461538461538463,32.0,20,32.0,0.5,210546,0.0,0.0,21,0,0,3,0,0.0,17,20,28,182.0,54.0,11,18,28,3798,1.6749693099409342,30.319024780765176
17,28,0,0,0,10.000000000000002,20,10.0,16.145160107141134,136,15.786764705882351,24.951719385899487,8,35.0,32.0,20,32.0,0.5,203454,0.0,0.0,20,0,0,3,0,0.0,19,22,27,188.0,45.0,13,15,27,3267,1.293223710730672,31.61224849149585
18,27,0,0,0,10.000000000000002,20,10.0,15.948614794188865,96,14.541666666666664,25.688866909973626,16,34.0,32.0,20,32.0,0.5,194288,0.0,0.0,14,0,0,3,2,73.675,17,20,26,182.0,48.0,11,16,26,2680,1.760619455948472,33.37286794744432
19,26,0,25,1,10.000000000000002,20,10.0,16.18331075309807,14,28.0,26.092042279142905,8,35.0,32.0,20,32.0,0.5,202186,0.0,0.125,14,0,0,6,3,714.8,16,22,25,170.0,42.0,12,14,25,1893,2.186209563165903,35.559077510610216
20,25,4,0,0,10.000000000000002,11,10.0,16.673487103054427,28,28.0,25.843615689051084,30,24.466666666666665,32.0,20,32.0,0.5,201037,0.0,0.125,13,0,0,3,2,2005.985,8,11,18,147.0,48.0,9,16,18,2268,0.9928212724626064,36.55189878307283
21,18,2,0,0,10.000000000000002,11,10.0,16.898223505181132,15,26.0,22.895317831649088,59,14.067796610169491,32.0,20,32.0,0.5,198133,0.0,0.125,15,0,0,4,2,2864.835714285715,8,12,12,90.0,39.0,5,13,12,1970,0.9575010892003776,37.509399872273214
22,12,2,0,0,10.000000000000004,10,10.0,17.166271958947622,17,26.0,24.09196242388989,24,34.666666666666664,32.0,20,32.0,0.5,197219,0.0,0.125,11,0,0,7,2,1857.541666666667,9,16,10,99.0,12.0,8,4,10,2014,0.6012923382222652,38.110692210495465
