index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,32.0,0,,41.0,0,,52.0,0,,0.0,352308,0.0,0.0,10,0,0,39,0,0.0,535,574,93,0.0,0.0,0,0,93,200,1.9748286940157411,1.9748286940157411
1,93,0,0,0,10.0,20,10.0,13.115384615384615,7,1.0,18.875,3,2.0,29.12727272727273,10,16.2,41.0,0,,52.0,0,,0.27,351502,0.0,0.0,18,0,0,9,0,0.0,69,78,51,852.0,213.0,54,39,51,375,6.984533116221428,8.959361810237171
2,51,0,0,0,10.0,20,10.0,13.20430107526882,9,13.666666666666664,15.444055944055945,14,4.857142857142857,28.65631067961165,2,17.0,41.0,0,,52.0,0,,0.28,350954,0.0,0.0,17,0,0,2,0,0.0,39,41,47,222.0,106.0,19,32,47,425,9.646009180694818,18.605370990931988
3,47,0,0,0,10.0,20,10.0,13.357762777242046,12,14.0,15.411044973544971,9,15.222222222222221,27.32034383954155,6,17.0,41.0,0,,52.0,0,,0.31,350476,0.0,0.0,20,0,0,1,0,0.0,35,36,53,167.0,108.0,14,33,53,607,12.83761695213616,31.442987943068147
4,53,0,0,0,10.0,20,10.0,12.586188176805052,14,9.5,15.48507938758151,2,17.5,26.15453261790455,6,17.0,40.66666666666666,9,39.0,52.0,0,,0.25999999999999995,350008,0.0,0.0,20,0,0,4,0,0.0,31,35,52,181.0,123.0,13,40,52,821,14.982652824372053,46.42564076744021
5,52,0,0,0,10.0,20,10.0,11.276234906299177,20,7.15,12.422022433030062,44,8.886363636363637,28.128404367134763,5,47.0,40.66666666666666,0,,52.0,20,52.0,0.32,347565,0.0,0.0,34,0,0,1,0,0.0,39,40,60,210.0,104.0,21,31,60,2009,11.404255574569106,57.8298963420093
6,60,0,0,0,10.0,20,10.0,10.99587703856598,14,9.5,12.744746025404467,6,17.333333333333332,27.223208591162056,18,24.83333333333333,43.95426829268293,17,53.352941176470594,52.0,20,52.0,0.39,346142,0.0,0.0,36,0,0,2,0,0.0,42,44,64,249.0,115.0,21,39,64,2831,9.265160517767072,67.09505685977638
7,64,0,0,0,10.0,20,10.0,10.74611812418058,16,9.5,13.32617489977075,16,16.3125,28.281722348734426,34,30.117647058823533,49.81524842946888,11,81.27272727272727,52.0,20,52.0,0.37,343729,0.0,0.0,37,0,0,3,0,0.0,35,38,60,242.0,133.0,19,45,60,3571,15.789868028834462,82.88492488861084
8,60,0,0,0,10.0,20,10.0,10.91795770615294,10,12.4,13.695223905535777,2,30.0,29.02270642372407,44,30.431818181818183,50.542305626827385,4,62.0,52.0,20,52.0,0.41,341127,0.0,0.0,31,0,0,1,0,0.0,37,38,60,197.0,127.0,17,43,60,3011,11.057456428185104,93.94238131679596
9,60,0,0,0,10.000000000000002,20,10.0,9.995571325267065,23,6.521739130434782,11.321551111670553,25,3.6,29.00371622436884,49,28.959183673469386,56.60550452941498,35,67.05714285714286,52.0,12,52.0,0.47,336663,0.0,0.0,36,0,0,1,0,0.0,37,38,60,212.0,124.0,18,42,60,4830,10.519470134750007,104.46185145154594
