index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,0,,40.0,0,,0.15,151962,0.0,0.0,6,0,0,125,0,0.0,185,310,134,0.0,0.0,0,0,134,200,0.2670090645551681,0.2670090645551681
1,134,0,0,0,10.0,20,10.0,18.0,0,,26.33333333333333,9,28.0,35.0,0,,40.0,0,,0.325,151483,0.0,0.0,8,0,0,23,0,0.0,47,70,112,1064.0,906.0,56,78,112,452,1.5012561958283186,1.7682652603834867
2,112,0,0,0,10.0,20,10.0,55.862068965517246,42,96.42857142857143,104.43145161290323,1,3900.0,37.0,6,52.0,40.0,0,,0.4625,150749,0.0,0.0,11,0,0,5,0,0.0,34,39,99,484.0,543.0,28,84,99,8462,0.7708313204348087,2.5390965808182955
3,99,0,0,0,10.0,20,10.0,50.111982082866746,11,9.181818181818182,176.595971563981,6,713.5,35.239095315024244,16,30.1875,40.0,0,,0.6375,150023,0.0,0.0,13,0,0,7,0,0.0,34,41,75,452.0,381.0,28,71,75,5065,0.6408399138599634,3.179936494678259
4,75,0,0,0,10.0,20,10.0,44.14967241856603,28,27.035714285714285,149.3484516402715,11,36.45454545454545,36.00957463506514,8,41.375,40.0,20,40.0,0.6875,149717,0.0,0.0,22,0,0,6,0,0.0,23,29,66,208.0,194.0,16,59,66,2489,0.4971100818365812,3.67704657651484
5,66,0,0,0,10.0,20,10.0,39.57777380128061,31,25.193548387096772,115.73278866979516,20,30.15,35.92860007379009,5,35.0,40.0,17,40.0,0.7625,149547,0.0,0.0,20,0,0,2,0,0.0,20,22,68,88.0,207.0,8,58,68,2439,0.5121577680110931,4.189204344525933
6,68,0,0,0,10.0,20,10.0,38.35930302960932,11,25.54545454545455,85.37876345817831,38,34.39473684210526,39.90112122878473,19,51.631578947368425,40.0,16,40.0,0.95,148763,0.0,0.0,22,0,0,4,0,0.0,25,29,70,211.0,217.0,17,51,70,3409,0.5423913989216089,4.731595743447542
7,70,0,0,0,10.0,20,10.0,36.54801327262454,21,26.714285714285715,68.24997724403279,51,37.470588235294116,38.167365348437244,37,35.0,40.0,10,40.0,0.9125,146586,0.0,0.0,20,0,0,1,0,0.0,20,21,51,123.0,227.0,9,61,51,4367,0.4142087213695049,5.145804464817047
8,51,0,0,0,10.0,20,10.0,35.483734703492345,11,23.72727272727273,62.980499517521466,26,36.96153846153846,41.7634338647571,36,51.16666666666666,40.0,10,40.0,1.0,145928,0.0,0.0,20,0,0,0,0,0.0,19,19,37,120.0,159.0,8,43,37,3664,0.21901568584144115,5.364820150658488
9,37,0,0,0,10.000000000000002,20,10.0,32.4907839129809,61,26.639344262295083,56.36846545709064,48,37.22916666666666,42.919881983655635,43,46.069767441860456,40.0,11,40.0,0.9875,143850,0.0,0.0,29,0,0,0,0,0.0,21,21,38,120.0,135.0,8,29,38,6033,0.2851550318300724,5.649975182488562
10,38,0,0,0,10.000000000000002,20,10.0,31.32010573658392,31,25.193548387096772,55.03481647805517,11,34.63636363636363,43.322792697380066,6,53.0,40.0,6,40.0,1.0,143845,0.0,0.0,19,0,0,2,0,0.0,19,21,43,139.0,135.0,9,29,43,1920,0.9400858003646136,6.590060982853174
11,43,0,0,0,10.000000000000002,20,10.0,30.823865814676694,21,26.714285714285715,50.620668508262405,63,39.31746031746032,45.378508452592456,43,51.83720930232558,40.0,12,40.0,1.0,141702,0.0,0.0,23,0,0,0,0,0.0,23,23,34,158.0,130.0,10,33,34,5947,0.4555438961833715,7.045604879036546
12,34,0,0,0,10.000000000000002,20,10.0,30.65481465813467,1,1.0,50.078440432022774,6,31.83333333333333,45.047579095105384,85,44.423529411764704,40.0,12,40.0,0.9875,139568,0.0,0.0,20,0,0,0,0,0.0,17,17,38,44.0,119.0,4,30,38,4648,0.27278951182961464,7.31839439086616
13,38,0,0,0,10.000000000000002,20,10.0,30.32377526195312,11,25.54545454545455,48.58999610098925,11,23.272727272727273,45.14079183179971,3,52.0,40.0,11,40.0,0.9875,139808,0.0,0.0,16,0,0,0,0,0.0,20,20,30,120.0,106.0,8,30,30,1333,0.20877782441675666,7.527172215282918
14,30,0,0,0,10.000000000000002,20,10.0,29.45850084807587,31,25.193548387096772,45.934732103667145,55,37.32727272727273,46.748757805048534,55,52.63636363636363,40.0,9,40.0,0.975,137359,0.0,0.0,23,0,0,1,0,0.0,21,22,34,139.0,62.0,9,21,34,6289,0.21524930000305176,7.742421515285969
15,34,0,0,0,10.000000000000002,20,10.0,29.003959419048357,48,27.4375,45.72173302972035,1,1.0,46.748757805048534,0,,40.0,8,40.0,1.0,136338,0.0,0.0,15,0,0,0,0,0.0,21,21,29,120.0,110.0,8,26,29,1838,0.4267185050994158,8.169140020385385
16,29,0,0,0,10.000000000000004,9,10.0,28.634971658536774,25,25.8,44.50447235958863,26,35.615384615384606,46.748757805048534,0,,40.0,13,40.0,0.925,136171,0.0,0.0,14,0,0,0,0,0.0,22,22,34,139.0,58.0,9,20,34,2181,0.2832310888916254,8.45237110927701
17,34,0,0,0,10.000000000000004,0,,28.422963453439337,27,26.88888888888889,42.22251192837013,15,12.666666666666664,46.97539402109923,12,51.33333333333334,40.0,9,40.0,0.875,136210,0.0,0.0,12,0,0,0,0,0.0,23,23,40,142.0,120.0,10,24,40,1892,0.3286777958273888,8.781048905104399
18,40,0,0,0,10.000000000000004,0,,27.818800815158838,6,7.666666666666668,40.45760498091821,49,33.673469387755105,47.0221941574111,80,47.15,40.0,10,40.0,0.7625,135723,0.0,0.0,15,0,0,1,0,0.0,26,27,41,234.0,109.0,14,26,41,5868,0.574723782017827,9.355772687122228
19,41,0,0,0,10.000000000000004,0,,27.50950602714034,40,26.075,40.23442955716494,37,38.94594594594594,47.34620589517623,23,51.1304347826087,40.0,11,40.0,0.75,134122,0.0,0.0,12,0,0,3,0,0.0,22,25,48,199.0,99.0,13,28,48,4100,0.4492798428982496,9.805052530020477
20,48,0,0,0,10.000000000000004,0,,27.408534835641408,11,25.54545454545455,39.5608798840471,48,36.39583333333333,46.30583086348681,10,19.0,40.0,9,40.0,0.75,132781,0.0,0.0,9,0,0,0,0,0.0,23,23,55,165.0,167.0,11,37,55,2578,0.3810487017035484,10.186101231724024
21,55,0,0,0,10.000000000000004,0,,27.225507178084264,41,26.36585365853659,40.52692089127947,6,80.16666666666667,46.9220116402691,91,48.58241758241758,40.0,8,40.0,0.75,127407,0.0,0.0,15,0,0,1,0,0.0,29,30,63,272.0,181.0,16,39,63,6303,0.4838477596640587,10.669948991388084
22,63,0,0,0,10.000000000000004,0,,27.00607539895418,21,24.809523809523807,40.685488401909424,89,41.08988764044944,46.02877524035171,10,19.0,40.0,12,40.0,0.75,126503,0.0,0.0,15,0,0,3,0,0.0,18,21,64,253.0,223.0,15,48,64,4848,0.7280708514153957,11.398019842803476
23,64,0,0,0,10.000000000000004,0,,26.93453463726589,17,26.058823529411764,38.88328068995749,47,27.97872340425532,47.02104066439802,40,54.0,40.0,11,40.0,0.75,124556,0.0,0.0,16,0,0,9,0,0.0,12,21,61,221.0,207.0,15,49,61,4358,0.5218976214528084,11.919917464256287
24,61,0,0,0,10.000000000000004,0,,26.769353632662487,11,23.72727272727273,38.68358370984804,33,36.87878787878788,48.51299174563183,79,53.9746835443038,40.0,10,40.0,0.75,119914,0.0,0.0,10,0,0,6,0,0.0,12,18,52,161.0,212.0,11,50,52,6142,0.4609700683504343,12.380887532606721
