index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
61,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
263,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
268,OTHER,T22,0,5,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
110,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
138,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
31,OTHER,T23,0,3,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
25,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
38,OTHER,T22,0,2,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
146,OTHER,T22,0,3,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
359,T23,T35,1,2,4,1,-1,1,03T23@1,05T35@2,14,1,-1,-1,2
161,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
374,T23,T41,1,4,1,1,-1,1,03T23@1,04T41@2,11,1,-1,-1,2
384,T23,T41,1,6,2,1,-1,1,03T23@1,04T41@2,13,1,-1,-1,2
392,T22,T23,1,10,27,-1,-1,1,00T22@0,03T23@1,17,-1,-1,-1,1
394,T23,T35,1,12,1,-1,-1,1,03T23@1,05T35@2,9,-1,-1,-1,2
96,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
381,T23,T35,1,9,4,1,-1,1,03T23@1,05T35@2,13,1,-1,-1,2
357,T23,T35,1,3,1,1,-1,1,03T23@1,05T35@2,7,1,-1,-1,2
133,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
249,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
264,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
344,T23,T35,1,9,1,1,-1,1,03T23@1,05T35@2,7,1,-1,-1,2
221,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
13,OTHER,T23,1,5,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
251,OTHER,T22,1,3,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
341,T23,T35,1,7,1,1,-1,1,03T23@1,05T35@2,10,1,-1,-1,2
366,T23,T35,2,9,5,1,-1,1,03T23@1,05T35@2,14,2,-1,-1,2
239,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
119,OTHER,T23,2,2,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
