index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,30.0,0,,39.0,0,,49.0,0,,0.0,550494,0.0,0.0,8,0,0,156,0,0.0,655,811,90,0.0,0.0,0,0,90,200,0.7167911715805529,0.7167911715805529
1,90,0,0,0,10.0,20,10.0,10.71264367816092,42,7.190476190476191,19.9,5,1.0,28.54,5,15.4,36.708333333333336,3,2.333333333333333,49.0,0,,0.23000000000000004,548815,0.0,0.0,22,0,0,16,0,0.0,66,82,70,979.0,326.0,59,31,70,591,2.586983431130648,3.3037746027112007
2,70,0,0,0,10.0,20,10.0,10.461181923522595,8,8.0,18.009999999999994,5,1.0,27.064705882352943,6,16.0,29.90909090909091,14,8.928571428571429,49.0,0,,0.35000000000000003,547778,0.0,0.0,17,0,0,8,0,0.0,36,44,68,326.0,252.0,25,45,68,490,2.9678549394011497,6.271629542112351
3,68,0,0,0,10.0,20,10.0,9.62922305290054,28,7.321428571428571,16.308999999999994,5,1.0,27.293091537132987,12,28.16666666666667,25.305048335123523,23,15.0,49.0,0,,0.4400000000000001,545235,0.0,0.0,21,0,0,12,0,0.0,34,46,87,280.0,264.0,24,44,87,1093,2.6721193343400955,8.943748876452444
4,87,0,0,0,10.0,20,10.0,9.270290877540466,19,7.473684210526316,14.525545454545453,10,6.5,26.678334240609693,3,16.0,24.564731126861304,56,23.67857142857143,49.0,0,,0.45,541218,0.0,0.0,26,0,0,8,0,0.0,41,49,80,371.0,338.0,28,59,80,1781,2.752719722688198,11.696468599140644
5,80,0,0,0,10.0,20,10.0,8.998139911410506,28,8.0,14.525545454545453,0,,23.687017559431354,18,15.444444444444445,21.378075407244445,34,11.0,49.0,20,49.0,0.4,538635,0.0,0.0,33,0,0,9,0,0.0,36,45,69,333.0,347.0,23,57,69,2056,2.3159443084150557,14.0124129075557
6,69,0,0,0,10.0,20,10.0,8.859330204197041,19,8.0,13.284669724770641,5,1.0,24.012637676343733,15,25.33333333333333,21.61020818849589,16,23.5,49.0,20,49.0,0.4,537761,0.0,0.0,27,0,0,5,0,0.0,37,42,66,291.0,304.0,22,47,66,2093,2.911375978961587,16.923788886517286
7,66,0,0,0,10.0,20,10.0,8.633700895383724,28,7.642857142857142,18.70547501810282,20,32.0,27.161213187559518,44,32.04545454545455,23.336332837182578,41,28.87804878048781,49.0,20,49.0,0.5,533938,0.0,0.0,35,0,0,9,0,0.0,44,53,62,347.0,244.0,28,38,62,4628,2.65667487680912,19.580463763326406
8,62,0,0,0,10.0,20,10.0,8.464393058171844,28,7.642857142857142,23.911613343776,40,32.0,30.166858643433024,38,38.1578947368421,17.530267207499865,85,6.917647058823531,49.00000000000001,15,49.0,0.5,525926,0.0,0.0,34,0,0,7,0,0.0,41,48,46,323.0,164.0,25,37,46,4467,3.0093792155385017,22.589842978864908
9,46,0,0,0,10.000000000000002,20,10.0,8.322465701194206,37,7.756756756756758,26.363930785527234,40,32.0,32.84180102912857,74,37.364864864864856,19.212479564976015,71,24.338028169014088,49.00000000000001,12,49.0,0.5,514533,0.0,0.0,38,0,0,1,0,0.0,33,34,48,193.0,168.0,15,31,48,6848,2.1543211657553907,24.7441641446203
