index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
244,OTHER,T40,0,1,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
391,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
321,OTHER,T22,0,2,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
15,OTHER,T40,0,1,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
314,OTHER,T22,0,1,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
176,OTHER,T40,0,5,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
142,OTHER,T40,0,2,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
153,OTHER,T22,0,3,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
43,OTHER,T40,0,2,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
250,OTHER,T40,0,1,10,0,-1,-1,SELLER,00T40@0,0,0,-1,-1,0
41,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
693,T22,T22,1,4,11,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
147,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
688,T22,T22,1,4,11,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
164,OTHER,T40,1,2,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
611,T22,T22,1,1,15,1,-1,1,03T22@1,04T22@2,17,1,-1,-1,2
690,T22,T23,1,1,74,-1,-1,1,04T22@2,07T23@3,15,-1,-1,-1,3
612,T22,T22,1,4,11,1,-1,1,01T22@0,02T22@1,17,1,-1,-1,1
689,T22,T22,1,4,11,-1,-1,1,01T22@0,03T22@1,17,-1,-1,-1,1
620,T22,T22,1,4,11,1,-1,1,01T22@0,03T22@1,17,1,-1,-1,1
388,OTHER,T40,1,4,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
695,T22,T35,1,4,43,-1,-1,1,03T22@1,05T35@2,17,-1,-1,-1,2
49,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
23,OTHER,T22,1,3,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
678,T22,T22,1,5,16,-1,-1,1,03T22@1,04T22@2,17,-1,-1,-1,2
674,T22,T22,1,1,15,1,-1,1,03T22@1,04T22@2,17,1,-1,-1,2
675,T35,T22,1,1,25,1,-1,1,06T35@3,09T22@4,17,1,-1,-1,4
278,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
283,OTHER,T40,1,1,10,0,-1,-1,SELLER,00T40@0,0,1,-1,-1,0
659,T23,T22,1,1,9,1,-1,1,07T23@3,09T22@4,14,1,-1,-1,4
655,T22,T22,1,1,15,1,-1,1,02T22@1,04T22@2,17,1,-1,-1,2
619,T22,T22,1,4,43,1,-1,1,02T22@1,04T22@2,17,1,-1,-1,2
682,T22,T35,1,4,43,-1,-1,1,02T22@1,05T35@2,17,-1,-1,-1,2
331,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
358,OTHER,T22,1,2,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
308,OTHER,T22,1,1,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
654,T22,T22,2,1,15,1,-1,1,03T22@1,04T22@2,17,2,-1,-1,2
657,T35,T22,2,11,24,1,-1,1,06T35@3,09T22@4,17,2,-1,-1,4
692,T22,T22,2,16,32,-1,-1,1,01T22@0,02T22@1,17,-1,-1,-1,1
647,T40,T22,2,5,11,1,-1,1,00T40@0,02T22@1,17,2,-1,-1,1
634,T22,T22,2,4,12,1,-1,1,01T22@0,02T22@1,17,2,-1,-1,1
699,T35,T34,2,9,24,2,-1,2,06T35@3,08T34@4,17,2,-1,-1,4
633,T23,T22,2,1,5,1,-1,1,07T23@3,09T22@4,12,2,-1,-1,4
661,T35,T22,2,1,26,1,-1,1,06T35@3,09T22@4,17,2,-1,-1,4
97,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
636,T35,T22,2,9,27,1,-1,1,06T35@3,09T22@4,17,2,-1,-1,4
673,T23,T22,2,9,1,1,-1,1,07T23@3,09T22@4,7,2,-1,-1,4
684,T22,T23,2,1,70,-1,-1,1,04T22@2,07T23@3,13,-1,-1,-1,3
711,T22,T23,2,1,35,2,-1,2,04T22@2,07T23@3,15,2,-1,-1,3
706,T35,T35,2,4,19,2,-1,2,05T35@2,06T35@3,17,2,-1,-1,3
2,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
273,OTHER,T22,2,1,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
738,T40,T22,2,21,22,-1,-1,2,00T40@0,03T22@1,2,-1,-1,-1,1
313,OTHER,T22,2,5,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
377,OTHER,T40,2,1,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
728,T22,T22,2,9,29,-1,-1,2,02T22@1,04T22@2,2,-1,-1,-1,2
395,OTHER,T22,2,3,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
720,T35,T35,2,3,19,2,-1,2,05T35@2,06T35@3,17,2,-1,-1,3
667,T40,T22,2,5,11,1,-1,1,00T40@0,03T22@1,17,2,-1,-1,1
34,OTHER,T40,2,4,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
35,OTHER,T40,2,3,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
713,T22,T35,2,1,19,2,-1,2,04T22@2,06T35@3,17,2,-1,-1,3
712,T35,T23,2,1,32,2,-1,2,05T35@2,07T23@3,13,2,-1,-1,3
708,T23,T22,2,7,3,2,-1,2,07T23@3,09T22@4,9,2,-1,-1,4
136,OTHER,T40,2,1,10,0,-1,-1,SELLER,00T40@0,0,2,-1,-1,0
248,OTHER,T40,3,2,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
262,OTHER,T40,3,1,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
632,T22,T22,3,5,12,1,-1,1,01T22@0,03T22@1,17,3,-1,-1,1
284,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
302,OTHER,T40,3,2,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
215,OTHER,T22,3,2,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
319,OTHER,T40,3,2,10,0,-1,-1,SELLER,00T40@0,0,3,-1,-1,0
635,T35,T22,3,11,27,1,-1,1,06T35@3,09T22@4,17,3,-1,-1,4
365,OTHER,T22,3,4,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
651,T22,T35,3,4,43,1,-1,1,03T22@1,05T35@2,17,3,-1,-1,2
366,OTHER,T22,3,4,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
369,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
616,T22,T35,3,4,43,1,-1,1,02T22@1,05T35@2,17,3,-1,-1,2
640,T22,T35,3,5,56,1,-1,1,04T22@2,06T35@3,17,3,-1,-1,3
666,T22,T22,3,4,43,1,-1,1,02T22@1,04T22@2,17,3,-1,-1,2
646,T23,T22,3,7,6,1,-1,1,07T23@3,09T22@4,12,3,-1,-1,4
761,T35,T23,3,5,38,3,-1,3,05T35@2,07T23@3,7,3,-1,-1,3
623,T40,T22,3,10,34,1,-1,1,00T40@0,02T22@1,17,3,-1,-1,1
736,T22,T23,3,5,73,-1,-1,2,04T22@2,07T23@3,12,-1,-1,-1,3
36,OTHER,T22,3,1,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
