index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
316,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
275,OTHER,T35,0,1,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
285,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
303,OTHER,T35,0,4,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
254,OTHER,T35,0,3,10,0,-1,-1,SELLER,00T35@0,0,0,-1,-1,0
201,OTHER,T35,0,6,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
386,T23,T22,1,5,2,1,-1,1,03T23@1,05T22@2,11,1,-1,-1,2
390,T23,T22,1,1,1,1,-1,1,02T23@1,05T22@2,7,1,-1,-1,2
392,T22,T40,1,5,18,1,-1,1,05T22@2,06T40@3,17,1,-1,-1,3
237,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
138,OTHER,T35,1,2,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
266,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
397,T23,T22,1,1,3,1,-1,1,03T23@1,04T22@2,11,1,-1,-1,2
408,T23,T22,1,5,4,1,-1,1,02T23@1,04T22@2,14,1,-1,-1,2
48,OTHER,T35,1,6,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
46,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
317,OTHER,T35,1,3,10,0,-1,-1,SELLER,00T35@0,0,1,-1,-1,0
410,T22,T40,1,3,55,-1,-1,1,05T22@2,06T40@3,17,-1,-1,-1,3
70,OTHER,T35,1,2,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
433,T23,T22,2,2,3,2,-1,2,02T23@1,05T22@2,13,2,-1,-1,2
393,T23,T22,2,2,1,1,-1,1,02T23@1,04T22@2,10,2,-1,-1,2
396,T23,T22,2,2,6,1,-1,1,02T23@1,04T22@2,14,2,-1,-1,2
411,T22,T40,2,3,55,-1,-1,1,04T22@2,06T40@3,17,-1,-1,-1,3
284,OTHER,T35,2,1,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
43,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
385,T23,T22,2,2,7,1,-1,1,03T23@1,04T22@2,15,2,-1,-1,2
380,T23,T22,2,1,4,1,-1,1,03T23@1,05T22@2,13,2,-1,-1,2
372,T23,T22,2,1,3,1,-1,1,02T23@1,05T22@2,12,2,-1,-1,2
368,T23,T22,2,1,3,1,-1,1,03T23@1,04T22@2,11,2,-1,-1,2
318,OTHER,T35,2,3,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
71,OTHER,T35,2,4,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
9,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
174,OTHER,T35,2,3,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
102,OTHER,T35,2,5,10,0,-1,-1,SELLER,00T35@0,0,2,-1,-1,0
112,OTHER,T35,3,1,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
103,OTHER,T35,3,4,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
387,T23,T22,3,4,1,1,-1,1,02T23@1,05T22@2,7,3,-1,-1,2
278,OTHER,T35,3,2,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
395,T23,T22,3,5,7,1,-1,1,03T23@1,04T22@2,14,3,-1,-1,2
400,T23,T22,3,5,6,1,-1,1,03T23@1,05T22@2,13,3,-1,-1,2
183,OTHER,T35,3,5,10,0,-1,-1,SELLER,00T35@0,0,3,-1,-1,0
398,T23,T22,3,3,3,1,-1,1,03T23@1,04T22@2,11,3,-1,-1,2
412,T22,T40,3,3,55,-1,-1,1,05T22@2,06T40@3,17,-1,-1,-1,3
423,T23,T22,3,1,1,2,-1,2,03T23@1,04T22@2,9,3,-1,-1,2
432,T23,T22,3,1,4,2,-1,2,02T23@1,04T22@2,12,3,-1,-1,2
435,T23,T22,3,2,2,2,-1,2,03T23@1,05T22@2,11,3,-1,-1,2
177,OTHER,T35,3,5,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
24,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
436,T23,T22,3,5,2,2,-1,2,02T23@1,04T22@2,10,3,-1,-1,2
65,OTHER,T35,4,3,10,0,-1,-1,SELLER,00T35@0,0,4,-1,-1,0
223,T29,OTHER,4,3,54,0,-1,-1,07T29@3,BUYER,0,4,-1,-1,4
127,T29,OTHER,4,4,54,0,-1,-1,07T29@3,BUYER,0,4,-1,-1,4
367,T22,T40,4,8,20,1,-1,1,04T22@2,06T40@3,17,4,-1,-1,3
239,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
10,OTHER,T35,4,5,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
382,T23,T22,4,1,3,1,-1,1,02T23@1,04T22@2,12,4,-1,-1,2
