index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,31.0,0,,41.0,0,,59.0,0,,0.1,469668,0.0,0.0,5,0,0,38,0,0.0,196,234,59,0.0,0.0,0,0,59,200,1.141160624101758,1.141160624101758
1,59,0,0,0,10.0,20,10.0,18.0,0,,30.0625,3,16.0,41.0,0,,59.0,0,,0.175,469352,0.0,0.0,8,0,0,13,0,0.0,46,59,20,881.0,75.0,49,10,20,248,1.4830792322754858,2.624239856377244
2,20,0,0,0,10.0,20,10.0,16.454545454545453,10,9.5,29.744343891402718,1,16.0,38.17307692307692,7,20.0,59.0,0,,0.4375,468870,0.0,0.0,10,0,0,4,0,0.0,18,22,18,186.0,39.0,12,8,18,451,0.6619120202958584,3.2861518766731024
3,18,0,0,0,10.0,20,10.0,15.369747899159664,10,10.0,29.39393330654881,10,28.0,36.711469534050174,9,29.11111111111111,59.0,0,,0.7,468327,0.0,0.0,12,0,0,4,0,0.0,21,25,19,226.0,27.0,14,4,19,842,0.6969018746167421,3.983053751289845
4,19,0,0,0,10.0,20,10.0,18.0440251572327,18,26.0,29.39393330654881,0,,36.711469534050174,0,,59.0,20,59.0,0.3,468237,0.0,0.0,12,0,0,4,0,0.0,19,23,18,204.0,48.0,13,6,18,1848,0.8516751304268837,4.834728881716729
5,18,0,0,0,10.0,20,10.0,17.771594246554702,2,9.0,33.30173696411889,13,46.769230769230774,34.15836188103395,14,25.0,59.0,20,59.0,0.4875,467741,0.0,0.0,17,0,0,4,0,0.0,19,23,14,219.0,15.0,13,5,14,2356,0.6048652343451977,5.439594116061926
6,14,0,0,0,10.0,20,10.0,18.634427125854792,7,26.0,35.060866218607245,8,46.5,39.20291412361385,12,63.5,59.0,15,59.0,0.4625,467778,0.0,0.0,14,0,0,5,0,0.0,15,20,14,165.0,27.0,10,4,14,2401,0.6027969438582659,6.042391059920193
7,14,0,0,0,10.0,20,10.0,19.032282841061214,3,27.0,35.060866218607245,0,,37.17650740910727,30,32.93333333333333,59.0,12,59.0,0.375,467174,0.0,0.0,12,0,0,4,0,0.0,15,19,16,150.0,42.0,10,4,16,1977,0.6645006965845823,6.706891756504773
8,16,0,0,0,10.0,20,10.0,17.679576777406016,10,10.0,39.28814091280108,30,46.9,41.25462693206181,17,61.29411764705882,59.0,9,59.0,0.6375,465953,0.0,0.0,18,0,0,6,0,0.0,15,21,13,198.0,30.0,11,5,13,3280,0.5975045170634985,7.304396273568273
9,13,0,0,0,10.000000000000002,20,10.0,17.52631073614409,8,16.375,39.75336685350001,21,41.42857142857143,42.887917176150005,7,64.0,59.0,12,59.0,0.6,465922,0.0,0.0,16,0,0,4,0,0.0,14,18,16,144.0,30.0,8,5,16,2357,0.5792129412293434,7.883609214797616
10,16,0,0,0,10.000000000000002,20,10.0,17.822199216284535,12,19.33333333333333,38.84961832435062,36,36.66666666666666,45.91764729459051,22,58.0,59.0,10,59.0,0.65,464766,0.0,0.0,18,0,0,3,0,0.0,18,21,16,197.0,45.0,11,5,16,3618,0.7688796073198318,8.652488822117448
11,16,0,0,0,10.000000000000002,20,10.0,17.92653410534245,12,18.5,40.341711632505564,26,46.69230769230769,44.54780684849418,6,22.0,59.00000000000001,7,59.0,0.675,464344,0.0,0.0,14,0,0,4,0,0.0,18,22,16,200.0,42.0,12,4,16,2181,0.7990203816443682,9.451509203761816
12,16,0,0,0,10.000000000000002,20,10.0,17.734795024932307,36,17.36111111111111,41.506324395767216,41,45.0,46.62867807119709,49,50.63265306122449,59.00000000000001,15,59.0,0.8125,462708,0.0,0.0,21,0,0,6,0,0.0,16,22,11,216.0,12.0,12,4,11,6036,0.6765960231423378,10.128105226904154
13,11,0,0,0,10.000000000000002,20,10.0,17.415746898856238,18,15.722222222222221,42.61199989050049,34,47.411764705882355,46.92975864619632,26,48.42307692307693,59.0,7,59.0,0.85,461614,0.0,0.0,16,0,0,2,0,0.0,16,18,11,129.0,9.0,8,3,11,3767,0.4164531417191029,10.544558368623255
14,11,0,0,0,10.000000000000002,20,10.0,19.258643435883588,49,23.102040816326532,42.258971227126786,22,39.63636363636363,46.420702638288326,19,42.68421052631579,59.0,13,59.0,0.825,461220,0.0,0.0,18,0,0,0,0,0.0,21,21,15,170.0,3.0,10,1,15,3782,0.6287316549569368,11.173290023580194
15,15,0,0,0,10.000000000000002,20,10.0,20.122524376821264,20,26.0,42.52964873892224,11,46.63636363636363,44.918835403119964,10,23.5,59.0,8,59.0,0.7124999999999999,461054,0.0,0.0,13,0,0,1,0,0.0,19,20,13,180.0,15.0,10,5,13,1940,0.7431129179894924,11.916402941569686
16,13,0,0,0,10.000000000000002,20,10.0,19.77458589761633,5,10.0,43.44436577258818,53,46.20754716981133,45.18274373306003,26,46.57692307692307,59.00000000000001,9,59.0,0.725,459291,0.0,0.0,18,0,0,2,0,0.0,16,18,15,129.0,30.0,8,5,15,4441,0.5328384544700384,12.449241396039724
17,15,0,0,0,10.000000000000002,20,10.0,19.77458589761633,0,,43.058575795927936,34,40.882352941176464,43.67237424457417,9,19.0,59.00000000000002,10,59.0,0.7124999999999999,458431,0.0,0.0,14,0,0,1,0,0.0,22,23,15,216.0,24.0,12,3,15,2351,0.6424634605646133,13.091704856604338
18,15,0,0,0,10.000000000000002,20,10.0,19.61246191778511,2,9.0,43.2199834933963,10,46.5,44.10151986771539,27,46.33333333333334,59.00000000000002,9,59.0,0.7375,458507,0.0,0.0,14,0,0,1,0,0.0,17,18,14,144.0,51.0,8,7,14,2465,0.5611102823168039,13.652815138921142
19,14,0,0,0,10.000000000000002,20,10.0,19.226809786924157,5,10.0,44.05676795871374,78,46.115384615384606,44.89333642613435,31,48.74193548387096,59.00000000000001,12,59.0,0.725,455191,0.0,0.0,18,0,0,3,0,0.0,15,18,21,144.0,63.0,8,6,21,6066,0.7543621975928545,14.407177336513994
20,21,0,0,0,10.000000000000002,20,10.0,18.675941942531328,13,13.923076923076925,44.07579220201189,5,45.0,44.81826910629813,15,44.0,59.00000000000001,9,59.0,0.725,455267,0.0,0.0,14,0,0,4,0,0.0,18,22,21,216.0,72.0,12,9,21,1797,1.9467786476016045,16.3539559841156
21,21,0,0,0,10.000000000000002,20,10.0,18.73923018281197,12,19.33333333333333,44.2990954105275,24,46.375,49.9162800335361,72,61.29166666666666,59.00000000000001,11,59.0,0.6875,452910,0.0,0.0,18,0,0,3,0,0.0,21,24,16,237.0,66.0,14,7,16,6607,0.994009329006076,17.347965313121676
22,16,0,0,0,10.000000000000002,20,10.0,18.796639586262838,12,19.33333333333333,44.43975640934871,13,46.846153846153854,49.45764419863243,11,40.72727272727273,59.00000000000001,12,59.0,0.75,453311,0.0,0.0,16,0,0,3,0,0.0,22,25,13,212.0,6.0,14,2,13,2197,0.8572961296886206,18.205261442810297
23,13,0,0,0,10.000000000000002,20,10.0,18.670379274856753,30,18.2,44.45267352031816,5,45.0,47.827168544704286,15,26.266666666666666,59.0,10,59.0,0.825,453594,0.0,0.0,15,0,0,5,0,0.0,16,21,12,166.0,8.0,10,3,12,1955,0.6477530114352703,18.853014454245567
24,12,0,0,0,10.000000000000002,20,10.0,19.198954537616263,38,20.973684210526315,43.93465156777393,29,40.44827586206897,46.06439726518402,23,31.347826086956523,59.00000000000001,7,59.0,0.8625,453477,0.0,0.0,18,0,0,4,0,0.0,15,19,14,147.0,9.0,9,3,14,3304,0.6318597923964262,19.484874246641997
25,14,0,0,0,10.000000000000002,20,10.0,19.62792946370766,24,22.29166666666667,43.51432648220968,91,42.58241758241758,46.217179563535176,2,61.0,59.00000000000001,20,59.0,0.675,447877,0.0,0.0,22,0,0,4,0,0.0,16,20,16,165.0,12.0,10,4,16,5912,0.591540964320302,20.0764152109623
26,16,0,0,0,10.000000000000002,20,10.0,19.527512358346172,5,16.4,43.43979095817941,6,40.16666666666666,44.00074150544803,16,19.625,59.00000000000001,11,59.0,0.7875000000000001,448289,0.0,0.0,14,0,0,2,0,0.0,21,23,12,234.0,9.0,13,3,12,1486,0.5726574882864952,20.649072699248787
27,12,0,0,0,10.000000000000002,20,10.0,20.58950183598225,21,27.904761904761905,43.80476641260933,59,45.30508474576271,44.96931491401832,11,60.18181818181818,59.00000000000001,11,59.0,0.675,446700,0.0,0.0,20,0,0,4,0,0.0,16,20,16,132.0,9.0,9,3,16,4770,0.549708453938365,21.19878115318716
28,16,0,0,0,10.000000000000002,20,10.0,19.861006099395343,10,9.0,44.013070056833236,36,45.58333333333334,48.20836035553706,59,57.288135593220346,59.00000000000001,7,59.0,0.7375,445835,0.0,0.0,17,0,0,5,0,0.0,14,19,18,163.0,36.0,9,7,18,5724,0.6414762940257788,21.840257447212934
29,18,0,0,0,10.000000000000002,20,10.0,19.460781326416022,5,8.0,44.013793028230715,58,44.01724137931034,46.110030112477396,16,19.625,59.0,20,59.0,0.725,443915,0.0,0.0,20,0,0,5,0,0.0,16,21,20,183.0,36.0,11,7,20,4287,0.6385034546256065,22.47876090183854
30,20,0,0,0,10.000000000000002,20,10.0,19.23119203610061,7,14.857142857142858,43.73866024771457,12,36.833333333333336,50.40937798532739,70,62.457142857142856,59.00000000000001,14,59.0,0.7375,442753,0.0,0.0,18,0,0,3,0,0.0,23,26,23,240.0,30.0,15,5,23,5944,0.9324114266783,23.41117232851684
