,balance,assets,bankrupt,agent_id,step
0,20261.0,190.0,False,00T07@0,0.0
1,19721.0,1030.0,False,00T07@0,5.0
2,19181.0,1870.0,False,00T07@0,10.0
3,18691.0,2660.0,False,00T07@0,15.0
4,18231.0,3420.0,False,00T07@0,20.0
5,17661.0,4290.0,False,00T07@0,25.0
6,17261.0,4990.0,False,00T07@0,30.0
7,16781.0,5770.0,False,00T07@0,35.0
8,16321.0,6512.0,False,00T07@0,40.0
9,15831.0,7122.0,False,00T07@0,45.0
10,15361.0,7592.0,False,00T07@0,50.0
11,14851.0,8108.0,False,00T07@0,55.0
12,14301.0,8664.0,False,00T07@0,60.0
13,13761.0,9204.0,False,00T07@0,65.0
14,13331.0,9634.0,False,00T07@0,70.0
15,12821.0,10144.0,False,00T07@0,75.0
16,12331.0,10634.0,False,00T07@0,80.0
17,12041.0,10960.0,False,00T07@0,85.0
18,20321.0,112.0,False,01T07@0,0.0
19,19861.0,836.0,False,01T07@0,5.0
20,19401.0,1578.0,False,01T07@0,10.0
21,18891.0,2370.0,False,01T07@0,15.0
22,18351.0,3210.0,False,01T07@0,20.0
23,17921.0,3940.0,False,01T07@0,25.0
24,17321.0,4840.0,False,01T07@0,30.0
25,16801.0,5660.0,False,01T07@0,35.0
26,16261.0,6500.0,False,01T07@0,40.0
27,15751.0,7130.0,False,01T07@0,45.0
28,15221.0,7666.0,False,01T07@0,50.0
29,14731.0,8156.0,False,01T07@0,55.0
30,14281.0,8606.0,False,01T07@0,60.0
31,13821.0,9072.0,False,01T07@0,65.0
32,13251.0,9642.0,False,01T07@0,70.0
33,12761.0,10132.0,False,01T07@0,75.0
34,12251.0,10642.0,False,01T07@0,80.0
35,11981.0,10948.0,False,01T07@0,85.0
36,31823.0,0.0,False,02T18@1,0.0
37,31823.0,0.0,False,02T18@1,5.0
38,31823.0,0.0,False,02T18@1,10.0
39,31823.0,0.0,False,02T18@1,15.0
40,31823.0,0.0,False,02T18@1,20.0
41,31823.0,0.0,False,02T18@1,25.0
42,31823.0,0.0,False,02T18@1,30.0
43,31823.0,0.0,False,02T18@1,35.0
44,31823.0,0.0,False,02T18@1,40.0
45,31823.0,0.0,False,02T18@1,45.0
46,31823.0,0.0,False,02T18@1,50.0
47,31823.0,0.0,False,02T18@1,55.0
48,31823.0,0.0,False,02T18@1,60.0
49,31823.0,0.0,False,02T18@1,65.0
50,31823.0,0.0,False,02T18@1,70.0
51,31823.0,0.0,False,02T18@1,75.0
52,31823.0,0.0,False,02T18@1,80.0
53,31823.0,0.0,False,02T18@1,85.0
54,31823.0,0.0,False,03T18@1,0.0
55,31823.0,0.0,False,03T18@1,5.0
56,31823.0,0.0,False,03T18@1,10.0
57,31823.0,0.0,False,03T18@1,15.0
58,31823.0,0.0,False,03T18@1,20.0
59,31823.0,0.0,False,03T18@1,25.0
60,31823.0,0.0,False,03T18@1,30.0
61,31823.0,0.0,False,03T18@1,35.0
62,31823.0,0.0,False,03T18@1,40.0
63,31823.0,0.0,False,03T18@1,45.0
64,31823.0,0.0,False,03T18@1,50.0
65,31823.0,0.0,False,03T18@1,55.0
66,31823.0,0.0,False,03T18@1,60.0
67,31823.0,0.0,False,03T18@1,65.0
68,31823.0,0.0,False,03T18@1,70.0
69,31823.0,0.0,False,03T18@1,75.0
70,31823.0,0.0,False,03T18@1,80.0
71,31823.0,0.0,False,03T18@1,85.0
72,43329.0,0.0,False,04T07@2,0.0
73,43023.0,0.0,False,04T07@2,5.0
74,42599.0,0.0,False,04T07@2,10.0
75,41996.0,0.0,False,04T07@2,15.0
76,41428.0,0.0,False,04T07@2,20.0
77,41302.0,0.0,False,04T07@2,25.0
78,41302.0,0.0,False,04T07@2,30.0
79,41108.0,0.0,False,04T07@2,35.0
80,40510.0,0.0,False,04T07@2,40.0
81,40087.0,0.0,False,04T07@2,45.0
82,40087.0,0.0,False,04T07@2,50.0
83,40087.0,0.0,False,04T07@2,55.0
84,39693.0,0.0,False,04T07@2,60.0
85,39177.0,0.0,False,04T07@2,65.0
86,38949.0,0.0,False,04T07@2,70.0
87,38949.0,0.0,False,04T07@2,75.0
88,38703.0,0.0,False,04T07@2,80.0
89,38234.0,0.0,False,04T07@2,85.0
90,43329.0,0.0,False,05T18@2,0.0
91,43329.0,0.0,False,05T18@2,5.0
92,43329.0,0.0,False,05T18@2,10.0
93,43329.0,0.0,False,05T18@2,15.0
94,43329.0,0.0,False,05T18@2,20.0
95,43329.0,0.0,False,05T18@2,25.0
96,43329.0,0.0,False,05T18@2,30.0
97,43329.0,0.0,False,05T18@2,35.0
98,43329.0,0.0,False,05T18@2,40.0
99,43329.0,0.0,False,05T18@2,45.0
100,43329.0,0.0,False,05T18@2,50.0
101,43329.0,0.0,False,05T18@2,55.0
102,43329.0,0.0,False,05T18@2,60.0
103,43329.0,0.0,False,05T18@2,65.0
104,43329.0,0.0,False,05T18@2,70.0
105,43329.0,0.0,False,05T18@2,75.0
106,43329.0,0.0,False,05T18@2,80.0
107,43329.0,0.0,False,05T18@2,85.0
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
