index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,25.0,0,,31.0,0,,44.0,0,,52.0,0,,0.11,557140,0.0,0.0,7,0,0,31,0,0.0,328,359,121,0.0,0.0,0,0,121,200,4.54379722289741,4.54379722289741
1,121,0,0,0,10.0,20,10.0,17.823529411764707,6,1.5,23.20408163265306,4,3.0,29.4375,3,6.0,42.54385964912281,12,37.083333333333336,52.0,0,,0.23,555829,0.0,0.0,17,0,0,27,0,0.0,66,93,67,1096.0,241.0,78,43,67,684,3.774357175454497,8.318154398351908
2,67,0,0,0,10.0,20,10.0,16.956777996070727,5,9.0,23.20408163265306,0,,24.110902255639097,10,1.1,42.54385964912281,0,,52.0,0,,0.2,555093,0.0,0.0,12,0,0,11,0,0.0,42,53,63,522.0,96.0,39,28,63,256,2.1208258662372828,10.438980264589189
3,63,0,0,0,10.0,20,10.0,14.174719946497245,14,5.071428571428571,21.482328482328487,4,2.5,19.02447052089296,22,7.954545454545454,42.47697974217311,3,41.333333333333336,52.0,0,,0.37,553444,0.0,0.0,20,0,0,8,0,0.0,36,44,56,404.0,99.0,30,33,56,580,2.001825600862503,12.440805865451695
4,56,0,0,0,10.0,20,10.0,16.57321945928133,19,23.36842105263158,21.979650743253003,26,22.80769230769231,15.754715153081,30,8.9,39.71849865951742,22,33.59090909090909,52.0,0,,0.27,549566,0.0,0.0,20,0,0,8,0,0.0,29,37,58,307.0,106.0,24,32,58,2243,1.4841619469225409,13.924967812374234
5,58,0,0,0,10.0,20,10.0,16.865428266955742,16,18.0625,21.689891525527464,3,15.666666666666664,14.617433696457178,39,12.17948717948718,42.64897214044199,14,56.0,52.0,20,52.0,0.37,545887,0.0,0.0,29,0,0,7,0,0.0,32,39,53,317.0,102.0,24,34,53,2835,2.073268329724669,15.998236142098904
6,53,0,0,0,10.0,20,10.0,18.34810933958007,35,21.457142857142856,20.592515755530368,33,18.63636363636364,15.910887563140323,53,18.60377358490566,42.363362958631456,22,41.45454545454545,52.0,20,52.0,0.38,539897,0.0,0.0,36,0,0,6,0,0.0,26,32,55,273.0,102.0,19,34,55,4504,2.2160895355045795,18.214325677603483
7,55,0,0,0,10.0,20,10.0,21.523536619220334,31,31.516129032258068,19.8034095542818,4,3.5,14.253441324078407,46,8.956521739130435,42.3839525135645,19,42.473684210526315,52.0,20,52.0,0.37,536127,0.0,0.0,31,0,0,5,0,0.0,32,37,46,303.0,93.0,24,31,46,3450,2.7549064196646214,20.969232097268105
8,46,0,0,0,10.0,20,10.0,22.473803138166513,36,25.527777777777782,23.007746306417,17,37.70588235294117,15.0811690445411,15,24.66666666666667,43.25758222377739,27,46.22222222222222,52.0,16,52.0,0.38,532946,0.0,0.0,32,0,0,3,0,0.0,31,34,44,264.0,92.0,18,28,44,4210,2.0603771526366472,23.029609249904752
9,44,0,0,0,10.000000000000002,20,10.0,23.870126895932113,28,30.67857142857143,21.94631441205455,5,3.8,14.563949078750214,21,10.380952380952381,42.48732448989574,21,38.57142857142857,51.99999999999999,9,52.0,0.39,530298,0.0,0.0,28,0,0,7,0,0.0,28,35,45,280.0,77.0,21,23,45,2574,1.9768540635704996,25.00646331347525
10,45,0,0,0,10.000000000000002,20,10.0,25.16749736686723,71,27.87323943661972,25.42860209316539,22,38.31818181818181,13.87060955076054,38,10.736842105263158,42.050617910934406,24,39.958333333333336,51.99999999999999,14,52.0,0.35,523936,0.0,0.0,28,0,0,5,0,0.0,32,37,51,296.0,69.0,22,23,51,5117,2.5554984565824266,27.561961770057678
11,51,0,0,0,10.000000000000002,20,10.0,25.24694700404028,54,25.537037037037038,31.19056291705345,61,39.983606557377044,14.048902220214064,7,18.857142857142858,41.49912645926428,18,37.66666666666666,51.99999999999999,17,52.0,0.37,520367,0.0,0.0,28,0,0,2,0,0.0,33,35,56,300.0,91.0,23,28,56,5712,2.135016256943345,29.696978027001023
