index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,39.0,0,,51.0,0,,0.0875,428100,0.0,0.0,12,0,0,63,0,0.0,566,629,112,0.0,0,0,0,112,200,5.045644825324416,5.045644825324416
1,112,0,0,0,10.0,20,10.0,15.117647058823529,6,1.0,26.0,0,,36.442307692307686,7,20.0,51.0,0,,0.2875,427439,0.0,0.0,14,0,0,90,0,0.0,43,133,63,1741.0,0,112,0,63,346,2.5648275390267368,7.6104723643511525
2,63,0,0,0,10.0,20,10.0,13.873345935727787,7,5.7142857142857135,26.0,0,,36.286610878661094,1,29.0,51.0,0,,0.2125,427033,0.0,0.0,15,0,0,43,0,0.0,42,85,65,1066.0,0,63,0,65,269,2.2308737207204103,9.841346085071565
3,65,0,0,0,10.0,20,10.0,13.51562185043338,2,5.0,26.0,0,,33.51543318133988,14,25.0,51.0,0,,0.2375,426042,0.0,0.0,14,0,0,48,0,0.0,41,89,65,1099.0,0,65,0,65,560,2.1992609202861786,12.040607005357742
4,65,0,0,0,10.0,20,10.0,11.80683387611042,14,6.357142857142858,26.0,0,,33.51543318133988,0,,51.0,20,51.0,0.2875,425914,0.0,0.0,31,0,0,28,0,0.0,58,86,63,1070.0,0,65,0,63,1309,2.1221280004829173,14.16273500584066
5,63,0,0,0,10.0,20,10.0,11.044787406916434,5,3.0,26.0,0,,32.354006654435764,13,27.76923076923077,51.0,20,51.0,0.2875,424804,0.0,0.0,26,0,0,26,0,0.0,61,87,63,1047.0,0,63,0,63,1596,2.758808160200715,16.921543166041374
6,63,0,0,0,10.0,20,10.0,10.065674489578095,14,6.428571428571429,26.0,0,,31.684777866471034,4,22.0,50.99999999999999,20,51.0,0.3375,424276,0.0,0.0,32,0,0,28,0,0.0,54,82,63,1041.0,0,63,0,63,1398,2.1856604143977165,19.10720358043909
7,63,0,0,0,10.0,20,10.0,9.348274725575642,19,7.105263157894738,26.196078431372552,6,27.66666666666667,30.51241267300713,24,27.79166666666667,50.99999999999999,13,51.0,0.45,422332,0.0,0.0,37,0,0,41,0,0.0,43,84,64,1054.0,0,63,0,64,1831,2.172629548236728,21.279833128675822
8,64,0,0,0,10.0,20,10.0,9.509274457748383,15,10.266666666666667,26.383973288814694,14,27.0,30.688400167307247,2,37.0,51.0,15,51.0,0.475,421892,0.0,0.0,37,0,0,46,0,0.0,41,87,64,1079.0,0,64,0,64,1571,2.134004255756736,23.413837384432554
9,64,0,0,0,10.000000000000002,20,10.0,8.38774241146827,19,3.842105263157895,26.471056347067126,24,26.66666666666667,33.58092397217948,7,61.0,50.99999999999999,16,51.0,0.6125,421110,0.0,0.0,44,0,0,45,0,0.0,45,90,65,1052.0,0,64,0,65,2156,2.1586814150214195,25.57251879945397
10,65,0,0,0,10.000000000000002,20,10.0,8.143025038604534,15,6.7333333333333325,26.42978855162357,30,26.33333333333333,36.09348586162864,12,49.91666666666666,50.99999999999999,15,51.0,0.5625,420474,0.0,0.0,49,0,0,48,0,0.0,44,92,64,1082.0,0,65,0,64,2455,2.136598721146584,27.709117520600557
11,64,0,0,0,10.000000000000002,20,10.0,8.62158203087193,15,11.533333333333333,26.239178200123057,30,25.66666666666667,40.29709011497737,23,53.1304347826087,51.0,13,51.0,0.5875,420105,0.0,0.0,44,0,0,33,0,0.0,57,90,63,1061.0,0,64,0,63,3028,2.8597994782030582,30.568916998803616
12,63,0,0,0,10.000000000000002,20,10.0,8.758911208451515,13,9.76923076923077,26.170608242745963,20,25.8,44.4306511748408,33,54.93939393939394,50.99999999999999,17,51.0,0.5625,419373,0.0,0.0,49,0,0,34,0,0.0,53,87,64,1024.0,0,63,0,64,3523,2.3043441493064165,32.87326114811003
13,64,0,0,0,10.000000000000002,20,10.0,8.431248967525189,14,6.142857142857142,26.17295420167772,10,26.2,45.24466023524312,26,48.53846153846154,50.99999999999999,13,51.0,0.625,418666,0.0,0.0,43,0,0,44,0,0.0,43,87,64,1070.0,0,64,0,64,2473,2.2130323331803083,35.08629348129034
14,64,0,0,0,10.000000000000002,20,10.0,8.6167823550457,20,9.55,26.327410957489928,14,27.57142857142857,48.43943115384018,29,61.44827586206897,50.99999999999999,10,51.0,0.675,417708,0.0,0.0,42,0,0,37,0,0.0,51,88,63,1046.0,0,64,0,63,3069,2.1996639277786016,37.285957409068935
