index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
180,OTHER,T22,0,6,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
62,OTHER,T10,0,2,10,0,-1,-1,SELLER,00T10@0,0,0,-1,-1,0
169,OTHER,T22,0,4,10,0,-1,-1,SELLER,01T22@0,0,0,-1,-1,0
141,OTHER,T10,0,8,10,0,-1,-1,SELLER,00T10@0,0,0,-1,-1,0
54,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
46,OTHER,T22,1,4,10,0,-1,-1,SELLER,01T22@0,0,1,-1,-1,0
319,T35,T22,1,3,19,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
317,T35,T22,1,1,20,1,-1,1,05T35@2,07T22@3,17,1,-1,-1,3
32,OTHER,T10,1,4,10,0,-1,-1,SELLER,00T10@0,0,1,-1,-1,0
127,OTHER,T10,1,5,10,0,-1,-1,SELLER,00T10@0,0,1,-1,-1,0
310,T35,T22,1,4,19,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
307,T35,T22,1,2,19,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
123,OTHER,T10,1,3,10,0,-1,-1,SELLER,00T10@0,0,1,-1,-1,0
302,T35,T22,1,5,19,1,-1,1,05T35@2,07T22@3,17,1,-1,-1,3
303,T35,T22,1,1,19,1,-1,1,05T35@2,06T22@3,17,1,-1,-1,3
118,OTHER,T22,2,5,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
334,T22,T35,2,10,28,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
95,OTHER,T10,2,8,10,0,-1,-1,SELLER,00T10@0,0,2,-1,-1,0
111,OTHER,T10,2,3,10,0,-1,-1,SELLER,00T10@0,0,2,-1,-1,0
329,T10,T35,2,10,28,-1,-1,1,00T10@0,03T35@1,17,-1,-1,-1,1
348,T35,T22,2,3,19,2,-1,2,05T35@2,07T22@3,17,2,-1,-1,3
153,OTHER,T22,2,2,10,0,-1,-1,SELLER,01T22@0,0,2,-1,-1,0
35,OTHER,T10,2,2,10,0,-1,-1,SELLER,00T10@0,0,2,-1,-1,0
328,T35,T22,3,3,20,1,-1,1,05T35@2,07T22@3,17,3,-1,-1,3
363,T35,T22,3,3,19,3,-1,3,05T35@2,06T22@3,17,3,-1,-1,3
70,OTHER,T10,3,7,10,0,-1,-1,SELLER,00T10@0,0,3,-1,-1,0
25,OTHER,T22,3,6,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
133,OTHER,T22,3,4,10,0,-1,-1,SELLER,01T22@0,0,3,-1,-1,0
165,OTHER,T10,3,3,10,0,-1,-1,SELLER,00T10@0,0,3,-1,-1,0
357,T10,T35,3,10,28,-1,-1,2,00T10@0,02T35@1,17,-1,-1,-1,1
114,T22,OTHER,4,2,50,0,-1,-1,07T22@3,BUYER,0,4,-1,-1,4
172,OTHER,T10,4,3,10,0,-1,-1,SELLER,00T10@0,0,4,-1,-1,0
210,T22,OTHER,4,1,50,0,-1,-1,06T22@3,BUYER,0,4,-1,-1,4
208,T22,OTHER,4,7,50,0,-1,-1,06T22@3,BUYER,0,4,-1,-1,4
167,OTHER,T10,4,7,10,0,-1,-1,SELLER,00T10@0,0,4,-1,-1,0
3,T22,OTHER,4,4,50,0,-1,-1,07T22@3,BUYER,0,4,-1,-1,4
333,T22,T35,4,13,28,-1,-1,1,01T22@0,03T35@1,17,-1,-1,-1,1
100,OTHER,T10,4,1,10,0,-1,-1,SELLER,00T10@0,0,4,-1,-1,0
129,OTHER,T22,4,5,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
27,OTHER,T22,4,4,10,0,-1,-1,SELLER,01T22@0,0,4,-1,-1,0
386,T35,T22,4,3,19,4,-1,4,05T35@2,07T22@3,17,4,-1,-1,3
311,T35,T22,4,3,20,1,-1,1,05T35@2,07T22@3,17,4,-1,-1,3
51,T22,OTHER,4,6,50,0,-1,-1,07T22@3,BUYER,0,4,-1,-1,4
85,OTHER,T10,5,3,10,0,-1,-1,SELLER,00T10@0,0,5,-1,-1,0
400,T10,T35,5,10,28,-1,-1,4,00T10@0,02T35@1,17,-1,-1,-1,1
76,OTHER,T22,5,2,10,0,-1,-1,SELLER,01T22@0,0,5,-1,-1,0
181,T22,OTHER,5,3,50,0,-1,-1,07T22@3,BUYER,0,5,-1,-1,4
305,T35,T22,5,3,20,1,-1,1,05T35@2,06T22@3,17,5,-1,-1,3
