index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,41.0,0,,53.0,0,,0.0,205858,0.0,0.0,8,0,0,26,0,0.0,202,228,109,0.0,0.0,0,0,109,200,5.330197049304843,5.330197049304843
1,109,0,0,0,10.0,20,10.0,20.0,0,,26.4468085106383,2,14.0,38.17307692307692,7,20.0,53.0,0,,0.2875,205249,0.0,0.0,13,0,0,6,0,0.0,44,50,91,600.0,622.0,32,77,91,368,83.47869247943163,88.80888952873647
2,91,0,0,0,10.0,20,10.0,20.524590163934427,16,22.0,26.4468085106383,0,,38.17307692307692,0,,53.0,0,,0.3875,205001,0.0,0.0,10,0,0,4,0,0.0,29,33,86,222.0,407.0,16,75,86,552,48.25366324558854,137.062552774325
3,86,0,0,0,10.0,20,10.0,20.857545839210157,16,22.0,29.994764397905758,15,40.0,34.24757281553398,15,22.0,53.0,0,,0.7375,203451,0.0,0.0,17,0,0,1,0,0.0,29,30,86,197.0,296.0,13,73,86,1482,30.97293846309185,168.0354912374169
4,86,0,0,0,10.0,20,10.0,21.086580628993858,16,22.0,31.190541232712988,7,40.0,32.707481923923304,8,22.0,53.0,20,53.0,0.6499999999999999,204200,0.0,0.0,23,0,0,0,0,0.0,29,29,73,130.0,251.0,12,74,73,2068,27.82680650614202,195.86229774355888
5,73,0,0,0,10.0,20,10.0,21.2529802229332,16,22.0,29.675176611377765,25,26.48,36.765366201790115,10,60.0,53.0,20,53.0,0.7124999999999999,204341,0.0,0.0,22,0,0,2,0,0.0,25,27,98,139.0,267.0,10,63,98,2874,25.954299269244075,221.81659701280296
6,98,0,0,0,10.0,20,10.0,21.378733056906064,16,22.0,32.20010397893447,22,40.22727272727273,40.03217979931389,70,42.857142857142854,53.00000000000001,18,53.0,0.9,200852,0.0,0.0,26,0,0,0,0,0.0,32,32,88,190.0,298.0,15,83,88,5391,34.39659411273897,256.2131911255419
7,88,0,0,0,10.0,20,10.0,21.476626746367423,16,22.0,32.886465733374486,7,41.0,39.01345880854392,199,38.41206030150753,53.0,9,53.0,0.925,168757,0.0,0.0,28,0,0,0,0,0.0,25,25,79,181.0,296.0,11,77,79,8960,34.878290770575404,291.09148189611733
8,79,0,0,0,10.0,20,10.0,21.554605882270607,16,22.0,33.72521216355427,10,40.5,39.34672784475681,130,40.07692307692308,53.00000000000001,13,53.0,0.8125,155676,0.0,0.0,27,0,0,0,0,0.0,30,30,68,165.0,235.0,12,67,68,6856,20.10647613555193,311.19795803166926
9,68,0,0,0,10.000000000000002,20,10.0,21.617867258330026,16,22.0,33.72521216355427,0,,42.37930663974422,68,59.029411764705884,53.00000000000001,9,53.0,0.9125,150493,0.0,0.0,23,0,0,0,0,0.0,26,26,74,156.0,301.0,10,58,74,5043,22.42737604491413,333.6253340765834
10,74,0,0,0,10.000000000000002,20,10.0,21.669953889265976,16,22.0,34.71634581564902,14,40.5,42.84343647396842,47,46.76595744680851,53.0,11,53.0,0.825,147687,0.0,0.0,24,0,0,0,0,0.0,28,28,56,175.0,258.0,11,63,56,3900,21.730877052992586,355.356211129576
11,56,0,0,1,10.000000000000002,20,10.0,21.713364811545752,16,22.0,36.15420038291077,27,40.74074074074074,42.84343647396842,0,,53.0,9,53.0,0.925,159262,0.0,0.1,21,0,0,0,10,175.45331790123456,26,26,54,137.0,241.0,9,47,54,2129,14.224233848974107,369.58044497855013
12,54,0,0,0,10.000000000000002,20,10.0,21.74991352463088,16,22.0,36.15420038291077,0,,43.80374873846573,20,63.0,53.0,10,53.0,0.75,159544,0.0,0.1,17,0,0,4,3,168.45331790123456,21,25,26,175.0,162.0,11,43,26,2342,9.372499844059348,378.9529448226094
13,26,0,0,0,10.000000000000002,20,10.0,21.780948180878205,16,22.0,37.26070868601883,32,40.78125,44.69342634136972,20,61.5,53.00000000000001,8,53.0,0.725,159230,0.0,0.1,24,0,0,0,2,107.89012345679012,22,22,21,80.0,88.0,6,20,21,3511,2.442781532183289,381.3957263547927
14,21,0,0,0,10.000000000000002,20,10.0,21.80749197834762,16,22.0,37.65048650294587,17,40.411764705882355,46.03145517679986,30,62.0,53.0,11,53.0,0.8125,158385,0.0,0.1,23,0,0,0,1,1.0,25,25,21,96.0,75.0,6,15,21,3682,2.0216351673007007,383.41736152209336
15,21,0,0,0,10.000000000000002,20,10.0,21.83033557443304,16,22.0,37.7763319642906,7,40.0,47.931188506218845,50,61.2,53.0,16,53.0,0.875,155805,0.0,0.1,24,0,0,1,1,69.07222222222222,19,20,24,112.0,77.0,6,15,24,4740,2.7808676566928625,386.19822917878633
16,24,0,0,0,10.000000000000002,20,10.0,21.85009962078032,16,22.0,36.21023153931874,20,27.0,49.55208212798131,50,61.2,53.0,20,53.0,0.8,153213,0.0,0.1,26,0,0,0,2,2.0,21,21,26,93.0,67.0,5,19,26,5212,1.862382309511304,388.06061148829764
17,26,0,0,0,10.000000000000002,20,10.0,21.867278115393944,16,22.0,36.118056004330505,12,35.166666666666664,50.167359687647505,20,61.5,53.0,20,53.0,0.925,153101,0.0,0.1,23,0,0,0,2,2.0,26,26,27,115.0,67.0,7,19,27,3264,2.3563851565122604,390.41699664480973
