,balance,assets,bankrupt,agent_id,step
0,21470.0,90.0,False,00T23@0,0.0
1,20145.0,610.0,False,00T23@0,5.0
2,18439.0,1130.0000000000002,False,00T23@0,10.0
3,17430.0,1650.0000000000002,False,00T23@0,15.0
4,16032.0,2270.0000000000005,False,00T23@0,20.0
5,14638.0,2790.0000000000005,False,00T23@0,25.0
6,13891.0,3240.0000000000005,False,00T23@0,30.0
7,12741.0,3680.0,False,00T23@0,35.0
8,11591.0,4210.0,False,00T23@0,40.0
9,10913.0,4770.0,False,00T23@0,45.0
10,10240.0,5290.0,False,00T23@0,50.0
11,9155.0,5779.999999999997,False,00T23@0,55.0
12,8200.0,6309.999999999997,False,00T23@0,60.0
13,7794.0,6590.0,False,00T23@0,65.0
14,21450.0,210.0,False,01T22@0,0.0
15,21801.0,349.0961170610453,False,01T22@0,5.0
16,21450.0,242.8100256280658,False,01T22@0,10.0
17,19974.0,299.3508697325607,False,01T22@0,15.0
18,16196.0,176.7559218658311,False,01T22@0,20.0
19,16306.0,255.05755974494247,False,01T22@0,25.0
20,14602.0,322.8431579084991,False,01T22@0,30.0
21,14706.0,403.84279436489777,False,01T22@0,35.0
22,15320.0,735.3215420168452,False,01T22@0,40.0
23,16970.0,294.57845277360735,False,01T22@0,45.0
24,17942.0,273.6001442225392,False,01T22@0,50.0
25,18083.0,964.3107912311807,False,01T22@0,55.0
26,19897.0,241.96170484879548,False,01T22@0,60.0
27,19577.0,990.8296995771533,False,01T22@0,65.0
28,31071.0,0.0,False,02T35@1,0.0
29,30218.0,0.0,False,02T35@1,5.0
30,24228.0,2328.100256280658,False,02T35@1,10.0
31,17123.0,6354.096308447735,False,02T35@1,15.0
32,14370.0,8736.792709368223,False,02T35@1,20.0
33,11556.0,10414.946289160054,False,02T35@1,25.0
34,7084.0,14614.079579712548,False,02T35@1,30.0
35,292.0,17391.822127449188,False,02T35@1,35.0
36,-27982.666666666664,18895.014750253235,True,02T35@1,40.0
37,-27982.666666666664,19367.142743028053,True,02T35@1,45.0
38,-27982.666666666664,19295.530557089867,True,02T35@1,50.0
39,-27982.666666666664,17997.77629424275,True,02T35@1,55.0
40,-27982.666666666664,17711.596794931833,True,02T35@1,60.0
41,-27982.666666666664,17268.746192630384,True,02T35@1,65.0
42,31071.0,0.0,False,03T22@1,0.0
43,30338.0,1212.239688609583,False,03T22@1,5.0
44,28889.0,4378.1867082886665,False,03T22@1,10.0
45,30297.0,4853.311610353904,False,03T22@1,15.0
46,29633.0,6307.4275631332275,False,03T22@1,20.0
47,30582.0,6979.5520064392,False,03T22@1,25.0
48,30260.0,8679.722104126873,False,03T22@1,30.0
49,31368.0,8547.308717022055,False,03T22@1,35.0
50,30498.0,10131.447956931548,False,03T22@1,40.0
51,30345.0,11794.916074094988,False,03T22@1,45.0
52,30552.0,12881.472362308423,False,03T22@1,50.0
53,31694.0,12116.24631688743,False,03T22@1,55.0
54,31401.0,13230.994325784597,False,03T22@1,60.0
55,32039.0,13402.68817386564,False,03T22@1,65.0
56,45085.0,0.0,False,04T40@2,0.0
57,44977.0,1253.735499243691,False,04T40@2,5.0
58,36745.0,9431.457170107635,False,04T40@2,10.0
59,29545.0,17142.047500403532,False,04T40@2,15.0
60,27544.0,19608.44859408141,False,04T40@2,20.0
61,23063.0,24726.886239590727,False,04T40@2,25.0
62,20289.0,28140.189335894614,False,04T40@2,30.0
63,17299.0,30367.693299423223,False,04T40@2,35.0
64,14091.0,35441.248324257205,False,04T40@2,40.0
65,10815.0,40393.304775804034,False,04T40@2,45.0
66,8583.0,43572.758192998685,False,04T40@2,50.0
67,4824.0,47927.8271116683,False,04T40@2,55.0
68,3336.0,49714.674531372366,False,04T40@2,60.0
69,4480.0,48480.649407371326,False,04T40@2,65.0
70,45085.0,0.0,False,05T24@2,0.0
71,44703.0,0.0,False,05T24@2,5.0
72,44447.0,0.0,False,05T24@2,10.0
73,44167.0,0.0,False,05T24@2,15.0
74,43899.0,0.0,False,05T24@2,20.0
75,43615.0,0.0,False,05T24@2,25.0
76,43258.0,0.0,False,05T24@2,30.0
77,43002.0,0.0,False,05T24@2,35.0
78,42466.0,194.255872491054,False,05T24@2,40.0
79,42383.0,0.0,False,05T24@2,45.0
80,42097.0,0.0,False,05T24@2,50.0
81,41771.0,0.0,False,05T24@2,55.0
82,41515.0,0.0,False,05T24@2,60.0
83,41217.0,0.0,False,05T24@2,65.0
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
