index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,12,10.0,19.0,0,,28.0,0,,36.0,0,,0.18333333333333332,309152,0.0,0.0,4,0,0,218,0,0.0,488,706,133,0.0,0.0,0,0,133,120,32.465511033311486,32.465511033311486
1,133,0,0,0,9.999999999999998,13,10.0,18.80434782608696,1,10.0,20.849462365591396,48,14.145833333333336,36.0,0,,0.18333333333333332,306019,0.0,0.0,15,0,0,20,0,0.0,69,89,56,1200.0,505.0,75,58,56,819,82.1787734478712,114.64428448118271
2,56,0,0,0,10.0,10,10.0,18.80434782608696,0,,20.10665258711721,11,14.454545454545455,36.0,0,,0.2333333333333333,305503,0.0,0.0,6,0,0,11,0,0.0,22,33,35,216.0,203.0,17,39,35,259,82.82415628433229,197.468440765515
3,35,0,0,0,10.0,10,10.0,18.80434782608696,0,,19.522913852229035,11,15.0,36.0,20,36.0,0.2333333333333333,304717,0.0,0.0,13,0,0,12,0,0.0,25,37,35,270.0,122.0,20,15,35,985,104.00757149793208,301.4760122634471
4,35,0,0,0,10.0,10,10.0,20.734732824427482,11,28.0,18.951724773837945,11,14.454545454545455,36.0,20,36.0,0.4,303934,0.0,0.0,15,0,0,13,0,0.0,18,31,31,219.0,128.0,17,18,31,1287,82.96243007108569,384.4384423345328
5,31,0,0,0,10.0,10,10.0,22.108837689133424,11,28.0,19.642865465596763,16,23.4375,36.0,20,36.0,0.23333333333333334,303137,0.0,0.0,16,0,0,12,0,0.0,19,31,35,180.0,124.0,15,16,35,1503,64.1447070594877,448.58314939402044
6,35,0,0,0,10.0,9,10.0,23.13186726446072,11,28.0,20.828968369112577,5,43.0,36.0,20,36.0,0.2333333333333333,302770,0.0,0.0,15,0,0,15,0,0.0,21,36,30,255.0,122.0,19,16,30,1333,80.54615136422217,529.1293007582426
7,30,0,0,0,10.000000000000002,9,10.0,24.98419633384416,38,27.76315789473684,21.428637261210707,44,22.63636363636364,36.0,20,36.0,0.4,300525,0.0,0.0,22,0,0,12,0,0.0,23,35,25,243.0,46.0,19,11,25,2861,85.49772986955941,614.627030627802
8,25,0,0,0,10.0,12,10.0,25.44191535597227,11,29.0,22.16722822407446,23,26.0,36.0,20,36.0,0.3833333333333333,299839,0.0,0.0,18,0,0,11,0,0.0,17,28,27,118.0,52.0,12,13,27,1757,44.291995851323,658.919026479125
9,27,0,0,0,10.0,12,10.0,26.45731347784411,28,29.607142857142854,23.13396249410405,16,30.875,36.0,20,36.0,0.36666666666666653,298989,0.0,0.0,16,0,0,11,0,0.0,21,32,26,168.0,50.0,15,12,26,2163,70.2805827409029,729.1996092200279
10,26,0,0,0,10.0,9,10.0,27.128653060818483,28,29.607142857142854,25.37225391879738,26,36.53846153846154,36.0,20,36.0,0.3833333333333333,297706,0.0,0.0,16,0,0,12,0,0.0,17,29,27,141.0,89.0,12,14,27,2589,46.59266426786781,775.7922734878958
11,27,0,0,0,10.0,13,10.0,27.343789624437427,22,28.5,26.09723958703107,35,29.0,35.99999999999999,20,36.0,0.43333333333333335,296077,0.0,0.0,21,0,0,11,0,0.0,21,32,29,171.0,78.0,16,11,29,2492,55.188817856833346,830.9810913447292
12,29,0,0,0,10.0,9,10.0,27.675329389760996,18,30.0,23.36259185042864,47,14.191489361702127,36.0,20,36.0,0.4,293623,0.0,0.0,19,0,0,10,0,0.0,26,36,31,258.0,60.0,19,10,31,2017,49.855324015021324,880.8364153597504
13,31,0,0,0,9.999999999999998,11,10.0,27.86732304912189,22,29.0,28.406258944239987,121,36.08264462809917,36.00000000000001,20,36.0,0.4,282669,0.0,0.0,22,0,0,12,0,0.0,19,31,27,165.0,93.0,15,16,27,5834,41.501963013783104,922.3383783735336
14,27,0,0,0,9.999999999999998,13,10.0,27.631550968273302,51,27.0,27.59942994248498,16,13.75,36.00000000000001,20,36.0,0.4,280412,0.0,0.0,18,0,0,10,0,0.0,21,31,24,168.0,67.0,15,12,24,2447,60.040535809472196,982.3789141830057
15,24,0,0,0,9.999999999999998,13,10.0,27.573781996010386,17,27.0,26.302572844026884,90,22.53333333333333,36.00000000000001,20,36.0,0.43333333333333335,276472,0.0,0.0,25,0,0,9,0,0.0,20,29,24,144.0,80.0,13,11,24,3337,56.08476595208049,1038.4636801350862
16,24,0,0,0,9.999999999999996,11,10.0,25.20706771689711,38,14.789473684210524,27.6535722786795,88,32.51136363636363,36.00000000000001,20,36.0,0.3833333333333333,271499,0.0,0.0,21,0,0,9,0,0.0,21,30,25,148.0,63.0,13,11,25,4253,56.36673598550261,1094.8304161205888
17,25,0,0,0,9.999999999999996,10,10.0,25.20706771689711,0,,27.498496622302557,37,25.97297297297297,36.00000000000001,20,36.0,0.43333333333333335,270254,0.0,0.0,16,0,0,8,0,0.0,21,29,31,144.0,98.0,13,12,31,1781,85.35657644458115,1180.18699256517
18,31,0,0,0,9.999999999999996,9,10.0,25.48259406879896,23,27.695652173913047,26.37757082674663,57,19.28070175438597,36.00000000000001,20,36.0,0.4,267825,0.0,0.0,23,0,0,11,0,0.0,22,33,32,255.0,98.0,19,12,32,2546,98.78616395033896,1278.9731565155091
19,32,0,0,0,9.999999999999996,9,10.0,25.694736593791838,12,29.0,27.17881798826241,54,32.75925925925926,36.00000000000001,20,36.0,0.3833333333333333,265645,0.0,0.0,19,0,0,13,0,0.0,22,35,36,204.0,135.0,18,14,36,2927,93.43025158904491,1372.4034081045536
20,36,0,0,0,9.999999999999996,10,10.0,26.087422384352642,65,27.169230769230772,27.02089761175595,54,25.88888888888889,36.00000000000001,20,36.0,0.4,261163,0.0,0.0,22,0,0,13,0,0.0,21,34,28,282.0,117.0,22,14,28,3984,93.14420405589044,1465.5476121604447
21,28,0,0,0,9.999999999999996,12,10.0,26.289518182917863,47,27.23404255319149,27.620210920532045,34,34.617647058823536,36.00000000000001,20,36.0,0.3833333333333333,258898,0.0,0.0,18,0,0,10,0,0.0,19,29,29,162.0,119.0,14,14,29,3297,59.689593644812696,1525.237205805257
