index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,38.0,0,,44.0,0,,59.0,0,,0.0,613992,0.0,0.0,10,0,0,0,0,0.0,454,454,137,0.0,0.0,0,0,137,200,6.346832375973463,6.346832375973463
1,137,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,30.16949152542373,14,5.0,39.936708860759495,34,34.55882352941177,59.0,0,,0.1,610317,0.0,0.0,20,0,0,11,0,0.0,89,100,59,1099.0,231.0,82,55,59,1445,3.643921477720141,9.990753853693603
2,59,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,16.580211335254564,51,2.431372549019608,40.227934044616866,32,40.875,59.0,0,,0.1,604304,0.0,0.0,25,0,0,5,0,0.0,62,67,40,638.0,58.0,49,10,40,1632,1.8566438369452956,11.8473976906389
3,40,0,0,0,10.0,20,10.0,18.0,0,,29.97826086956522,1,29.0,11.789488035994275,53,3.320754716981132,40.10131751290545,37,39.78378378378378,59.0,0,,0.1,597668,0.0,0.0,25,0,0,5,0,0.0,43,48,31,369.0,39.0,29,11,31,1877,1.603363871574402,13.450761562213302
4,31,0,0,0,10.0,20,10.0,18.0,0,,31.795801526717558,11,38.63636363636363,10.951437623811872,28,7.0,40.33909672616182,39,41.05128205128205,59.0,0,,0.04,592812,0.0,0.0,28,0,0,4,0,0.0,36,40,36,272.0,36.0,22,9,36,2422,1.6014159079641104,15.052177470177412
5,36,0,0,0,10.0,20,10.0,18.0,0,,29.944142042509075,30,27.03333333333333,9.440878911799812,33,2.8484848484848486,40.197467191244776,55,39.836363636363615,59.0,20,59.0,0.1,584672,0.0,0.0,45,0,0,6,0,0.0,37,43,37,317.0,52.0,26,10,37,4476,1.6366598792374134,16.688837349414822
6,37,0,0,0,10.0,20,10.0,18.0,0,,33.329828979735275,33,40.45454545454545,7.437976899752215,71,2.943661971830986,40.62269234837387,39,42.53846153846154,59.0,20,59.0,0.1,575168,0.0,0.0,42,0,0,8,0,0.0,35,43,35,283.0,41.0,25,12,35,4583,1.6699274703860283,18.35876481980085
7,35,0,0,0,10.0,20,10.0,18.0,0,,33.542493966409786,21,34.476190476190474,6.9286578073429235,34,3.8235294117647056,40.19680100827832,32,37.625,59.0,20,59.0,0.09,569112,0.0,0.0,37,0,0,4,0,0.0,34,38,30,205.0,57.0,19,16,30,3438,1.2901016063988209,19.648866426199675
8,30,0,0,0,10.0,20,10.0,18.0,0,,36.636191108923285,17,55.17647058823529,6.516666675021863,28,3.321428571428572,40.65552777622376,29,43.862068965517246,59.0,20,59.0,0.09,564255,0.0,0.0,34,0,0,1,0,0.0,36,37,29,215.0,36.0,18,12,29,3683,1.0312084276229143,20.68007485382259
9,29,0,0,0,10.000000000000002,20,10.0,18.0,0,,38.176682173619305,18,47.33333333333334,6.6477889145258064,14,8.714285714285714,40.58787242167067,24,40.0,59.0,20,59.0,0.02,560660,0.0,0.0,36,0,0,2,0,0.0,35,37,31,183.0,59.0,16,13,31,3314,1.949635470286012,22.6297103241086
