index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,25.0,0,,34.0,0,,46.0,0,,0.0,547640,0.0,0.0,7,0,0,0,0,0.0,1083,1083,32,0.0,0.0,0,0,32,200,0.7689854092895985,0.7689854092895985
1,32,0,0,0,10.0,20,10.0,13.833333333333336,9,8.0,26.2,5,37.0,34.0,0,,46.0,0,,0.1125,547115,0.0,0.0,14,0,0,11,0,0.0,28,39,25,450.0,126.0,25,7,25,457,3.076863043010235,3.845848452299833
2,25,0,0,0,10.0,20,10.0,13.289179104477613,5,8.0,26.2,0,,33.0,3,18.0,46.0,0,,0.1,546700,0.0,0.0,10,0,0,7,0,0.0,18,25,23,234.0,141.0,13,12,23,294,1.0037277638912199,4.8495762161910525
3,23,0,0,0,10.0,20,10.0,13.289179104477613,0,,27.28,5,37.0,32.02597402597403,3,18.0,46.0,0,,0.0375,546377,0.0,0.0,8,0,0,6,0,0.0,19,25,21,216.0,123.0,12,11,21,439,0.7543619219213724,5.603938138112426
4,21,0,0,0,10.0,20,10.0,12.884188361408885,4,8.0,29.04727272727273,10,37.0,30.7950855638438,4,18.0,46.0,20,46.0,0.1,545994,0.0,0.0,17,0,0,3,0,0.0,21,24,20,180.0,123.0,10,11,20,1594,0.5292372293770313,6.133175367489457
5,20,0,0,0,10.0,20,10.0,12.501234906695938,4,8.0,29.04727272727273,0,,29.658300386477727,4,18.0,46.0,20,46.0,0.1,545498,0.0,0.0,16,0,0,4,0,0.0,18,22,20,180.0,120.0,10,10,20,1224,0.9415242224931716,7.074699589982629
6,20,0,0,0,10.0,20,10.0,12.140518567788053,4,8.0,31.335827338129498,20,37.0,28.154643829079237,6,18.0,45.99999999999999,20,46.0,0.125,544571,0.0,0.0,19,0,0,4,0,0.0,19,23,20,180.0,120.0,10,10,20,2000,0.9827351942658424,8.057434784248471
7,20,0,0,0,10.0,20,10.0,11.514624843357213,8,8.0,32.829267110841926,20,37.5,27.071315883691632,5,18.0,45.99999999999999,20,46.0,0.1625,543331,0.0,0.0,22,0,0,3,0,0.0,19,22,22,180.0,120.0,10,10,22,2024,0.9488491117954254,9.006283896043898
8,22,0,0,0,10.0,20,10.0,11.372993659726172,2,8.0,34.25637403357885,35,37.285714285714285,26.10998520210599,5,18.0,45.99999999999999,20,46.0,0.0875,541808,0.0,0.0,22,0,0,6,0,0.0,18,24,22,216.0,120.0,12,10,22,2531,0.6382454559206963,9.644529351964591
9,22,0,0,0,10.000000000000002,20,10.0,11.095766607143966,4,8.0,34.707608222960246,15,37.66666666666666,24.56413472199579,10,18.0,46.0,20,46.0,0.175,540674,0.0,0.0,20,0,0,7,0,0.0,16,23,24,216.0,120.0,12,10,24,1897,0.7758623156696558,10.420391667634247
