index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
30,OTHER,T22,0,4,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
147,OTHER,T22,0,1,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
107,OTHER,T22,0,6,10,0,-1,-1,SELLER,00T22@0,0,0,-1,-1,0
164,OTHER,T23,0,5,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
16,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
235,T23,T35,1,9,16,1,-1,1,03T23@1,05T35@2,17,1,-1,-1,2
230,T22,T23,1,7,48,1,-1,1,00T22@0,03T23@1,13,1,-1,-1,1
22,OTHER,T22,1,5,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
241,T23,T35,1,13,12,-1,-1,1,03T23@1,05T35@2,15,-1,-1,-1,2
220,T23,T09,1,8,2,1,-1,1,01T23@0,02T09@1,13,1,-1,-1,1
232,T23,T35,1,5,1,1,-1,1,03T23@1,05T35@2,11,1,-1,-1,2
101,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
240,T23,T09,1,40,2,-1,-1,1,01T23@0,02T09@1,12,-1,-1,-1,1
206,T23,T10,1,1,2,1,-1,1,03T23@1,04T10@2,15,1,-1,-1,2
214,T23,T10,1,5,11,1,-1,1,03T23@1,04T10@2,16,1,-1,-1,2
1,OTHER,T23,1,7,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
210,T23,T10,1,1,1,1,-1,1,03T23@1,04T10@2,9,1,-1,-1,2
69,OTHER,T22,1,2,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
103,OTHER,T22,1,4,10,0,-1,-1,SELLER,00T22@0,0,1,-1,-1,0
212,T23,T35,1,1,4,1,-1,1,03T23@1,05T35@2,12,1,-1,-1,2
242,T23,T09,2,25,2,-1,-1,1,01T23@0,02T09@1,12,-1,-1,-1,1
87,OTHER,T22,2,2,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
207,T23,T35,2,2,9,1,-1,1,03T23@1,05T35@2,16,2,-1,-1,2
246,T23,T23,2,6,9,2,-1,2,01T23@0,03T23@1,5,2,-1,-1,1
228,T23,T10,2,6,3,1,-1,1,03T23@1,04T10@2,11,2,-1,-1,2
159,OTHER,T23,2,4,10,0,-1,-1,SELLER,01T23@0,0,2,-1,-1,0
237,T23,T09,2,24,2,-1,-1,1,01T23@0,02T09@1,10,-1,-1,-1,1
59,OTHER,T22,2,6,10,0,-1,-1,SELLER,00T22@0,0,2,-1,-1,0
