index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
271,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
243,OTHER,T23,0,3,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
467,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
617,OTHER,T23,0,1,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
339,OTHER,T23,0,2,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
469,OTHER,T23,0,1,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
354,OTHER,T23,0,2,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
390,OTHER,T23,0,5,10,0,-1,-1,SELLER,00T23@0,0,0,-1,-1,0
40,OTHER,T23,0,4,10,0,-1,-1,SELLER,01T23@0,0,0,-1,-1,0
734,T35,T23,1,7,27,1,-1,1,03T35@1,05T23@2,12,1,-1,-1,2
265,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
743,T35,T23,1,4,29,1,-1,1,03T35@1,05T23@2,13,1,-1,-1,2
305,OTHER,T23,1,1,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
639,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
239,OTHER,T23,1,3,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
787,T35,T23,1,3,29,1,-1,1,03T35@1,05T23@2,11,1,-1,-1,2
791,T35,T23,1,13,28,-1,-1,1,03T35@1,05T23@2,12,-1,-1,-1,2
749,T35,T23,1,6,30,1,-1,1,03T35@1,05T23@2,14,1,-1,-1,2
130,OTHER,T23,1,1,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
782,T35,T23,1,9,23,1,-1,1,03T35@1,05T23@2,15,1,-1,-1,2
738,T35,T23,1,3,28,1,-1,1,03T35@1,05T23@2,12,1,-1,-1,2
755,T35,T23,1,9,28,1,-1,1,03T35@1,05T23@2,11,1,-1,-1,2
767,T35,T23,1,5,21,1,-1,1,03T35@1,05T23@2,15,1,-1,-1,2
763,T34,T20,1,5,30,1,-1,1,02T34@1,04T20@2,20,1,-1,-1,2
740,T35,T23,1,10,25,1,-1,1,03T35@1,05T23@2,14,1,-1,-1,2
773,T35,T23,1,10,25,1,-1,1,03T35@1,05T23@2,13,1,-1,-1,2
674,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
506,OTHER,T23,1,2,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
358,OTHER,T23,1,3,10,0,-1,-1,SELLER,01T23@0,0,1,-1,-1,0
14,OTHER,T23,1,2,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
685,OTHER,T23,1,1,10,0,-1,-1,SELLER,00T23@0,0,1,-1,-1,0
