index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
881,OTHER,T35,0,4,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
898,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
50,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
559,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
396,OTHER,T35,0,3,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
974,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
409,OTHER,T34,0,1,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
760,OTHER,T35,0,1,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
284,OTHER,T35,0,2,10,0,-1,-1,SELLER,01T35@0,0,0,-1,-1,0
167,OTHER,T34,0,1,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
420,OTHER,T34,0,3,10,0,-1,-1,SELLER,00T34@0,0,0,-1,-1,0
1471,T35,T35,1,5,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
865,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
370,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
171,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
717,OTHER,T34,1,1,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
63,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
257,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
1635,T35,T00,1,27,15,-1,-1,1,02T35@1,04T00@2,17,-1,-1,-1,2
1630,T35,T00,1,20,12,-1,-1,1,03T35@1,04T00@2,17,-1,-1,-1,2
1622,T35,T00,1,20,12,-1,-1,1,02T35@1,04T00@2,17,-1,-1,-1,2
1628,T35,T00,1,33,15,-1,-1,1,02T35@1,04T00@2,17,-1,-1,-1,2
1625,T35,T00,1,50,14,-1,-1,1,03T35@1,04T00@2,17,-1,-1,-1,2
1480,T35,T35,1,3,14,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
1488,T35,T35,1,5,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1613,T35,T35,1,3,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1501,T35,T35,1,6,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1593,T35,T35,1,5,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1582,T35,T35,1,6,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1567,T35,T35,1,4,14,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1530,T35,T35,1,7,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
812,OTHER,T34,1,2,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
1554,T35,T35,1,4,13,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
1547,T35,T35,1,8,13,1,-1,1,03T35@1,05T35@2,17,1,-1,-1,2
1629,T35,T00,1,27,15,-1,-1,1,03T35@1,04T00@2,17,-1,-1,-1,2
250,OTHER,T34,1,1,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
1539,T35,T35,1,5,13,1,-1,1,02T35@1,05T35@2,17,1,-1,-1,2
419,OTHER,T35,1,3,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
472,OTHER,T34,1,1,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
595,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
389,OTHER,T35,1,1,10,0,-1,-1,SELLER,01T35@0,0,1,-1,-1,0
209,OTHER,T34,1,3,10,0,-1,-1,SELLER,00T34@0,0,1,-1,-1,0
130,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1638,T35,T35,2,8,10,2,-1,2,01T35@0,02T35@1,17,2,-1,-1,1
607,OTHER,T34,2,1,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
433,OTHER,T34,2,3,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
755,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1728,T35,T35,2,16,11,-1,-1,2,01T35@0,03T35@1,17,-1,-1,-1,1
306,OTHER,T34,2,3,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
994,OTHER,T34,2,1,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
1726,T35,T35,2,16,11,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
310,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
815,OTHER,T34,2,1,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
1724,T35,T35,2,13,9,-1,-1,2,01T35@0,02T35@1,17,-1,-1,-1,1
172,OTHER,T34,2,1,10,0,-1,-1,SELLER,00T34@0,0,2,-1,-1,0
1580,T35,T35,2,5,14,1,-1,1,02T35@1,05T35@2,17,2,-1,-1,2
1571,T35,T35,2,5,13,1,-1,1,03T35@1,05T35@2,17,2,-1,-1,2
933,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
1686,T35,T35,2,7,13,2,-1,2,02T35@1,05T35@2,17,2,-1,-1,2
1725,T35,T00,2,56,14,-1,-1,2,02T35@1,04T00@2,17,-1,-1,-1,2
957,OTHER,T35,2,2,10,0,-1,-1,SELLER,01T35@0,0,2,-1,-1,0
518,OTHER,T34,3,2,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
860,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
753,OTHER,T34,3,2,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
527,T35,OTHER,3,2,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
228,OTHER,T34,3,3,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
476,T35,OTHER,3,4,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
859,T35,OTHER,3,1,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
978,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
872,OTHER,T34,3,1,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
1507,T35,T35,3,3,13,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
1027,T00,OTHER,3,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1551,T35,T35,3,5,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
1510,T35,T35,3,6,13,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
1570,T35,T35,3,5,14,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
1529,T35,T35,3,5,14,1,-1,1,03T35@1,05T35@2,17,3,-1,-1,2
387,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
1633,T35,T00,3,33,12,-1,-1,1,03T35@1,04T00@2,17,-1,-1,-1,2
1247,T00,OTHER,3,3,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1735,T35,T35,3,6,13,3,-1,3,03T35@1,05T35@2,17,3,-1,-1,2
1700,T35,T35,3,8,9,2,-1,2,01T35@0,03T35@1,17,3,-1,-1,1
1222,T00,OTHER,3,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1395,T00,OTHER,3,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
685,OTHER,T35,3,3,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
1546,T35,T35,3,3,13,1,-1,1,02T35@1,05T35@2,17,3,-1,-1,2
1329,T00,OTHER,3,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
932,T35,OTHER,3,1,34,0,-1,-1,05T35@2,BUYER,0,3,-1,-1,3
1397,T00,OTHER,3,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
893,OTHER,T34,3,1,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
1316,T00,OTHER,3,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
246,OTHER,T34,3,2,10,0,-1,-1,SELLER,00T34@0,0,3,-1,-1,0
678,OTHER,T35,3,1,10,0,-1,-1,SELLER,01T35@0,0,3,-1,-1,0
309,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
1698,T35,T35,4,6,10,2,-1,2,01T35@0,03T35@1,17,4,-1,-1,1
357,T35,OTHER,4,2,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
1005,T00,OTHER,4,3,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1793,T35,T00,4,56,14,-1,-1,4,02T35@1,04T00@2,17,-1,-1,-1,2
1516,T35,T35,4,6,14,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
1601,T35,T35,4,5,14,1,-1,1,03T35@1,05T35@2,17,4,-1,-1,2
1050,T00,OTHER,4,3,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
183,OTHER,T35,4,3,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
1777,T35,T35,4,5,13,4,-1,4,03T35@1,05T35@2,17,4,-1,-1,2
906,OTHER,T35,4,1,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
39,T35,OTHER,4,2,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
1238,T00,OTHER,4,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
236,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
966,OTHER,T35,4,2,10,0,-1,-1,SELLER,01T35@0,0,4,-1,-1,0
718,OTHER,T34,4,1,10,0,-1,-1,SELLER,00T34@0,0,4,-1,-1,0
1414,T00,OTHER,4,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
25,OTHER,T34,4,2,10,0,-1,-1,SELLER,00T34@0,0,4,-1,-1,0
1240,T00,OTHER,4,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
864,OTHER,T34,4,1,10,0,-1,-1,SELLER,00T34@0,0,4,-1,-1,0
1157,T00,OTHER,4,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
29,OTHER,T34,4,2,10,0,-1,-1,SELLER,00T34@0,0,4,-1,-1,0
268,T35,OTHER,4,2,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
1659,T35,T35,4,5,10,2,-1,2,01T35@0,03T35@1,17,4,-1,-1,1
1377,T00,OTHER,4,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
959,OTHER,T34,4,1,10,0,-1,-1,SELLER,00T34@0,0,4,-1,-1,0
1634,T35,T00,4,50,13,-1,-1,1,02T35@1,04T00@2,17,-1,-1,-1,2
514,T35,OTHER,4,2,34,0,-1,-1,05T35@2,BUYER,0,4,-1,-1,3
1476,T35,T35,4,5,14,1,-1,1,02T35@1,05T35@2,17,4,-1,-1,2
155,OTHER,T34,4,4,10,0,-1,-1,SELLER,00T34@0,0,4,-1,-1,0
1503,T35,T35,5,7,14,1,-1,1,03T35@1,05T35@2,17,5,-1,-1,2
1262,T00,OTHER,5,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
242,T35,OTHER,5,1,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
1300,T00,OTHER,5,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1314,T00,OTHER,5,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1184,T00,OTHER,5,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
159,T35,OTHER,5,4,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
1523,T35,T35,5,3,13,1,-1,1,02T35@1,05T35@2,17,5,-1,-1,2
187,OTHER,T35,5,3,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
1196,T00,OTHER,5,2,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1006,T00,OTHER,5,3,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
922,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
372,T35,OTHER,5,2,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
265,OTHER,T35,5,2,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
992,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
1544,T35,T35,5,7,14,1,-1,1,02T35@1,05T35@2,17,5,-1,-1,2
1705,T35,T35,5,6,10,2,-1,2,01T35@0,03T35@1,17,5,-1,-1,1
1697,T35,T35,5,24,9,2,-1,2,01T35@0,03T35@1,17,5,-1,-1,1
729,OTHER,T34,5,1,10,0,-1,-1,SELLER,00T34@0,0,5,-1,-1,0
1740,T35,T35,5,5,9,3,-1,3,01T35@0,03T35@1,17,5,-1,-1,1
1830,T35,T00,5,56,14,-1,-1,5,03T35@1,04T00@2,17,-1,-1,-1,2
1832,T35,T00,5,56,14,-1,-1,5,02T35@1,04T00@2,17,-1,-1,-1,2
613,OTHER,T34,5,4,10,0,-1,-1,SELLER,00T34@0,0,5,-1,-1,0
1631,T35,T00,5,56,13,-1,-1,1,02T35@1,04T00@2,17,-1,-1,-1,2
1623,T35,T00,5,56,13,-1,-1,1,03T35@1,04T00@2,17,-1,-1,-1,2
40,OTHER,T34,5,2,10,0,-1,-1,SELLER,00T34@0,0,5,-1,-1,0
101,OTHER,T35,5,3,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
1709,T35,T35,5,10,10,2,-1,2,01T35@0,02T35@1,17,5,-1,-1,1
381,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
808,T35,OTHER,5,2,34,0,-1,-1,05T35@2,BUYER,0,5,-1,-1,3
1595,T35,T35,5,6,14,1,-1,1,02T35@1,05T35@2,17,5,-1,-1,2
1568,T35,T35,5,3,13,1,-1,1,03T35@1,05T35@2,17,5,-1,-1,2
517,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
591,OTHER,T35,5,1,10,0,-1,-1,SELLER,01T35@0,0,5,-1,-1,0
1401,T00,OTHER,6,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
3,T35,OTHER,6,2,34,0,-1,-1,05T35@2,BUYER,0,6,-1,-1,3
1389,T00,OTHER,6,1,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
1089,T00,OTHER,6,4,34,-1,-1,-1,04T00@2,BUYER,0,-1,-1,-1,3
814,T35,OTHER,6,2,34,0,-1,-1,05T35@2,BUYER,0,6,-1,-1,3
640,OTHER,T34,6,4,10,0,-1,-1,SELLER,00T34@0,0,6,-1,-1,0
