,balance,assets,bankrupt,agent_id,step
0,22982.0,190.0,False,00T22@0,0.0
1,23388.0,171.58702653966512,False,00T22@0,5.0
2,20065.0,225.60241602689027,False,00T22@0,10.0
3,13456.0,352.5599279971019,False,00T22@0,15.0
4,13025.0,435.62546612756927,False,00T22@0,20.0
5,13353.0,231.91526887819091,False,00T22@0,25.0
6,13780.0,316.9698374115181,False,00T22@0,30.0
7,14781.0,251.29966401408817,False,00T22@0,35.0
8,15834.0,278.69154144862165,False,00T22@0,40.0
9,15994.0,1003.0518913903323,False,00T22@0,45.0
10,17627.0,257.557961950969,False,00T22@0,50.0
11,17449.0,1249.245938167396,False,00T22@0,55.0
12,17019.0,2282.523429145748,False,00T22@0,60.0
13,16429.0,3444.027244304201,False,00T22@0,65.0
14,23002.0,90.0,False,01T23@0,0.0
15,21679.0,580.0,False,01T23@0,5.0
16,20205.0,1090.0000000000002,False,01T23@0,10.0
17,19361.0,1490.0000000000002,False,01T23@0,15.0
18,18450.0,1900.0,False,01T23@0,20.0
19,17280.0,2400.0,False,01T23@0,25.0
20,16522.0,2929.9999999999995,False,01T23@0,30.0
21,15947.0,3399.9999999999995,False,01T23@0,35.0
22,15457.0,3889.9999999999986,False,01T23@0,40.0
23,14910.0,4399.999999999999,False,01T23@0,45.0
24,14343.0,4930.0,False,01T23@0,50.0
25,13776.0,5419.999999999998,False,01T23@0,55.0
26,13126.0,5989.999999999999,False,01T23@0,60.0
27,12617.0,6399.999999999999,False,01T23@0,65.0
28,31175.0,0.0,False,02T26@1,0.0
29,31968.0,166.77577776881668,False,02T26@1,5.0
30,30544.0,1351.3391591605612,False,02T26@1,10.0
31,25542.0,5143.476573653999,False,02T26@1,15.0
32,24756.0,6291.447912740849,False,02T26@1,20.0
33,24163.0,7089.95712485843,False,02T26@1,25.0
34,24495.0,7365.129157914347,False,02T26@1,30.0
35,22570.0,9511.818397175608,False,02T26@1,35.0
36,20079.0,12278.04928339677,False,02T26@1,40.0
37,19201.0,13244.622778053577,False,02T26@1,45.0
38,16936.0,15571.305293565738,False,02T26@1,50.0
39,16460.0,15990.487025442828,False,02T26@1,55.0
40,16450.0,15900.26626171298,False,02T26@1,60.0
41,16438.0,15787.831186719071,False,02T26@1,65.0
42,31175.0,0.0,False,03T35@1,0.0
43,25007.0,803.4112406602251,False,03T35@1,5.0
44,9037.0,4872.777259837299,False,03T35@1,10.0
45,1175.0,10418.684774270163,False,03T35@1,15.0
46,-33257.0,12364.275543790798,True,03T35@1,20.0
47,-33257.0,11553.59703138624,True,03T35@1,25.0
48,-33257.0,11579.96472676746,True,03T35@1,30.0
49,-33257.0,12127.221587972032,True,03T35@1,35.0
50,-33257.0,13080.29647138447,True,03T35@1,40.0
51,-33257.0,13330.810912047551,True,03T35@1,45.0
52,-33257.0,13566.1763149131,True,03T35@1,50.0
53,-33257.0,13472.53548231466,True,03T35@1,55.0
54,-33257.0,13166.556201809155,True,03T35@1,60.0
55,-33257.0,12675.909861232429,True,03T35@1,65.0
56,39978.0,0.0,False,04T35@2,0.0
57,33874.0,1853.0641974312964,False,04T35@2,5.0
58,23794.0,4144.2644583483225,False,04T35@2,10.0
59,18619.0,5767.3326305390165,False,04T35@2,15.0
60,12079.0,7184.171782673125,False,04T35@2,20.0
61,-7800.0,10126.04896222006,False,04T35@2,25.0
62,-27448.527777777777,11652.872561447188,True,04T35@2,30.0
63,-27448.527777777777,11652.872561447188,True,04T35@2,35.0
64,-27448.527777777777,11652.872561447188,True,04T35@2,40.0
65,-27448.527777777777,11652.872561447188,True,04T35@2,45.0
66,-27448.527777777777,11652.872561447188,True,04T35@2,50.0
67,-27448.527777777777,11652.872561447188,True,04T35@2,55.0
68,-27448.527777777777,11652.872561447188,True,04T35@2,60.0
69,-27448.527777777777,11652.872561447188,True,04T35@2,65.0
70,39978.0,0.0,False,05T35@2,0.0
71,33692.0,1482.4513579450372,False,05T35@2,5.0
72,23493.0,5166.875168849857,False,05T35@2,10.0
73,17962.0,6419.905435829362,False,05T35@2,15.0
74,11151.0,7238.597326481255,False,05T35@2,20.0
75,1674.0,9605.652441677701,False,05T35@2,25.0
76,-41671.11111111112,12168.05219047959,True,05T35@2,30.0
77,-41671.11111111112,12168.05219047959,True,05T35@2,35.0
