index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,38.0,0,,45.0,0,,0.0,399356,0.0,0.0,9,0,0,0,0,0.0,583,583,4,0.0,0,0,0,4,200,0.12546236254274845,0.12546236254274845
1,4,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,38.0,0,,45.0,0,,0.0,399156,0.0,0.0,11,0,0,0,0,0.0,26,26,4,60.0,0,4,0,4,200,0.1409983579069376,0.26646072044968605
2,4,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,38.0,0,,45.0,0,,0.0,398956,0.0,0.0,12,0,0,0,0,0.0,25,25,4,63.0,0,4,0,4,200,0.13842618465423584,0.4048869051039219
3,4,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,38.0,0,,45.0,0,,0.0,398756,0.0,0.0,11,0,0,0,0,0.0,24,24,4,65.0,0,4,0,4,200,0.14393449947237968,0.5488214045763016
4,4,0,0,0,10.0,20,10.0,17.181818181818183,10,9.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,397958,0.0,0.0,25,0,0,0,0,0.0,24,24,4,64.0,0,4,0,4,1190,0.13772574625909328,0.6865471508353949
5,4,0,0,0,10.0,20,10.0,15.806722689075633,10,9.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,397158,0.0,0.0,20,0,0,0,0,0.0,23,23,4,63.0,0,4,0,4,1190,0.14165707305073738,0.8282042238861322
6,4,0,0,0,10.0,20,10.0,15.30963096309631,2,2.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,396553,0.0,0.0,23,0,0,0,0,0.0,24,24,4,63.0,0,4,0,4,1104,0.1451184954494238,0.9733227193355559
7,4,0,0,0,10.0,20,10.0,14.18061901888094,8,7.125,28.0,0,,38.0,0,,45.00000000000001,20,45.0,0.0,395824,0.0,0.0,21,0,0,0,0,0.0,25,25,4,65.0,0,4,0,4,1157,0.1432745475322008,1.1165972668677568
8,4,0,0,0,10.0,20,10.0,13.115795823097976,5,2.0,28.0,0,,38.0,0,,45.00000000000001,20,45.0,0.0,395148,0.0,0.0,24,0,0,0,0,0.0,25,25,4,66.0,0,4,0,4,1110,0.14429137483239174,1.2608886417001486
9,4,0,0,0,10.000000000000002,20,10.0,12.751410998841102,5,9.0,28.0,0,,38.0,0,,45.00000000000001,20,45.0,0.0,394478,0.0,0.0,23,0,0,0,0,0.0,23,23,4,63.0,0,4,0,4,1145,0.14162631146609786,1.4025149531662464
10,4,0,0,0,10.000000000000002,20,10.0,11.200797226284369,19,7.052631578947367,28.0,0,,38.0,0,,45.0,20,45.0,0.0,393441,0.0,0.0,26,0,0,0,0,0.0,25,25,4,68.0,0,4,0,4,1234,0.1466800570487976,1.549195010215044
11,4,0,0,0,10.000000000000002,20,10.0,9.99321109806373,16,5.25,28.0,0,,38.0,0,,45.00000000000001,20,45.0,0.0,392456,0.0,0.0,26,0,0,0,0,0.0,29,29,4,57.0,0,4,0,4,1184,0.1375926397740841,1.686787649989128
12,4,0,0,0,10.000000000000002,20,10.0,9.620045632001721,4,3.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,391813,0.0,0.0,21,0,0,0,0,0.0,23,23,4,68.0,0,4,0,4,1112,0.14370116218924522,1.8304888121783731
13,4,0,0,0,10.000000000000002,20,10.0,9.37685842824831,17,8.411764705882353,28.0,0,,38.0,0,,45.00000000000001,20,45.0,0.0,390832,0.0,0.0,24,0,0,0,0,0.0,23,23,4,65.0,0,4,0,4,1243,0.14173096977174282,1.972219781950116
14,4,0,0,0,10.000000000000002,20,10.0,8.86159406122442,6,2.333333333333333,28.0,0,,38.0,0,,45.00000000000001,20,45.0,0.0,390130,0.0,0.0,26,0,0,0,0,0.0,22,22,4,65.0,0,4,0,4,1114,0.14513207972049713,2.1173518616706133
15,4,0,0,0,10.000000000000002,20,10.0,8.204807362116746,17,5.352941176470588,28.0,0,,38.0,0,,45.0,20,45.0,0.0,389127,0.0,0.0,27,0,0,0,0,0.0,25,25,4,68.0,0,4,0,4,1191,0.14055387675762174,2.2579057384282346
16,4,0,0,0,10.000000000000002,20,10.0,7.96197472709639,4,3.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,388476,0.0,0.0,25,0,0,0,0,0.0,20,20,4,60.0,0,4,0,4,1112,0.13904607854783535,2.3969518169760704
17,4,0,0,0,10.000000000000002,20,10.0,8.046119010836076,11,8.636363636363637,28.0,0,,38.0,0,,45.0,20,45.0,0.0,387643,0.0,0.0,25,0,0,0,0,0.0,25,25,4,61.0,0,4,0,4,1195,0.14186712726950645,2.5388189442455764
18,4,0,0,0,10.000000000000002,20,10.0,8.102665221706117,5,9.0,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,387001,0.0,0.0,19,0,0,0,0,0.0,22,22,4,60.0,0,4,0,4,1145,0.13918359391391275,2.6780025381594896
19,4,0,0,0,10.000000000000002,20,10.0,7.972386594752035,4,5.5,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,386353,0.0,0.0,22,0,0,0,0,0.0,25,25,4,63.0,0,4,0,4,1122,0.13703270256519318,2.815035240724683
20,4,0,0,0,10.000000000000002,20,10.0,7.901310181176453,9,7.333333333333332,28.0,0,,38.0,0,,45.0,20,45.0,0.0,385590,0.0,0.0,24,0,0,0,0,0.0,24,24,4,69.0,0,4,0,4,1166,0.14500259794294834,2.960037838667631
21,4,0,0,0,10.000000000000002,20,10.0,7.755983941219248,14,7.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,384693,0.0,0.0,29,0,0,0,0,0.0,24,24,4,58.0,0,4,0,4,1198,0.1397360935807228,3.0997739322483535
22,4,0,0,0,10.000000000000002,20,10.0,7.909488770313011,11,9.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,383856,0.0,0.0,24,0,0,0,0,0.0,26,26,4,63.0,0,4,0,4,1199,0.13715075701475146,3.2369246892631054
23,4,0,0,0,10.000000000000002,20,10.0,7.859262504670494,14,7.571428571428571,28.0,0,,38.0,0,,45.0,20,45.0,0.0,382969,0.0,0.0,26,0,0,0,0,0.0,25,25,4,56.0,0,4,0,4,1206,0.13648355565965176,3.3734082449227567
24,4,0,0,0,10.000000000000002,20,10.0,7.626290551684005,6,4.333333333333333,28.0,0,,38.0,0,,45.0,20,45.0,0.0,382286,0.0,0.0,24,0,0,0,0,0.0,25,25,4,61.0,0,4,0,4,1126,0.13994286581873894,3.513351110741496
25,4,0,0,0,10.000000000000002,20,10.0,7.5498446271250685,15,7.133333333333334,28.0,0,,38.0,0,,45.0,20,45.0,0.0,381355,0.0,0.0,26,0,0,0,0,0.0,24,24,4,62.0,0,4,0,4,1207,0.14145862124860287,3.6548097319900985
26,4,0,0,0,10.000000000000002,20,10.0,7.643348759613372,6,9.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,380646,0.0,0.0,27,0,0,0,0,0.0,24,24,4,63.0,0,4,0,4,1154,0.1417102161794901,3.796519948169589
27,4,0,0,0,10.000000000000002,20,10.0,7.516229423730202,9,6.333333333333332,28.0,0,,38.0,0,,45.0,20,45.0,0.0,379870,0.0,0.0,25,0,0,0,0,0.0,23,23,4,55.0,0,4,0,4,1157,0.1403714194893837,3.9368913676589727
28,4,0,0,0,10.000000000000002,20,10.0,7.328816195340733,5,4.2,28.0,0,,38.0,0,,45.0,20,45.0,0.0,379207,0.0,0.0,25,0,0,0,0,0.0,24,24,4,57.0,0,4,0,4,1121,0.13421959057450294,4.071110958233477
29,4,0,0,0,10.000000000000002,20,10.0,7.46385923765225,7,9.0,28.0,0,,38.0,0,,45.0,20,45.0,0.0,378480,0.0,0.0,28,0,0,0,0,0.0,24,24,4,59.0,0,4,0,4,1163,0.14258791506290436,4.21369887329638
30,4,0,0,0,10.000000000000002,20,10.0,7.63849268407616,10,9.0,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,377670,0.0,0.0,25,0,0,0,0,0.0,26,26,4,62.0,0,4,0,4,1190,0.14232153445482254,4.3560204077512035
31,4,0,0,0,10.000000000000002,20,10.0,7.7344102401325365,6,9.0,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,376988,0.0,0.0,23,0,0,0,0,0.0,26,26,4,55.0,0,4,0,4,1154,0.1411739196628332,4.497194327414037
32,4,0,0,0,10.000000000000002,20,10.0,7.741979691438902,10,7.8,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,376212,0.0,0.0,24,0,0,0,0,0.0,24,24,4,62.0,0,4,0,4,1178,0.14095415733754635,4.638148484751582
33,4,0,0,0,10.000000000000002,20,10.0,7.275187997308576,16,5.0,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,375257,0.0,0.0,25,0,0,0,0,0.0,25,25,4,62.0,0,4,0,4,1180,0.14033520221710205,4.778483686968683
34,4,0,0,0,10.000000000000002,20,10.0,6.842684622458052,9,2.7777777777777777,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,374492,0.0,0.0,22,0,0,0,0,0.0,22,22,4,61.0,0,4,0,4,1125,0.14351673237979412,4.922000419348478
35,4,0,0,0,10.0,20,10.0,6.7001919039252416,10,5.5,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,373705,0.0,0.0,22,0,0,0,0,0.0,26,26,4,66.0,0,4,0,4,1155,0.14288830012083056,5.064888719469309
36,4,0,0,0,10.0,20,10.0,6.647432087700905,10,6.2,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,372921,0.0,0.0,25,0,0,0,0,0.0,27,27,4,64.0,0,4,0,4,1162,0.1467213500291109,5.21161006949842
37,4,0,0,0,10.0,20,10.0,6.5119527499491365,5,4.2,28.0,0,,38.0,0,,44.99999999999999,20,45.0,0.0,372113,0.0,0.0,24,0,0,0,0,0.0,25,25,4,59.0,0,4,0,4,1121,0.14401951432228088,5.3556295838207015
