index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,trading_price_5,sold_quantity_5,unit_price_5,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,33.0,0,,51.0,0,,63.0,0,,80.0,0,,0.0,398092,0.0,0.0,6,0,0,5,0,0.0,119,124,115,0.0,0.0,0,0,115,200,1.3122734855860472,1.3122734855860472
1,115,0,0,0,10.0,20,10.0,19.0,14,2.9285714285714284,31.22,5,15.2,43.40625,19,25.421052631578952,63.0,0,,80.0,0,,0.34,395753,0.0,0.0,19,0,0,17,0,0.0,63,80,70,1099.0,423.0,69,46,70,800,3.0456005930900574,4.3578740786761045
2,70,0,0,0,10.0,20,10.0,18.833641404805913,1,10.0,32.156140350877195,12,35.666666666666664,40.86094674556214,10,26.2,63.48979591836735,4,69.0,80.0,0,,0.23,394907,0.0,0.0,15,0,0,2,0,0.0,37,39,76,367.0,190.0,27,43,76,1176,1.881892604753375,6.2397666834294805
3,76,0,0,0,10.0,20,10.0,17.148029988833944,14,11.285714285714285,27.88918918918918,19,16.368421052631582,40.86094674556214,0,,61.72552783109405,8,52.0,80.0,0,,0.15,393537,0.0,0.0,13,0,0,3,0,0.0,41,44,72,377.0,173.0,32,44,72,1085,2.080313144251704,8.320079827681184
4,72,0,0,0,10.0,20,10.0,15.14053591354458,9,2.555555555555556,26.728058214238892,13,21.076923076923077,37.97475273295159,16,27.0,66.75683477670232,12,86.41666666666669,80.0,0,,0.45,392133,0.0,0.0,20,0,0,5,0,0.0,36,41,70,360.0,156.0,29,43,70,1966,1.7430227734148502,10.063102601096032
5,70,0,0,0,10.0,20,10.0,15.14053591354458,0,,22.718328422007062,24,11.25,41.70553414736061,17,56.88235294117647,69.27775383183047,5,96.0,80.0,20,80.0,0.3,389996,0.0,0.0,24,0,0,4,0,0.0,37,41,71,304.0,143.0,30,40,71,3517,2.656035415828228,12.719138016924262
6,71,0,0,0,10.0,20,10.0,14.190258442145995,5,3.0,21.42064901978756,29,17.689655172413797,46.02014659374486,22,61.22727272727273,72.25668238773375,37,76.45945945945945,80.0,20,80.0,0.4,388380,0.0,0.0,29,0,0,5,0,0.0,37,42,56,360.0,153.0,30,41,56,6504,2.0055218245834108,14.724659841507671
7,56,0,0,0,10.0,20,10.0,14.190258442145995,0,,23.00970587785555,29,28.551724137931036,45.851879528623506,13,44.69230769230769,72.51520925650141,49,72.93877551020408,80.0,20,80.0,0.38,384105,0.0,0.0,28,0,0,5,0,0.0,28,33,53,174.0,125.0,21,35,53,6783,1.100371602922678,15.825031444430351
8,53,0,0,0,10.0,20,10.0,13.787581143975356,4,8.0,17.693249672736552,89,10.696629213483146,47.56031007567696,79,49.55696202531646,75.34972233430267,12,102.83333333333331,80.0,20,80.0,0.4400000000000001,368257,0.0,0.0,30,0,0,4,0,0.0,25,29,48,247.0,153.0,17,36,48,7933,1.4011721946299076,17.22620363906026
9,48,0,0,0,10.000000000000002,20,10.0,10.519383635951561,19,1.0,20.781696921573555,41,34.75609756097561,49.285526710081186,105,51.819047619047616,80.85123618181663,64,90.78125,80.0,20,80.0,0.5,348093,0.0,0.0,38,0,0,5,0,0.0,25,30,48,231.0,137.0,18,30,48,14495,1.3547435160726309,18.58094715513289
10,48,0,0,0,10.000000000000002,20,10.0,9.582830355901603,8,1.75,21.8661089606249,8,49.5,53.921917584577905,148,61.229729729729726,82.45169726963158,12,104.0,80.0,18,80.0,0.5,332102,0.0,0.0,32,0,0,2,0,0.0,31,33,56,282.0,123.0,21,27,56,12360,1.909603895619512,20.490551050752398
11,56,0,0,0,10.000000000000002,20,10.0,8.775489884590371,7,1.0,20.69318970668112,37,14.648648648648651,52.73630739026415,103,48.78640776699029,79.73557319611189,67,73.40298507462687,80.0,10,80.0,0.5,314403,0.0,0.0,33,0,0,4,0,0.0,32,36,48,268.0,119.0,24,32,48,11492,1.5014730151742697,21.99202406592667
