index,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,seller,buyer,n_neg_steps,executed_at,erred_at,dropped_at,product
180,OTHER,T24,0,3,10,0,-1,-1,SELLER,00T24@0,0,0,-1,-1,0
345,OTHER,T38,0,1,10,0,-1,-1,SELLER,01T38@0,0,0,-1,-1,0
232,OTHER,T38,0,2,10,0,-1,-1,SELLER,01T38@0,0,0,-1,-1,0
404,OTHER,T24,0,1,10,0,-1,-1,SELLER,00T24@0,0,0,-1,-1,0
8,OTHER,T24,0,3,10,0,-1,-1,SELLER,00T24@0,0,0,-1,-1,0
305,OTHER,T24,0,1,10,0,-1,-1,SELLER,00T24@0,0,0,-1,-1,0
102,OTHER,T38,0,4,10,0,-1,-1,SELLER,01T38@0,0,0,-1,-1,0
281,OTHER,T24,0,4,10,0,-1,-1,SELLER,00T24@0,0,0,-1,-1,0
128,OTHER,T38,0,1,10,0,-1,-1,SELLER,01T38@0,0,0,-1,-1,0
395,OTHER,T24,1,2,10,0,-1,-1,SELLER,00T24@0,0,1,-1,-1,0
394,OTHER,T24,1,2,10,0,-1,-1,SELLER,00T24@0,0,1,-1,-1,0
252,OTHER,T24,1,1,10,0,-1,-1,SELLER,00T24@0,0,1,-1,-1,0
391,OTHER,T38,1,2,10,0,-1,-1,SELLER,01T38@0,0,1,-1,-1,0
337,OTHER,T24,1,1,10,0,-1,-1,SELLER,00T24@0,0,1,-1,-1,0
344,OTHER,T38,1,5,10,0,-1,-1,SELLER,01T38@0,0,1,-1,-1,0
480,T38,T38,1,10,9,-1,-1,1,03T38@1,05T38@2,18,-1,-1,-1,2
476,T38,T38,1,10,9,-1,-1,1,03T38@1,05T38@2,17,-1,-1,-1,2
257,OTHER,T38,1,1,10,0,-1,-1,SELLER,01T38@0,0,1,-1,-1,0
353,OTHER,T24,1,4,10,0,-1,-1,SELLER,00T24@0,0,1,-1,-1,0
230,OTHER,T38,1,2,10,0,-1,-1,SELLER,01T38@0,0,1,-1,-1,0
490,T38,T38,1,10,7,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
474,T38,T38,1,10,7,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
435,T24,T35,1,5,1,1,-1,1,04T24@2,06T35@3,2,1,-1,-1,3
405,OTHER,T24,2,2,10,0,-1,-1,SELLER,00T24@0,0,2,-1,-1,0
85,OTHER,T24,2,2,10,0,-1,-1,SELLER,00T24@0,0,2,-1,-1,0
78,OTHER,T38,2,1,10,0,-1,-1,SELLER,01T38@0,0,2,-1,-1,0
187,OTHER,T38,2,1,10,0,-1,-1,SELLER,01T38@0,0,2,-1,-1,0
478,T38,T38,2,10,8,-1,-1,1,03T38@1,05T38@2,18,-1,-1,-1,2
168,OTHER,T24,2,2,10,0,-1,-1,SELLER,00T24@0,0,2,-1,-1,0
191,OTHER,T38,2,2,10,0,-1,-1,SELLER,01T38@0,0,2,-1,-1,0
265,OTHER,T38,2,4,10,0,-1,-1,SELLER,01T38@0,0,2,-1,-1,0
286,OTHER,T38,2,1,10,0,-1,-1,SELLER,01T38@0,0,2,-1,-1,0
481,T38,T38,2,10,7,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
224,OTHER,T24,2,3,10,0,-1,-1,SELLER,00T24@0,0,2,-1,-1,0
515,T24,T38,2,2,1,2,-1,2,02T24@1,05T38@2,2,2,-1,-1,2
249,OTHER,T24,2,1,10,0,-1,-1,SELLER,00T24@0,0,2,-1,-1,0
244,OTHER,T24,2,1,10,0,-1,-1,SELLER,00T24@0,0,2,-1,-1,0
220,OTHER,T24,3,3,10,0,-1,-1,SELLER,00T24@0,0,3,-1,-1,0
472,T38,T38,3,10,8,-1,-1,1,03T38@1,05T38@2,17,-1,-1,-1,2
580,T38,T35,3,2,26,3,-1,3,05T38@2,06T35@3,17,3,-1,-1,3
382,OTHER,T24,3,1,10,0,-1,-1,SELLER,00T24@0,0,3,-1,-1,0
432,OTHER,T38,3,2,10,0,-1,-1,SELLER,01T38@0,0,3,-1,-1,0
385,OTHER,T24,3,3,10,0,-1,-1,SELLER,00T24@0,0,3,-1,-1,0
422,OTHER,T38,3,1,10,0,-1,-1,SELLER,01T38@0,0,3,-1,-1,0
43,OTHER,T24,3,1,10,0,-1,-1,SELLER,00T24@0,0,3,-1,-1,0
564,T24,T38,3,2,1,3,-1,3,02T24@1,05T38@2,2,3,-1,-1,2
464,T38,T35,3,10,37,-1,-1,1,05T38@2,07T35@3,17,-1,-1,-1,3
145,OTHER,T38,3,1,10,0,-1,-1,SELLER,01T38@0,0,3,-1,-1,0
479,T38,T38,3,10,7,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
298,OTHER,T24,3,2,10,0,-1,-1,SELLER,00T24@0,0,3,-1,-1,0
196,OTHER,T38,3,2,10,0,-1,-1,SELLER,01T38@0,0,3,-1,-1,0
179,OTHER,T38,3,2,10,0,-1,-1,SELLER,01T38@0,0,3,-1,-1,0
239,OTHER,T38,3,2,10,0,-1,-1,SELLER,01T38@0,0,3,-1,-1,0
461,T38,T38,3,2,14,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
539,T38,T35,3,2,26,-1,-1,2,05T38@2,06T35@3,17,-1,-1,-1,3
367,OTHER,T38,4,1,10,0,-1,-1,SELLER,01T38@0,0,4,-1,-1,0
537,T38,T38,4,2,17,-1,-1,2,03T38@1,05T38@2,17,-1,-1,-1,2
80,OTHER,T24,4,2,10,0,-1,-1,SELLER,00T24@0,0,4,-1,-1,0
89,OTHER,T38,4,1,10,0,-1,-1,SELLER,01T38@0,0,4,-1,-1,0
121,OTHER,T24,4,2,10,0,-1,-1,SELLER,00T24@0,0,4,-1,-1,0
254,T35,OTHER,4,3,33,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
521,T38,T38,4,2,13,-1,-1,2,01T38@0,03T38@1,17,-1,-1,-1,1
355,OTHER,T38,4,4,10,0,-1,-1,SELLER,01T38@0,0,4,-1,-1,0
487,T38,T38,4,2,13,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
488,T38,T38,4,10,8,-1,-1,1,03T38@1,05T38@2,17,-1,-1,-1,2
617,T24,T35,4,5,1,4,-1,4,04T24@2,07T35@3,2,4,-1,-1,3
612,T38,T35,4,2,26,4,-1,4,05T38@2,06T35@3,17,4,-1,-1,3
162,T35,OTHER,4,2,33,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
603,T38,T38,4,10,9,-1,-1,3,03T38@1,05T38@2,17,-1,-1,-1,2
542,T38,T38,4,2,16,-1,-1,2,03T38@1,05T38@2,17,-1,-1,-1,2
399,T35,OTHER,4,1,33,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
534,T38,T38,4,2,14,-1,-1,2,01T38@0,03T38@1,17,-1,-1,-1,1
38,T35,OTHER,4,1,33,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
48,T35,OTHER,4,1,33,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
456,T38,T38,4,10,7,-1,-1,1,01T38@0,03T38@1,17,-1,-1,-1,1
272,OTHER,T24,4,2,10,0,-1,-1,SELLER,00T24@0,0,4,-1,-1,0
323,T35,OTHER,4,2,33,0,-1,-1,07T35@3,BUYER,0,4,-1,-1,4
57,T35,OTHER,4,5,33,0,-1,-1,06T35@3,BUYER,0,4,-1,-1,4
30,OTHER,T24,4,1,10,0,-1,-1,SELLER,00T24@0,0,4,-1,-1,0
428,OTHER,T38,4,1,10,0,-1,-1,SELLER,01T38@0,0,4,-1,-1,0
